object_id,gt_count,any_class_iou50_count,any_class_iou50_recall,correct_class_overlap_count,correct_class_overlap_recall,correct_class_iou50_count,correct_class_iou50_recall,matched_confidence_median,matched_confidence_mean,matched_iou_median,failure_A_missed,failure_B_wrong_class_iou50,failure_C_correct_class_low_iou,failure_D_correct_iou50,failure_G_wrong_class_low_iou,ap50
hangar,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.027668952476233244,0.033588668797165155,0.8842306954331294,2,0,0,4,0,0.6633663366336634
helicopter,19,18,0.9473684210526315,19,1.0,18,0.9473684210526315,0.9349311590194702,0.8429541638807246,0.8867730211831829,0,0,1,18,0,0.9405940594059405
jet_plane,22,21,0.9545454545454546,21,0.9545454545454546,21,0.9545454545454546,0.7607410550117493,0.728790663537525,0.8460346505438874,1,0,0,21,0,0.9504950495049505
large_launcher,25,25,1.0,25,1.0,25,1.0,0.9856705069541931,0.9283785128593445,0.8824511975606111,0,0,0,25,0,0.9984767707539987
large_tower,19,0,0.0,0,0.0,0,0.0,,,,19,0,0,0,0,0.0
medium_launcher,10,0,0.0,0,0.0,0,0.0,,,,10,0,0,0,0,0.0
medium_plane,5,0,0.0,0,0.0,0,0.0,,,,5,0,0,0,0,0.0
mine_roller,2,0,0.0,0,0.0,0,0.0,,,,2,0,0,0,0,0.0
small_launcher,25,0,0.0,0,0.0,0,0.0,,,,25,0,0,0,0,0.0
small_plane,9,0,0.0,0,0.0,0,0.0,,,,9,0,0,0,0,0.0
small_tower,20,19,0.95,19,0.95,19,0.95,0.8580749034881592,0.8311734654401478,0.8456905309293796,1,0,0,19,0,0.9132484677039133
ta-ta,25,0,0.0,0,0.0,0,0.0,,,,25,0,0,0,0,0.0
tank,25,8,0.32,0,0.0,0,0.0,0.024777233600616455,0.034718226408585906,0.8595138520728249,17,8,0,0,0,0.0
condor,11,9,0.8181818181818182,9,0.8181818181818182,9,0.8181818181818182,0.037476468831300735,0.038516679778695107,0.9197297452412809,2,0,0,9,0,0.8118811881188119
jammer,13,0,0.0,0,0.0,0,0.0,0.011347539722919464,0.011347539722919464,0.1323532552847871,12,0,0,0,1,0.0
spacecraft,23,22,0.9565217391304348,21,0.9130434782608695,20,0.8695652173913043,0.9104813635349274,0.8722473599693992,0.8291727298134266,1,2,0,20,0,0.8613861386138614
