group,count,min,median,mean,p95,max,tp_count,incorrect_count
ALL,235,0.010018577799201012,0.0723848044872284,0.4007738202136565,0.9856888175010681,0.9993507266044617,116,119
TRUE_POSITIVE,116,0.01228437852114439,0.8791374862194061,0.7613313166296174,0.9923582822084427,0.9993507266044617,116,0
INCORRECT,119,0.010018577799201012,0.017815491184592247,0.04930600858129123,0.16266292780637737,0.79105144739151,0,119
hangar,4,0.01228437852114439,0.027668952476233244,0.033588668797165155,0.0631689479574561,0.06673239171504974,4,0
helicopter,45,0.010373084805905819,0.05787522345781326,0.3759912765895327,0.9581371545791626,0.981732189655304,18,27
jet_plane,45,0.010018577799201012,0.14443227648735046,0.3564480720501807,0.8463543534278869,0.9365716576576233,21,24
large_launcher,45,0.010690943337976933,0.8599679470062256,0.5503365392279294,0.9972144961357117,0.9993507266044617,25,20
large_tower,0,,,,,,0,0
medium_launcher,0,,,,,,0,0
medium_plane,0,,,,,,0,0
mine_roller,0,,,,,,0,0
small_launcher,0,,,,,,0,0
small_plane,0,,,,,,0,0
small_tower,51,0.010116325691342354,0.03346174955368042,0.3527398510269967,0.952603667974472,0.9777201414108276,19,32
ta-ta,0,,,,,,0,0
tank,0,,,,,,0,0
condor,13,0.011215322650969028,0.02675308659672737,0.030267499530544646,0.06091147437691686,0.0723848044872284,9,4
jammer,0,,,,,,0,0
spacecraft,32,0.011590290814638138,0.8235437870025635,0.5606052570219617,0.9588108271360397,0.9817310571670532,20,12
