gt_id,frame,object_id,bbox,l0_bbox,l0_short_side,l0_area,size_bin,area_bin,boundary,cx_norm,cy_norm,failure_type,matched_pred_id,predicted_class,confidence,iou,correct_class,iou_ge_050,any_class_iou50,correct_class_iou50,best_any_iou,best_any_class,best_any_confidence,best_correct_iou,best_correct_confidence,best_wrong_iou,best_wrong_class,best_wrong_confidence
f00-g00,0,jammer,"[1496.0, 1247.0, 1528.0, 1290.0]","[374.0, 311.75, 382.0, 322.5]",8.0,86.0,8-<16,32-<128,0,0.39375,0.5872685185185185,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f00-g02,0,mine_roller,"[1979.0, 2010.0, 2032.0, 2070.0]","[494.75, 502.5, 508.0, 517.5]",13.25,198.75,8-<16,128-<512,0,0.522265625,0.9444444444444444,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f00-g05,0,small_plane,"[2028.0, 1502.0, 2069.0, 1550.0]","[507.0, 375.5, 517.25, 387.5]",10.25,123.0,8-<16,32-<128,0,0.5334635416666667,0.7064814814814815,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f00-g06,0,small_launcher,"[1788.0, 221.0, 1808.0, 251.0]","[447.0, 55.25, 452.0, 62.75]",5.0,37.5,4-<8,32-<128,0,0.46822916666666664,0.10925925925925926,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f00-g07,0,tank,"[888.0, 0.0, 934.0, 13.0]","[222.0, 0.0, 233.5, 3.25]",3.25,37.375,<4,32-<128,1,0.23723958333333334,0.0030092592592592593,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f00-g10,0,ta-ta,"[1098.0, 293.0, 1127.0, 312.0]","[274.5, 73.25, 281.75, 78.0]",4.75,34.4375,4-<8,32-<128,0,0.2897135416666667,0.1400462962962963,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9993507266044617,0.0,,0.0,large_launcher,0.9993507266044617
f01-g00,1,jammer,"[1493.0, 1314.0, 1525.0, 1358.0]","[373.25, 328.5, 381.25, 339.5]",8.0,88.0,8-<16,32-<128,0,0.39296875,0.6185185185185185,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f01-g02,1,mine_roller,"[1980.0, 2090.0, 2033.0, 2150.0]","[495.0, 522.5, 508.25, 537.5]",13.25,198.75,8-<16,128-<512,0,0.5225260416666667,0.9814814814814815,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f01-g05,1,small_plane,"[2029.0, 1573.0, 2070.0, 1622.0]","[507.25, 393.25, 517.5, 405.5]",10.25,125.5625,8-<16,32-<128,0,0.5337239583333333,0.7395833333333334,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f01-g06,1,small_launcher,"[1787.0, 275.0, 1807.0, 305.0]","[446.75, 68.75, 451.75, 76.25]",5.0,37.5,4-<8,32-<128,0,0.46796875,0.13425925925925927,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f01-g07,1,tank,"[882.0, 21.0, 928.0, 64.0]","[220.5, 5.25, 232.0, 16.0]",10.75,123.625,8-<16,32-<128,0,0.23567708333333334,0.019675925925925927,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f01-g10,1,ta-ta,"[1093.0, 348.0, 1122.0, 367.0]","[273.25, 87.0, 280.5, 91.75]",4.75,34.4375,4-<8,32-<128,0,0.2884114583333333,0.16550925925925927,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.993097722530365,0.0,,0.0,large_launcher,0.993097722530365
f02-g00,2,jammer,"[1490.0, 1383.0, 1522.0, 1426.0]","[372.5, 345.75, 380.5, 356.5]",8.0,86.0,8-<16,32-<128,0,0.3921875,0.6502314814814815,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9863682389259338,0.0,,0.0,large_launcher,0.9863682389259338
f02-g04,2,small_plane,"[2030.0, 1646.0, 2071.0, 1695.0]","[507.5, 411.5, 517.75, 423.75]",10.25,125.5625,8-<16,32-<128,0,0.533984375,0.7733796296296296,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9863682389259338,0.0,,0.0,large_launcher,0.9863682389259338
f02-g05,2,small_launcher,"[1786.0, 330.0, 1807.0, 360.0]","[446.5, 82.5, 451.75, 90.0]",5.25,39.375,4-<8,32-<128,0,0.46783854166666666,0.1597222222222222,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9863682389259338,0.0,,0.0,large_launcher,0.9863682389259338
f02-g06,2,tank,"[875.0, 73.0, 922.0, 117.0]","[218.75, 18.25, 230.5, 29.25]",11.0,129.25,8-<16,128-<512,0,0.233984375,0.04398148148148148,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9863682389259338,0.0,,0.0,large_launcher,0.9863682389259338
f02-g09,2,ta-ta,"[1087.0, 404.0, 1117.0, 422.0]","[271.75, 101.0, 279.25, 105.5]",4.5,33.75,4-<8,32-<128,0,0.2869791666666667,0.1912037037037037,A_missed,,no_detection,,0.0,0,0,0,0,0.0,large_launcher,0.9863682389259338,0.0,,0.0,large_launcher,0.9863682389259338
