gt_id,frame,object_id,bbox,l0_bbox,l0_short_side,l0_area,size_bin,area_bin,boundary,cx_norm,cy_norm
f00-g00,0,jammer,"[1496.0, 1247.0, 1528.0, 1290.0]","[374.0, 311.75, 382.0, 322.5]",8.0,86.0,8-<16,32-<128,0,0.39375,0.5872685185185185
f00-g01,0,large_launcher,"[3455.0, 359.0, 3594.0, 464.0]","[863.75, 89.75, 898.5, 116.0]",26.25,912.1875,16-<32,512-<2048,0,0.9178385416666667,0.19050925925925927
f00-g02,0,mine_roller,"[1979.0, 2010.0, 2032.0, 2070.0]","[494.75, 502.5, 508.0, 517.5]",13.25,198.75,8-<16,128-<512,0,0.522265625,0.9444444444444444
f00-g03,0,spacecraft,"[1525.0, 627.0, 1566.0, 675.0]","[381.25, 156.75, 391.5, 168.75]",10.25,123.0,8-<16,32-<128,0,0.4024739583333333,0.3013888888888889
f00-g04,0,condor,"[2657.0, 1369.0, 2823.0, 1531.0]","[664.25, 342.25, 705.75, 382.75]",40.5,1680.75,>=32,512-<2048,0,0.7135416666666666,0.6712962962962963
f00-g05,0,small_plane,"[2028.0, 1502.0, 2069.0, 1550.0]","[507.0, 375.5, 517.25, 387.5]",10.25,123.0,8-<16,32-<128,0,0.5334635416666667,0.7064814814814815
f00-g06,0,small_launcher,"[1788.0, 221.0, 1808.0, 251.0]","[447.0, 55.25, 452.0, 62.75]",5.0,37.5,4-<8,32-<128,0,0.46822916666666664,0.10925925925925926
f00-g07,0,tank,"[888.0, 0.0, 934.0, 13.0]","[222.0, 0.0, 233.5, 3.25]",3.25,37.375,<4,32-<128,1,0.23723958333333334,0.0030092592592592593
f00-g08,0,helicopter,"[2233.0, 850.0, 2342.0, 937.0]","[558.25, 212.5, 585.5, 234.25]",21.75,592.6875,16-<32,512-<2048,0,0.595703125,0.4136574074074074
f00-g09,0,small_tower,"[2616.0, 791.0, 2669.0, 851.0]","[654.0, 197.75, 667.25, 212.75]",13.25,198.75,8-<16,128-<512,0,0.6881510416666666,0.3800925925925926
f00-g10,0,ta-ta,"[1098.0, 293.0, 1127.0, 312.0]","[274.5, 73.25, 281.75, 78.0]",4.75,34.4375,4-<8,32-<128,0,0.2897135416666667,0.1400462962962963
f01-g00,1,jammer,"[1493.0, 1314.0, 1525.0, 1358.0]","[373.25, 328.5, 381.25, 339.5]",8.0,88.0,8-<16,32-<128,0,0.39296875,0.6185185185185185
f01-g01,1,large_launcher,"[3465.0, 416.0, 3605.0, 521.0]","[866.25, 104.0, 901.25, 130.25]",26.25,918.75,16-<32,512-<2048,0,0.9205729166666666,0.21689814814814815
f01-g02,1,mine_roller,"[1980.0, 2090.0, 2033.0, 2150.0]","[495.0, 522.5, 508.25, 537.5]",13.25,198.75,8-<16,128-<512,0,0.5225260416666667,0.9814814814814815
f01-g03,1,spacecraft,"[1522.0, 686.0, 1563.0, 735.0]","[380.5, 171.5, 390.75, 183.75]",10.25,125.5625,8-<16,32-<128,0,0.4016927083333333,0.32893518518518516
f01-g04,1,condor,"[2662.0, 1439.0, 2830.0, 1603.0]","[665.5, 359.75, 707.5, 400.75]",41.0,1722.0,>=32,512-<2048,0,0.7151041666666667,0.7041666666666667
f01-g05,1,small_plane,"[2029.0, 1573.0, 2070.0, 1622.0]","[507.25, 393.25, 517.5, 405.5]",10.25,125.5625,8-<16,32-<128,0,0.5337239583333333,0.7395833333333334
f01-g06,1,small_launcher,"[1787.0, 275.0, 1807.0, 305.0]","[446.75, 68.75, 451.75, 76.25]",5.0,37.5,4-<8,32-<128,0,0.46796875,0.13425925925925927
f01-g07,1,tank,"[882.0, 21.0, 928.0, 64.0]","[220.5, 5.25, 232.0, 16.0]",10.75,123.625,8-<16,32-<128,0,0.23567708333333334,0.019675925925925927
f01-g08,1,helicopter,"[2235.0, 912.0, 2345.0, 1000.0]","[558.75, 228.0, 586.25, 250.0]",22.0,605.0,16-<32,512-<2048,0,0.5963541666666666,0.4425925925925926
f01-g09,1,small_tower,"[2620.0, 853.0, 2674.0, 913.0]","[655.0, 213.25, 668.5, 228.25]",13.5,202.5,8-<16,128-<512,0,0.6893229166666667,0.40879629629629627
f01-g10,1,ta-ta,"[1093.0, 348.0, 1122.0, 367.0]","[273.25, 87.0, 280.5, 91.75]",4.75,34.4375,4-<8,32-<128,0,0.2884114583333333,0.16550925925925927
f02-g00,2,jammer,"[1490.0, 1383.0, 1522.0, 1426.0]","[372.5, 345.75, 380.5, 356.5]",8.0,86.0,8-<16,32-<128,0,0.3921875,0.6502314814814815
f02-g01,2,large_launcher,"[3475.0, 473.0, 3617.0, 579.0]","[868.75, 118.25, 904.25, 144.75]",26.5,940.75,16-<32,512-<2048,0,0.9234375,0.24351851851851852
f02-g02,2,spacecraft,"[1519.0, 746.0, 1561.0, 795.0]","[379.75, 186.5, 390.25, 198.75]",10.5,128.625,8-<16,128-<512,0,0.4010416666666667,0.35671296296296295
f02-g03,2,condor,"[2668.0, 1510.0, 2837.0, 1676.0]","[667.0, 377.5, 709.25, 419.0]",41.5,1753.375,>=32,512-<2048,0,0.716796875,0.7375
f02-g04,2,small_plane,"[2030.0, 1646.0, 2071.0, 1695.0]","[507.5, 411.5, 517.75, 423.75]",10.25,125.5625,8-<16,32-<128,0,0.533984375,0.7733796296296296
f02-g05,2,small_launcher,"[1786.0, 330.0, 1807.0, 360.0]","[446.5, 82.5, 451.75, 90.0]",5.25,39.375,4-<8,32-<128,0,0.46783854166666666,0.1597222222222222
f02-g06,2,tank,"[875.0, 73.0, 922.0, 117.0]","[218.75, 18.25, 230.5, 29.25]",11.0,129.25,8-<16,128-<512,0,0.233984375,0.04398148148148148
f02-g07,2,helicopter,"[2238.0, 975.0, 2348.0, 1064.0]","[559.5, 243.75, 587.0, 266.0]",22.25,611.875,16-<32,512-<2048,0,0.5971354166666667,0.47199074074074077
f02-g08,2,small_tower,"[2625.0, 916.0, 2679.0, 976.0]","[656.25, 229.0, 669.75, 244.0]",13.5,202.5,8-<16,128-<512,0,0.690625,0.43796296296296294
f02-g09,2,ta-ta,"[1087.0, 404.0, 1117.0, 422.0]","[271.75, 101.0, 279.25, 105.5]",4.5,33.75,4-<8,32-<128,0,0.2869791666666667,0.1912037037037037
f03-g00,3,jammer,"[1487.0, 1453.0, 1519.0, 1496.0]","[371.75, 363.25, 379.75, 374.0]",8.0,86.0,8-<16,32-<128,0,0.39140625,0.6826388888888889
f03-g01,3,large_launcher,"[3486.0, 531.0, 3628.0, 637.0]","[871.5, 132.75, 907.0, 159.25]",26.5,940.75,16-<32,512-<2048,0,0.9263020833333333,0.27037037037037037
f03-g02,3,spacecraft,"[1516.0, 807.0, 1558.0, 856.0]","[379.0, 201.75, 389.5, 214.0]",10.5,128.625,8-<16,128-<512,0,0.4002604166666667,0.3849537037037037
f03-g03,3,condor,"[2673.0, 1583.0, 2844.0, 1749.0]","[668.25, 395.75, 711.0, 437.25]",41.5,1774.125,>=32,512-<2048,0,0.718359375,0.7712962962962963
f03-g04,3,small_plane,"[2030.0, 1719.0, 2073.0, 1769.0]","[507.5, 429.75, 518.25, 442.25]",10.75,134.375,8-<16,128-<512,0,0.5342447916666667,0.8074074074074075
f03-g05,3,jet_plane,"[2199.0, 0.0, 2271.0, 27.0]","[549.75, 0.0, 567.75, 6.75]",6.75,121.5,4-<8,32-<128,1,0.58203125,0.00625
f03-g06,3,small_launcher,"[1785.0, 386.0, 1806.0, 416.0]","[446.25, 96.5, 451.5, 104.0]",5.25,39.375,4-<8,32-<128,0,0.467578125,0.18564814814814815
f03-g07,3,tank,"[868.0, 126.0, 915.0, 170.0]","[217.0, 31.5, 228.75, 42.5]",11.0,129.25,8-<16,128-<512,0,0.23216145833333332,0.06851851851851852
f03-g08,3,helicopter,"[2240.0, 1039.0, 2351.0, 1129.0]","[560.0, 259.75, 587.75, 282.25]",22.5,624.375,16-<32,512-<2048,0,0.5977864583333333,0.5018518518518519
f03-g09,3,small_tower,"[2630.0, 979.0, 2685.0, 1039.0]","[657.5, 244.75, 671.25, 259.75]",13.75,206.25,8-<16,128-<512,0,0.6920572916666666,0.4671296296296296
f03-g10,3,ta-ta,"[1082.0, 460.0, 1112.0, 479.0]","[270.5, 115.0, 278.0, 119.75]",4.75,35.625,4-<8,32-<128,0,0.28567708333333336,0.21736111111111112
f04-g00,4,jammer,"[1484.0, 1524.0, 1516.0, 1567.0]","[371.0, 381.0, 379.0, 391.75]",8.0,86.0,8-<16,32-<128,0,0.390625,0.7155092592592592
f04-g01,4,large_launcher,"[3496.0, 590.0, 3640.0, 696.0]","[874.0, 147.5, 910.0, 174.0]",26.5,954.0,16-<32,512-<2048,0,0.9291666666666667,0.29768518518518516
f04-g02,4,spacecraft,"[1514.0, 869.0, 1556.0, 918.0]","[378.5, 217.25, 389.0, 229.5]",10.5,128.625,8-<16,128-<512,0,0.3997395833333333,0.4136574074074074
f04-g03,4,condor,"[2679.0, 1656.0, 2851.0, 1824.0]","[669.75, 414.0, 712.75, 456.0]",42.0,1806.0,>=32,512-<2048,0,0.7200520833333334,0.8055555555555556
f04-g04,4,small_plane,"[2031.0, 1794.0, 2074.0, 1844.0]","[507.75, 448.5, 518.5, 461.0]",10.75,134.375,8-<16,128-<512,0,0.5345052083333334,0.8421296296296297
f04-g05,4,jet_plane,"[2201.0, 4.0, 2273.0, 79.0]","[550.25, 1.0, 568.25, 19.75]",18.0,337.5,16-<32,128-<512,0,0.5825520833333333,0.019212962962962963
f04-g06,4,small_launcher,"[1784.0, 442.0, 1805.0, 473.0]","[446.0, 110.5, 451.25, 118.25]",5.25,40.6875,4-<8,32-<128,0,0.46731770833333336,0.21180555555555555
f04-g07,4,tank,"[861.0, 180.0, 909.0, 224.0]","[215.25, 45.0, 227.25, 56.0]",11.0,132.0,8-<16,128-<512,0,0.23046875,0.09351851851851851
f04-g08,4,helicopter,"[2242.0, 1104.0, 2354.0, 1195.0]","[560.5, 276.0, 588.5, 298.75]",22.75,637.0,16-<32,512-<2048,0,0.5984375,0.5321759259259259
f04-g09,4,small_tower,"[2635.0, 1044.0, 2690.0, 1104.0]","[658.75, 261.0, 672.5, 276.0]",13.75,206.25,8-<16,128-<512,0,0.693359375,0.49722222222222223
f04-g10,4,ta-ta,"[1076.0, 517.0, 1106.0, 536.0]","[269.0, 129.25, 276.5, 134.0]",4.75,35.625,4-<8,32-<128,0,0.28411458333333334,0.24375
f05-g00,5,jammer,"[1481.0, 1596.0, 1513.0, 1639.0]","[370.25, 399.0, 378.25, 409.75]",8.0,86.0,8-<16,32-<128,0,0.38984375,0.7488425925925926
f05-g01,5,large_launcher,"[3507.0, 649.0, 3652.0, 756.0]","[876.75, 162.25, 913.0, 189.0]",26.75,969.6875,16-<32,512-<2048,0,0.9321614583333333,0.32523148148148145
f05-g02,5,spacecraft,"[1511.0, 932.0, 1553.0, 981.0]","[377.75, 233.0, 388.25, 245.25]",10.5,128.625,8-<16,128-<512,0,0.39895833333333336,0.4428240740740741
