object_id,first_frame,last_frame,visible_frames,correct_iou50_frames,correct_iou50_rate,any_class_iou50_frames,any_class_iou50_rate,longest_correct_detection_gap,correct_confidence_mean,correct_confidence_std,matched_iou_median,dominant_best_overlap_label,dominant_label_fraction,class_stability_fraction,confidence_vs_short_side_r,confidence_vs_frame_r,confidence_vs_x_r
hangar,19,24,6,4,0.6666666666666666,4,0.6666666666666666,2,0.033588668797165155,0.02286417922293829,0.8842306954331294,hangar,1.0,1.0,0.4639911011233066,-0.1150299128479048,0.12278417531680699
helicopter,0,18,19,18,0.9473684210526315,18,0.9473684210526315,1,0.8842244082027011,0.11183798032461485,0.8867730211831829,helicopter,1.0,1.0,0.6931050140699399,-0.6277444509532522,-0.6465163271046355
jet_plane,3,24,22,21,0.9545454545454546,21,0.9545454545454546,1,0.728790663537525,0.14517819561762235,0.8460346505438874,jet_plane,1.0,1.0,0.6044470976912202,0.2956150385107307,0.2753615347037065
large_launcher,0,24,25,25,1.0,25,1.0,0,0.9283785128593445,0.13733912682753352,0.8824511975606111,large_launcher,1.0,1.0,0.5766042740940367,-0.469689471006559,-0.4382976747583191
large_tower,6,24,19,0,0.0,0,0.0,19,,,,no_detection,,,,,
medium_launcher,14,23,10,0,0.0,0,0.0,10,,,,no_detection,,,,,
medium_plane,20,24,5,0,0.0,0,0.0,5,,,,no_detection,,,,,
mine_roller,0,1,2,0,0.0,0,0.0,2,,,,no_detection,,,,,
small_launcher,0,24,25,0,0.0,0,0.0,25,,,,no_detection,,,,,
small_plane,0,8,9,0,0.0,0,0.0,9,,,,no_detection,,,,,
small_tower,0,19,20,19,0.95,19,0.95,1,0.8311734654401478,0.13834996114393688,0.8456905309293796,small_tower,1.0,1.0,0.23600457707463346,0.246765634420666,0.24446259264812928
ta-ta,0,24,25,0,0.0,0,0.0,25,,,,no_detection,,,,,
tank,0,24,25,0,0.0,8,0.32,25,,,0.8595138520728249,spacecraft,0.875,0.875,,,
condor,0,10,11,9,0.8181818181818182,9,0.8181818181818182,2,0.038516679778695107,0.015739417389036767,0.9197297452412809,condor,1.0,1.0,0.4286297046019725,-0.37527565532144225,-0.3818571255323718
jammer,0,12,13,0,0.0,0,0.0,13,,,0.1323532552847871,jet_plane,1.0,1.0,,,
spacecraft,0,22,23,20,0.8695652173913043,22,0.9565217391304348,2,0.8805512994527817,0.0960421679903342,0.8291727298134266,spacecraft,0.9090909090909091,0.9090909090909091,0.179801172591607,0.1883887085516095,-0.18133928666667978
