model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,227,227,1.0,227,1.0,0.9300131112827388,0.9494343125231588,2.2494234859932294,1.0196206199172053,0.02065979239144252
A_FIXED,2,212,212,1.0,211,0.9952830188679245,0.8902914069504264,0.9208493788391681,3.466979167302241,1.5704684835085447,0.036101731891813885
A_FIXED,3,197,197,1.0,193,0.9796954314720813,0.8531888635764319,0.8942742048458602,4.450968769876156,2.420403425085339,0.04831968947459251
A_FIXED,4,182,182,1.0,173,0.9505494505494505,0.8263988723546155,0.8694739406412233,5.253144514648344,2.743817205947475,0.05976930850450103
A_FIXED,5,168,168,1.0,160,0.9523809523809523,0.8021432926066266,0.8437491342113062,5.8845565455012165,3.2632241020145534,0.07123595023990374
A_FIXED,6,155,155,1.0,147,0.9483870967741935,0.780213197041594,0.822936045764104,6.498550579098052,3.6478492712155672,0.07969283544984869
A_FIXED,7,142,142,1.0,131,0.9225352112676056,0.7593611642981684,0.8046765788046106,7.074109955460028,4.27704635730347,0.0927304192651755
A_FIXED,8,129,129,1.0,117,0.9069767441860465,0.7383056269060698,0.7800286157072388,7.561629090207999,4.639062510773812,0.11014606409273237
A_FIXED,9,117,117,1.0,106,0.905982905982906,0.7196184681626371,0.7530019150917109,7.85711021192535,4.991462647326132,0.1249885004121914
A_FIXED,10,106,106,1.0,91,0.8584905660377359,0.701349917223855,0.7282678646410137,7.857355498437077,5.229070986988,0.1354465527403929
A_FIXED,11,96,96,1.0,81,0.84375,0.6857383121979037,0.7094939270324452,8.269113373539335,4.960414600817073,0.1444589139797981
A_FIXED,12,86,86,1.0,73,0.8488372093023255,0.6724388571984274,0.6933609329401671,8.756890882323127,5.03274707481057,0.16172546846771813
A_FIXED,13,77,77,1.0,63,0.8181818181818182,0.6564725498770445,0.6785531141462516,9.270041854170024,5.551633059937423,0.18353478604813747
A_FIXED,14,68,68,1.0,55,0.8088235294117647,0.640938959710452,0.6823564092781977,9.695706039525154,5.727598731503496,0.1925682508734104
A_FIXED,15,59,59,1.0,45,0.7627118644067796,0.6307890125143569,0.6677225014011043,10.143112763636239,6.191505359890283,0.20268562158818984
A_FIXED,16,50,50,1.0,35,0.7,0.6159431790536175,0.6614833822638848,10.722127242806732,6.3762102470143915,0.2356464735690491
A_FIXED,17,41,41,1.0,29,0.7073170731707317,0.6043680778280763,0.663132669595436,11.296931787737384,7.102241211871565,0.249675563889701
A_FIXED,18,32,32,1.0,23,0.71875,0.6009335969105712,0.6669655084300695,10.880693676748399,7.490131962269883,0.21704501346172758
A_FIXED,19,25,25,1.0,18,0.72,0.5879323647595939,0.6446097759291461,12.079909505451077,7.27448864898572,0.20053844884774685
A_FIXED,20,19,19,1.0,13,0.6842105263157895,0.5617024297156771,0.6455093463333849,13.525098911695409,8.836125062497318,0.2620433784808819
A_FIXED,21,13,13,1.0,8,0.6153846153846154,0.5282598385589853,0.5985667891592109,15.388906219623964,16.118202827125078,0.29053453485428005
A_FIXED,22,8,8,1.0,5,0.625,0.5269364374099872,0.5727442122165117,15.59596124439003,13.422858471604947,0.27050145720137686
A_FIXED,23,4,4,1.0,2,0.5,0.5128918770102504,0.5443379504629946,16.799692351825733,16.076212551625495,0.28032186071696885
A_RES_CV,1,227,227,1.0,227,1.0,0.9131525058829768,0.9358175680357274,2.5543563577232193,1.0645646177322903,0.026006382001799368
A_RES_CV,2,212,212,1.0,206,0.9716981132075472,0.8548607545235875,0.8931075189019855,4.753643628665166,2.148984457426419,0.046105149752128316
A_RES_CV,3,197,197,1.0,181,0.9187817258883249,0.8034042258785951,0.8484190185862938,6.777701505667555,2.863579435166326,0.06634979786459089
A_RES_CV,4,182,182,1.0,163,0.8956043956043956,0.7642190966317078,0.823033013985788,8.397170877546895,3.5864366912240753,0.07911975523816206
A_RES_CV,5,168,168,1.0,150,0.8928571428571429,0.7346667946341829,0.7940181804249116,9.561936076217627,4.626265453318105,0.09213774858417892
A_RES_CV,6,155,155,1.0,135,0.8709677419354839,0.7020154852554125,0.7669118890039744,11.031271973575047,5.730877424524433,0.11035336950103321
A_RES_CV,7,142,142,1.0,113,0.795774647887324,0.664141232059544,0.7217406129307267,13.08380589238815,6.6009158761408395,0.1329493384437369
