model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,243,243,1.0,238,0.9794238683127572,0.9154482238642608,0.9481882754826779,2.554454564062564,1.0196206199172053,0.02065979239144252
A_FIXED,2,227,227,1.0,221,0.973568281938326,0.8763450448119656,0.9202191215913341,3.827496355249899,1.5766134241781626,0.03624160878595562
A_FIXED,3,212,212,1.0,203,0.9575471698113207,0.8397790155632716,0.8938064800496903,4.818122844143908,2.4171757646130914,0.04836494805114991
A_FIXED,4,197,197,1.0,183,0.9289340101522843,0.8128517776849276,0.8676778426409083,5.593035087052519,2.8119350956038867,0.06041843230033514
A_FIXED,5,182,182,1.0,169,0.9285714285714286,0.7893084987630046,0.84307553192124,6.231128832089042,3.3816928084817968,0.07184419779578424
A_FIXED,6,168,168,1.0,156,0.9285714285714286,0.7721844342987113,0.8228621828189348,6.531578900287863,3.7081735387963577,0.08013604508230754
A_FIXED,7,155,155,1.0,140,0.9032258064516129,0.7507935117594277,0.8024317547087173,7.105383038665886,4.281194859335475,0.09463508068851163
A_FIXED,8,142,142,1.0,126,0.8873239436619719,0.7298604020591613,0.7811497424179742,7.607502566381277,4.662448548945443,0.11086728040127122
A_FIXED,9,129,129,1.0,114,0.8837209302325582,0.7114779653910903,0.7559700964902657,8.066721094870669,4.992647272618729,0.1249885004121914
A_FIXED,10,117,117,1.0,99,0.8461538461538461,0.6980965257244803,0.7357007536371952,8.23294334407451,5.01073946694386,0.1285716859497455
A_FIXED,11,106,106,1.0,87,0.8207547169811321,0.6818979951571534,0.7137366304109353,8.126481370514586,4.93579616106422,0.13792946147406882
A_FIXED,12,96,96,1.0,79,0.8229166666666666,0.6683660862773753,0.695024888373696,8.50785795395231,4.9146671917226445,0.15003151507873025
A_FIXED,13,86,86,1.0,69,0.8023255813953488,0.6558613515101465,0.6998353946218707,8.9677409380071,5.308149661084589,0.16705575409108972
A_FIXED,14,77,77,1.0,61,0.7922077922077922,0.6411265039742207,0.6848536154905311,9.315140759943526,5.425478434523372,0.18275639182692438
A_FIXED,15,68,68,1.0,51,0.75,0.6297116460952108,0.7007341939703826,9.72388850116621,5.931701495847541,0.1825436119867856
A_FIXED,16,59,59,1.0,41,0.6949152542372882,0.614418669134098,0.6966580619189632,10.288964558467265,6.148059504000563,0.18426135862963455
A_FIXED,17,50,50,1.0,35,0.7,0.602362442514603,0.684629604884884,10.815378986828662,6.0586531780501645,0.18727346581005497
A_FIXED,18,41,41,1.0,29,0.7073170731707317,0.5954995856996339,0.6767991077152573,11.251382361739418,7.8996575587737246,0.19710372878200288
A_FIXED,19,32,32,1.0,23,0.71875,0.5822552738039806,0.6576956527972844,11.535460751296046,7.636149752487383,0.19978609132095163
A_FIXED,20,25,25,1.0,17,0.68,0.5669177775340026,0.6469315057023237,12.51289683127633,8.411401375516085,0.20850368136383887
A_FIXED,21,19,19,1.0,12,0.631578947368421,0.533266231345429,0.5985667891592109,14.118751708269865,11.68664538740742,0.24941893261888287
A_FIXED,22,13,13,1.0,7,0.5384615384615384,0.5217439702057699,0.5328224861568063,14.395055487049394,13.131342993230449,0.2574773135927539
A_FIXED,23,8,8,1.0,4,0.5,0.5075650357294914,0.5433205980784589,13.965264106825082,10.022335488081755,0.2582308646985523
A_FIXED,24,4,4,1.0,2,0.5,0.469321566557355,0.4439194352847024,12.955284560138857,10.374318852882075,0.26086715806576033
A_RES_CV,1,243,227,0.934156378600823,227,1.0,0.9131525058829768,0.9358175680357274,2.5543563577232193,1.0645646177322903,0.026006382001799368
A_RES_CV,2,227,212,0.933920704845815,206,0.9716981132075472,0.8548607545235875,0.8931075189019855,4.753643628665166,2.148984457426419,0.046105149752128316
A_RES_CV,3,212,197,0.9292452830188679,181,0.9187817258883249,0.8034042258785951,0.8484190185862938,6.777701505667555,2.863579435166326,0.06634979786459089
A_RES_CV,4,197,182,0.9238578680203046,163,0.8956043956043956,0.7642190966317078,0.823033013985788,8.397170877546895,3.5864366912240753,0.07911975523816206
A_RES_CV,5,182,168,0.9230769230769231,150,0.8928571428571429,0.7346667946341829,0.7940181804249116,9.561936076217627,4.626265453318105,0.09213774858417892
A_RES_CV,6,168,155,0.9226190476190477,135,0.8709677419354839,0.7020154852554125,0.7669118890039744,11.031271973575047,5.730877424524433,0.11035336950103321
A_RES_CV,7,155,142,0.9161290322580645,113,0.795774647887324,0.664141232059544,0.7217406129307267,13.08380589238815,6.6009158761408395,0.1329493384437369
A_RES_CV,8,142,129,0.9084507042253521,101,0.7829457364341085,0.6371571396746429,0.6880527292667624,14.959304715553719,7.537989260339352,0.152158830455862
A_RES_CV,9,129,117,0.9069767441860465,83,0.7094017094017094,0.6082578364901576,0.6434741970854667,16.11074160906904,8.435844681963601,0.1749329705898889
