target_class,start_frame,end_frame,model,update_id,available,x,y,boundary,center_error,error_dx,error_dy,iou,valid,unavailable_reason
condor,0,1,T_FIXED,condor:1,1,2740.0,1450.0,0,11.876973520219703,-6.0,-10.25,0.8238432226456178,1,
condor,0,1,S_FIXED,condor:1,1,2740.0,1450.0,0,2.5600977517957664,1.4783555405065272,-2.090111335456413,0.9577179370551417,1,
condor,1,2,T_FIXED,condor:2,1,2746.0,1521.0,0,13.892443989449804,-7.0,-12.0,0.7997507808327804,1,
condor,1,2,S_FIXED,condor:2,1,2746.0,1521.0,0,3.9001121354137234,0.052932237310415076,-3.899752921282925,0.9482741044997103,1,
condor,2,3,T_FIXED,condor:3,1,2752.5,1593.0,0,13.892443989449804,-7.0,-12.0,0.8010083604569532,1,
condor,2,3,S_FIXED,condor:3,1,2752.5,1593.0,0,4.263254141575054,0.647333174126743,-4.213821975040219,0.9396431498991051,1,
condor,3,4,T_FIXED,condor:4,1,2758.5,1666.0,0,14.983324063771697,-6.5,-13.5,0.7926113692907102,1,
condor,3,4,S_FIXED,condor:4,1,2758.5,1666.0,0,4.059181986078051,0.4965821704836344,-4.028692659419221,0.9474461886786643,1,
condor,4,5,T_FIXED,condor:5,1,2765.0,1740.0,0,15.20896117425513,-6.5,-13.75,0.7921283560528055,1,
condor,4,5,S_FIXED,condor:5,1,2765.0,1740.0,0,4.571225494836505,0.5812164974331608,-4.534125043242057,0.9415124227762779,1,
condor,5,6,T_FIXED,condor:6,1,2771.5,1815.0,0,16.101242188104617,-7.0,-14.5,0.7827419403298982,1,
condor,5,6,S_FIXED,condor:6,1,2771.5,1815.0,0,4.574607185725968,0.1667307448642532,-4.571567757609273,0.9371922524263446,1,
condor,6,7,T_FIXED,condor:7,1,2778.5,1891.5,0,16.91892431568863,-5.5,-16.0,0.78379094979967,1,
condor,6,7,S_FIXED,condor:7,1,2778.5,1891.5,0,5.7223464091700995,1.7193855281730066,-5.457926513984148,0.9209509550255464,1,
condor,7,8,T_FIXED,condor:8,1,2785.0,1969.0,0,16.91892431568863,-5.5,-16.0,0.7858273407292307,1,
condor,7,8,S_FIXED,condor:8,1,2785.0,1969.0,0,6.024623574724945,0.2948766273675574,-6.017402844397566,0.923161764326897,1,
condor,8,9,T_FIXED,condor:9,1,2792.0,2047.5,1,12.41219158730641,-5.75,11.0,0.8218037661050545,1,
condor,8,9,S_FIXED,condor:9,1,2792.0,2047.5,1,21.785233438092256,0.5780510380454871,21.77756306269339,0.9411386588933159,1,
condor,9,10,T_FIXED,condor:10,1,2798.5,2099.0,1,23.42007685726074,-6.5,22.5,0.6338938591971521,1,
condor,9,10,S_FIXED,condor:10,1,2798.5,2099.0,1,33.0231674112385,0.010753682300673972,33.023165660320956,0.8139823206564442,1,
hangar,19,20,T_FIXED,hangar:20,1,252.0,3.0,1,44.40228034684705,12.0,42.75,0.0,0,
hangar,19,20,S_FIXED,hangar:20,1,252.0,3.0,1,35.32464475851626,-3.90749555169873,35.107862450294874,0.0,0,
hangar,20,21,T_FIXED,hangar:21,1,241.0,29.0,1,42.68782027698299,10.0,41.5,0.3144533741548667,0,
hangar,20,21,S_FIXED,hangar:21,1,241.0,29.0,1,34.4074767526733,-2.296759691855982,34.33073479265509,0.4123495145547806,0,
hangar,21,22,T_FIXED,hangar:22,1,230.0,55.0,1,23.259406699226016,10.0,21.0,0.6375938731504202,1,
hangar,21,22,S_FIXED,hangar:22,1,230.0,55.0,1,14.682665537708113,-0.9575408764497411,14.651408900243325,0.7727080461429374,1,
hangar,22,23,T_FIXED,hangar:23,1,219.0,100.0,0,19.251623308178456,11.75,15.25,0.70347380523563,1,
hangar,22,23,S_FIXED,hangar:23,1,219.0,100.0,0,7.674349200854402,-2.027169970859916,7.401771245174928,0.8729454072612662,1,
hangar,23,24,T_FIXED,hangar:24,1,208.0,153.5,0,19.72308292331602,10.0,17.0,0.6987030609848386,1,
hangar,23,24,S_FIXED,hangar:24,1,208.0,153.5,0,6.543470866787176,-1.2293330545140861,6.426955050844185,0.8942323840405958,1,
helicopter,0,1,T_FIXED,helicopter:1,1,2287.5,893.5,0,3.0516389039334255,-2.5,-1.75,0.9186503466746765,1,
helicopter,0,1,S_FIXED,helicopter:1,1,2287.5,893.5,0,1.3635975024532163,1.10253864288552,0.8023756536939572,0.9623770818764923,1,
helicopter,1,2,T_FIXED,helicopter:2,1,2290.0,956.0,0,4.949747468305833,-3.5,-3.5,0.8689704823614111,1,
helicopter,1,2,S_FIXED,helicopter:2,1,2290.0,956.0,0,0.5883404265330203,0.43920854297994083,0.3914592102205461,0.9809433953940058,1,
helicopter,2,3,T_FIXED,helicopter:3,1,2293.0,1019.5,0,4.949747468305833,-3.5,-3.5,0.8699186991869918,1,
helicopter,2,3,S_FIXED,helicopter:3,1,2293.0,1019.5,0,0.9155778385626543,0.8969653266085515,0.18367357275633367,0.9730024018704346,1,
helicopter,3,4,T_FIXED,helicopter:4,1,2295.5,1084.0,0,5.5901699437494745,-2.5,-5.0,0.8579516685845799,1,
helicopter,3,4,S_FIXED,helicopter:4,1,2295.5,1084.0,0,1.1214686479739722,1.1175172903595012,-0.09405867390159983,0.9694412517389477,1,
helicopter,4,5,T_FIXED,helicopter:5,1,2298.0,1149.5,0,5.367727638395972,-2.5,-4.75,0.863481228668942,1,
helicopter,4,5,S_FIXED,helicopter:5,1,2298.0,1149.5,0,0.9273331636550948,0.9101373063549545,0.17775511243144138,0.980143792416964,1,
helicopter,5,6,T_FIXED,helicopter:6,1,2300.5,1215.5,0,6.264982043070834,-3.0,-5.5,0.8432124075229521,1,
helicopter,5,6,S_FIXED,helicopter:6,1,2300.5,1215.5,0,0.6631084693134869,0.5380562682521486,-0.38756714807868775,0.9798059372359379,1,
helicopter,6,7,T_FIXED,helicopter:7,1,2303.5,1283.0,0,6.800735254367722,-2.0,-6.5,0.8411182496961278,1,
helicopter,6,7,S_FIXED,helicopter:7,1,2303.5,1283.0,0,1.1292555525363994,0.7275783984932787,-0.86362478946603,0.9617021276595744,1,
helicopter,7,8,T_FIXED,helicopter:8,1,2306.5,1351.0,0,6.576473218982953,-1.0,-6.5,0.8566512045488553,1,
helicopter,7,8,S_FIXED,helicopter:8,1,2306.5,1351.0,0,1.4247097037841736,0.643766799288187,-1.2709689406869984,0.9626713212176806,1,
helicopter,8,9,T_FIXED,helicopter:9,1,2309.0,1420.0,0,10.00624804809475,-2.25,-9.75,0.7848060690244685,1,
helicopter,8,9,S_FIXED,helicopter:9,1,2309.0,1420.0,0,3.9800773105066716,0.02718998927912253,-3.979984434905873,0.9187583110751361,1,
helicopter,9,10,T_FIXED,helicopter:10,1,2312.0,1490.5,0,9.82344135219425,-2.5,-9.5,0.7876969842412607,1,
helicopter,9,10,S_FIXED,helicopter:10,1,2312.0,1490.5,0,4.2718550579082075,-0.04540852670925233,-4.271613711640839,0.8994506261446313,1,
helicopter,10,11,T_FIXED,helicopter:11,1,2315.0,1562.0,0,10.307764064044152,-4.0,-9.5,0.7714685749844431,1,
helicopter,10,11,S_FIXED,helicopter:11,1,2315.0,1562.0,0,3.338317750152759,0.17121246186661665,-3.3339243683512905,0.930596477637984,1,
helicopter,11,12,T_FIXED,helicopter:12,1,2318.0,1634.5,0,10.124228365658293,-3.5,-9.5,0.7786166913846568,1,
helicopter,11,12,S_FIXED,helicopter:12,1,2318.0,1634.5,0,3.804906434544074,-0.0025308454596597585,-3.8049055928440794,0.9096732873337812,1,
helicopter,12,13,T_FIXED,helicopter:13,1,2321.0,1707.5,0,10.738365797457265,-2.25,-10.5,0.7786899264580126,1,
helicopter,12,13,S_FIXED,helicopter:13,1,2321.0,1707.5,0,4.238457483342308,-0.22583148621015425,-4.232436884105482,0.913491353796622,1,
helicopter,13,14,T_FIXED,helicopter:14,1,2324.0,1782.0,0,10.920164833920778,-3.0,-10.5,0.7724951248955335,1,
helicopter,13,14,S_FIXED,helicopter:14,1,2324.0,1782.0,0,4.376071500838636,-0.4193732901835574,-4.35593019043381,0.9083860141498787,1,
helicopter,14,15,T_FIXED,helicopter:15,1,2327.5,1858.0,0,10.5,0.0,-10.5,0.8047590895654745,1,
helicopter,14,15,S_FIXED,helicopter:15,1,2327.5,1858.0,0,4.231584155097266,0.8001953250627594,-4.155236684404144,0.9089820188111702,1,
helicopter,15,16,T_FIXED,helicopter:16,1,2330.0,1934.5,0,12.041594578792296,-1.0,-12.0,0.7770790531487272,1,
helicopter,15,16,S_FIXED,helicopter:16,1,2330.0,1934.5,0,5.415766637576001,-0.016101609960969654,-5.4157427016834845,0.8917182814481328,1,
helicopter,16,17,T_FIXED,helicopter:17,1,2333.5,2013.0,0,11.597413504743201,-1.5,-11.5,0.7801172896205751,1,
helicopter,16,17,S_FIXED,helicopter:17,1,2333.5,2013.0,0,5.121469759967447,-0.10693330076719576,-5.120353285804413,0.8974523976793837,1,
helicopter,17,18,T_FIXED,helicopter:18,1,2337.0,2092.0,1,21.02379604162864,-1.0,21.0,0.7500399552501199,1,
helicopter,17,18,S_FIXED,helicopter:18,1,2337.0,2092.0,1,27.489054327259396,0.12780202387511963,27.488757237272694,0.8672295642541594,1,
jammer,0,1,T_FIXED,jammer:1,1,1512.0,1268.5,0,7.846177413237608,4.0,-6.75,0.5863247863247864,1,
jammer,0,1,S_FIXED,jammer:1,1,1512.0,1268.5,0,3.2186517967369697,-2.4129291419790206,-2.1301390434491623,0.7846302651233032,1,
jammer,1,2,T_FIXED,jammer:2,1,1509.0,1336.0,0,9.394147114027968,4.0,-8.5,0.5432372505543237,1,
jammer,1,2,S_FIXED,jammer:2,1,1509.0,1336.0,0,3.2921254205060686,-1.5343168450922349,-2.912724086350863,0.799052885629905,1,
jammer,2,3,T_FIXED,jammer:3,1,1506.0,1404.5,0,9.848857801796104,4.0,-9.0,0.5288888888888889,1,
jammer,2,3,S_FIXED,jammer:3,1,1506.0,1404.5,0,3.915789975548945,-1.6763122329407452,-3.5388399837097495,0.7693287702909707,1,
jammer,3,4,T_FIXED,jammer:4,1,1503.0,1474.5,0,11.423659658795863,4.5,-10.5,0.4809632718956007,0,
jammer,3,4,S_FIXED,jammer:4,1,1503.0,1474.5,0,4.028958537774103,-1.8812357945271287,-3.562788063370135,0.7593659081243856,1,
jammer,4,5,T_FIXED,jammer:5,1,1500.0,1545.5,0,11.559628021696891,4.25,-10.75,0.48191027496382055,0,
jammer,4,5,S_FIXED,jammer:5,1,1500.0,1545.5,0,4.055683139441288,-1.9319638057124848,-3.565961522642283,0.7570115540529297,1,
jammer,5,6,T_FIXED,jammer:6,1,1497.0,1617.5,0,11.739356881873896,5.25,-10.5,0.4662346079066753,0,
jammer,5,6,S_FIXED,jammer:6,1,1497.0,1617.5,0,3.432208902327048,-1.5316967885312351,-3.071475687225302,0.7944194309242986,1,
jammer,6,7,T_FIXED,jammer:7,1,1493.5,1690.0,0,13.92838827718412,5.0,-13.0,0.42340109072880516,0,
jammer,6,7,S_FIXED,jammer:7,1,1493.5,1690.0,0,4.66213864762764,-1.530943084338105,-4.403606481308316,0.7498912687076359,1,
jammer,7,8,T_FIXED,jammer:8,1,1490.5,1764.5,0,14.115594213493104,5.5,-13.0,0.4143619602134886,0,
jammer,7,8,S_FIXED,jammer:8,1,1490.5,1764.5,0,4.938675872470874,-0.9341615005473614,-4.849521797478701,0.7599311765377732,1,
jammer,8,9,T_FIXED,jammer:9,1,1487.0,1840.0,0,16.48104972384951,6.25,-15.25,0.3619380359772471,0,
