model_a,model_b,horizon,count,both_success,a_only,b_only,both_fail
CV,T_FIXED,1,227,175,52,0,0
CV,T_FIXED,2,212,73,134,0,5
CV,T_FIXED,3,197,36,143,0,18
CV,T_FIXED,4,182,8,138,0,36
CV,T_FIXED,5,168,0,104,0,64
CV,T_FIXED,6,155,0,58,0,97
CV,T_FIXED,7,142,0,42,0,100
CV,T_FIXED,8,129,0,12,0,117
CV,T_FIXED,9,117,0,0,0,117
CV,T_FIXED,10,106,0,0,0,106
CV,T_FIXED,11,96,0,0,0,96
CV,T_FIXED,12,86,0,0,0,86
CV,T_FIXED,13,77,0,0,0,77
CV,T_FIXED,14,68,0,0,0,68
CV,T_FIXED,15,59,0,0,0,59
CV,T_FIXED,16,50,0,0,0,50
CV,T_FIXED,17,41,0,0,0,41
CV,T_FIXED,18,32,0,0,0,32
CV,T_FIXED,19,25,0,0,0,25
CV,T_FIXED,20,19,0,0,0,19
CV,T_FIXED,21,13,0,0,0,13
CV,T_FIXED,22,8,0,0,0,8
CV,T_FIXED,23,4,0,0,0,4
CV,T_RES_CV,1,227,227,0,0,0
CV,T_RES_CV,2,212,200,7,1,4
CV,T_RES_CV,3,197,166,13,4,14
CV,T_RES_CV,4,182,127,19,8,28
CV,T_RES_CV,5,168,83,21,16,48
CV,T_RES_CV,6,155,51,7,27,70
CV,T_RES_CV,7,142,34,8,21,79
CV,T_RES_CV,8,129,7,5,27,90
CV,T_RES_CV,9,117,0,0,21,96
CV,T_RES_CV,10,106,0,0,14,92
CV,T_RES_CV,11,96,0,0,4,92
CV,T_RES_CV,12,86,0,0,4,82
CV,T_RES_CV,13,77,0,0,1,76
CV,T_RES_CV,14,68,0,0,0,68
CV,T_RES_CV,15,59,0,0,0,59
CV,T_RES_CV,16,50,0,0,0,50
CV,T_RES_CV,17,41,0,0,0,41
CV,T_RES_CV,18,32,0,0,0,32
CV,T_RES_CV,19,25,0,0,0,25
CV,T_RES_CV,20,19,0,0,0,19
CV,T_RES_CV,21,13,0,0,0,13
CV,T_RES_CV,22,8,0,0,0,8
CV,T_RES_CV,23,4,0,0,0,4
CV,S_FIXED,1,227,220,7,0,0
CV,S_FIXED,2,212,193,14,3,2
CV,S_FIXED,3,197,143,36,9,9
CV,S_FIXED,4,182,103,43,12,24
CV,S_FIXED,5,168,72,32,18,46
CV,S_FIXED,6,155,49,9,26,71
CV,S_FIXED,7,142,36,6,23,77
CV,S_FIXED,8,129,8,4,32,85
CV,S_FIXED,9,117,0,0,29,88
CV,S_FIXED,10,106,0,0,20,86
CV,S_FIXED,11,96,0,0,13,83
CV,S_FIXED,12,86,0,0,6,80
CV,S_FIXED,13,77,0,0,4,73
CV,S_FIXED,14,68,0,0,2,66
CV,S_FIXED,15,59,0,0,2,57
CV,S_FIXED,16,50,0,0,1,49
CV,S_FIXED,17,41,0,0,1,40
CV,S_FIXED,18,32,0,0,0,32
CV,S_FIXED,19,25,0,0,0,25
CV,S_FIXED,20,19,0,0,0,19
CV,S_FIXED,21,13,0,0,0,13
CV,S_FIXED,22,8,0,0,0,8
CV,S_FIXED,23,4,0,0,0,4
CV,S_RES_CV,1,227,227,0,0,0
CV,S_RES_CV,2,212,204,3,1,4
CV,S_RES_CV,3,197,175,4,6,12
CV,S_RES_CV,4,182,142,4,20,16
CV,S_RES_CV,5,168,100,4,40,24
CV,S_RES_CV,6,155,56,2,61,36
CV,S_RES_CV,7,142,41,1,51,49
CV,S_RES_CV,8,129,7,5,65,52
CV,S_RES_CV,9,117,0,0,54,63
CV,S_RES_CV,10,106,0,0,38,68
CV,S_RES_CV,11,96,0,0,28,68
CV,S_RES_CV,12,86,0,0,16,70
CV,S_RES_CV,13,77,0,0,10,67
CV,S_RES_CV,14,68,0,0,9,59
CV,S_RES_CV,15,59,0,0,3,56
CV,S_RES_CV,16,50,0,0,0,50
CV,S_RES_CV,17,41,0,0,1,40
CV,S_RES_CV,18,32,0,0,0,32
CV,S_RES_CV,19,25,0,0,1,24
CV,S_RES_CV,20,19,0,0,1,18
CV,S_RES_CV,21,13,0,0,1,12
CV,S_RES_CV,22,8,0,0,1,7
CV,S_RES_CV,23,4,0,0,0,4
CV,A_FIXED,1,227,227,0,0,0
CV,A_FIXED,2,212,206,1,5,0
CV,A_FIXED,3,197,177,2,16,2
CV,A_FIXED,4,182,142,4,31,5
CV,A_FIXED,5,168,101,3,59,5
CV,A_FIXED,6,155,58,0,89,8
CV,A_FIXED,7,142,42,0,89,11
CV,A_FIXED,8,129,12,0,105,12
CV,A_FIXED,9,117,0,0,106,11
CV,A_FIXED,10,106,0,0,91,15
CV,A_FIXED,11,96,0,0,81,15
CV,A_FIXED,12,86,0,0,73,13
CV,A_FIXED,13,77,0,0,63,14
CV,A_FIXED,14,68,0,0,55,13
CV,A_FIXED,15,59,0,0,45,14
CV,A_FIXED,16,50,0,0,35,15
CV,A_FIXED,17,41,0,0,29,12
CV,A_FIXED,18,32,0,0,23,9
CV,A_FIXED,19,25,0,0,18,7
CV,A_FIXED,20,19,0,0,13,6
CV,A_FIXED,21,13,0,0,8,5
CV,A_FIXED,22,8,0,0,5,3
CV,A_FIXED,23,4,0,0,2,2
CV,A_RES_CV,1,227,227,0,0,0
CV,A_RES_CV,2,212,205,2,1,4
CV,A_RES_CV,3,197,173,6,8,10
CV,A_RES_CV,4,182,139,7,24,12
CV,A_RES_CV,5,168,99,5,51,13
CV,A_RES_CV,6,155,57,1,78,19
CV,A_RES_CV,7,142,40,2,73,27
CV,A_RES_CV,8,129,11,1,90,27
CV,A_RES_CV,9,117,0,0,83,34
CV,A_RES_CV,10,106,0,0,67,39
CV,A_RES_CV,11,96,0,0,56,40
CV,A_RES_CV,12,86,0,0,48,38
CV,A_RES_CV,13,77,0,0,40,37
CV,A_RES_CV,14,68,0,0,35,33
CV,A_RES_CV,15,59,0,0,28,31
CV,A_RES_CV,16,50,0,0,20,30
CV,A_RES_CV,17,41,0,0,15,26
CV,A_RES_CV,18,32,0,0,10,22
CV,A_RES_CV,19,25,0,0,7,18
CV,A_RES_CV,20,19,0,0,5,14
CV,A_RES_CV,21,13,0,0,5,8
CV,A_RES_CV,22,8,0,0,3,5
CV,A_RES_CV,23,4,0,0,1,3
T_FIXED,T_RES_CV,1,227,175,0,52,0
T_FIXED,T_RES_CV,2,212,73,0,128,11
T_FIXED,T_RES_CV,3,197,36,0,134,27
T_FIXED,T_RES_CV,4,182,7,1,128,46
T_FIXED,T_RES_CV,5,168,0,0,99,69
T_FIXED,T_RES_CV,6,155,0,0,78,77
T_FIXED,T_RES_CV,7,142,0,0,55,87
T_FIXED,T_RES_CV,8,129,0,0,34,95
T_FIXED,T_RES_CV,9,117,0,0,21,96
T_FIXED,T_RES_CV,10,106,0,0,14,92
T_FIXED,T_RES_CV,11,96,0,0,4,92
T_FIXED,T_RES_CV,12,86,0,0,4,82
T_FIXED,T_RES_CV,13,77,0,0,1,76
T_FIXED,T_RES_CV,14,68,0,0,0,68
T_FIXED,T_RES_CV,15,59,0,0,0,59
T_FIXED,T_RES_CV,16,50,0,0,0,50
T_FIXED,T_RES_CV,17,41,0,0,0,41
T_FIXED,T_RES_CV,18,32,0,0,0,32
T_FIXED,T_RES_CV,19,25,0,0,0,25
T_FIXED,T_RES_CV,20,19,0,0,0,19
T_FIXED,T_RES_CV,21,13,0,0,0,13
T_FIXED,T_RES_CV,22,8,0,0,0,8
T_FIXED,T_RES_CV,23,4,0,0,0,4
T_FIXED,S_FIXED,1,243,182,0,48,13
T_FIXED,S_FIXED,2,227,78,0,127,22
T_FIXED,S_FIXED,3,212,38,0,121,53
T_FIXED,S_FIXED,4,197,9,0,110,78
T_FIXED,S_FIXED,5,182,1,0,93,88
T_FIXED,S_FIXED,6,168,0,0,79,89
T_FIXED,S_FIXED,7,155,0,0,62,93
T_FIXED,S_FIXED,8,142,0,0,43,99
T_FIXED,S_FIXED,9,129,0,0,33,96
T_FIXED,S_FIXED,10,117,0,0,22,95
T_FIXED,S_FIXED,11,106,0,0,15,91
T_FIXED,S_FIXED,12,96,0,0,7,89
T_FIXED,S_FIXED,13,86,0,0,5,81
T_FIXED,S_FIXED,14,77,0,0,3,74
T_FIXED,S_FIXED,15,68,0,0,2,66
T_FIXED,S_FIXED,16,59,0,0,1,58
T_FIXED,S_FIXED,17,50,0,0,1,49
T_FIXED,S_FIXED,18,41,0,0,0,41
T_FIXED,S_FIXED,19,32,0,0,0,32
T_FIXED,S_FIXED,20,25,0,0,0,25
T_FIXED,S_FIXED,21,19,0,0,0,19
T_FIXED,S_FIXED,22,13,0,0,0,13
T_FIXED,S_FIXED,23,8,0,0,0,8
T_FIXED,S_FIXED,24,4,0,0,0,4
T_FIXED,S_RES_CV,1,227,175,0,52,0
T_FIXED,S_RES_CV,2,212,73,0,132,7
T_FIXED,S_RES_CV,3,197,36,0,145,16
T_FIXED,S_RES_CV,4,182,8,0,154,20
T_FIXED,S_RES_CV,5,168,0,0,140,28
T_FIXED,S_RES_CV,6,155,0,0,117,38
T_FIXED,S_RES_CV,7,142,0,0,92,50
T_FIXED,S_RES_CV,8,129,0,0,72,57
T_FIXED,S_RES_CV,9,117,0,0,54,63
T_FIXED,S_RES_CV,10,106,0,0,38,68
T_FIXED,S_RES_CV,11,96,0,0,28,68
T_FIXED,S_RES_CV,12,86,0,0,16,70
T_FIXED,S_RES_CV,13,77,0,0,10,67
T_FIXED,S_RES_CV,14,68,0,0,9,59
T_FIXED,S_RES_CV,15,59,0,0,3,56
T_FIXED,S_RES_CV,16,50,0,0,0,50
T_FIXED,S_RES_CV,17,41,0,0,1,40
T_FIXED,S_RES_CV,18,32,0,0,0,32
T_FIXED,S_RES_CV,19,25,0,0,1,24
T_FIXED,S_RES_CV,20,19,0,0,1,18
T_FIXED,S_RES_CV,21,13,0,0,1,12
T_FIXED,S_RES_CV,22,8,0,0,1,7
T_FIXED,S_RES_CV,23,4,0,0,0,4
T_FIXED,A_FIXED,1,243,182,0,56,5
T_FIXED,A_FIXED,2,227,78,0,143,6
T_FIXED,A_FIXED,3,212,38,0,165,9
T_FIXED,A_FIXED,4,197,9,0,174,14
T_FIXED,A_FIXED,5,182,1,0,168,13
T_FIXED,A_FIXED,6,168,0,0,156,12
T_FIXED,A_FIXED,7,155,0,0,140,15
T_FIXED,A_FIXED,8,142,0,0,126,16
T_FIXED,A_FIXED,9,129,0,0,114,15
T_FIXED,A_FIXED,10,117,0,0,99,18
T_FIXED,A_FIXED,11,106,0,0,87,19
T_FIXED,A_FIXED,12,96,0,0,79,17
T_FIXED,A_FIXED,13,86,0,0,69,17
T_FIXED,A_FIXED,14,77,0,0,61,16
T_FIXED,A_FIXED,15,68,0,0,51,17
T_FIXED,A_FIXED,16,59,0,0,41,18
T_FIXED,A_FIXED,17,50,0,0,35,15
T_FIXED,A_FIXED,18,41,0,0,29,12
T_FIXED,A_FIXED,19,32,0,0,23,9
T_FIXED,A_FIXED,20,25,0,0,17,8
T_FIXED,A_FIXED,21,19,0,0,12,7
T_FIXED,A_FIXED,22,13,0,0,7,6
T_FIXED,A_FIXED,23,8,0,0,4,4
T_FIXED,A_FIXED,24,4,0,0,2,2
T_FIXED,A_RES_CV,1,227,175,0,52,0
T_FIXED,A_RES_CV,2,212,73,0,133,6
T_FIXED,A_RES_CV,3,197,36,0,145,16
T_FIXED,A_RES_CV,4,182,8,0,155,19
T_FIXED,A_RES_CV,5,168,0,0,150,18
T_FIXED,A_RES_CV,6,155,0,0,135,20
T_FIXED,A_RES_CV,7,142,0,0,113,29
T_FIXED,A_RES_CV,8,129,0,0,101,28
T_FIXED,A_RES_CV,9,117,0,0,83,34
T_FIXED,A_RES_CV,10,106,0,0,67,39
T_FIXED,A_RES_CV,11,96,0,0,56,40
T_FIXED,A_RES_CV,12,86,0,0,48,38
T_FIXED,A_RES_CV,13,77,0,0,40,37
T_FIXED,A_RES_CV,14,68,0,0,35,33
T_FIXED,A_RES_CV,15,59,0,0,28,31
T_FIXED,A_RES_CV,16,50,0,0,20,30
T_FIXED,A_RES_CV,17,41,0,0,15,26
