model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,condor,9,9,1.0,9,1.0,0.9738603715941299,0.9777516812284127,8.155045752321136,1.0194587653113807,0.006141317863321571
A_FIXED,1,hangar,4,4,1.0,4,1.0,0.831893600454497,0.9115543549944516,7.958649540082953,5.340972993830399,0.04161218197215881
A_FIXED,1,helicopter,17,17,1.0,17,1.0,0.9723206548392715,0.9747615461569799,2.6485475875448343,0.7967948677975055,0.008224509475611114
A_FIXED,1,jammer,11,11,1.0,11,1.0,0.9050215984142315,0.9206125089326429,2.026762485346954,1.1513894896827683,0.03489059059644752
A_FIXED,1,jet_plane,20,20,1.0,20,1.0,0.9573905046824251,0.958328250555017,1.2754818958343779,1.228648893423077,0.016261324944563824
A_FIXED,1,large_launcher,23,23,1.0,23,1.0,0.950448170314079,0.9699853946463048,2.9433845555430027,1.3018354592389703,0.011834867811263366
A_FIXED,1,large_tower,17,17,1.0,17,1.0,0.8931738323640245,0.9141576164474251,3.08281873286082,2.344468783366652,0.039705872759035095
A_FIXED,1,medium_launcher,8,8,1.0,8,1.0,0.886482638436113,0.8862320419981542,3.5902154835822246,3.1622030535416963,0.06874354464221079
A_FIXED,1,medium_plane,3,3,1.0,3,1.0,0.9135223897683437,0.9610637989854361,2.194570182087777,1.1113038696655408,0.022679670809500833
A_FIXED,1,small_launcher,23,23,1.0,23,1.0,0.9346770685634422,0.9498110130261741,0.6559032999105152,0.4464184438492435,0.020115336079480246
A_FIXED,1,small_plane,7,7,1.0,7,1.0,0.9520486120228676,0.9585284591922858,0.7617089551553143,0.7295980154941903,0.016967395709167218
A_FIXED,1,small_tower,18,18,1.0,18,1.0,0.952250858583739,0.9637736210713921,1.8954098485559863,0.7322394608701333,0.013090444726459864
A_FIXED,1,spacecraft,21,21,1.0,21,1.0,0.9347846761612397,0.9541094270803087,2.0364318194325217,0.8803531400118839,0.019138111739388782
A_FIXED,1,ta-ta,23,23,1.0,23,1.0,0.8877292785592708,0.9183673469387755,0.898721986254013,0.6265976804597804,0.032978825287356864
A_FIXED,1,tank,23,23,1.0,23,1.0,0.9200342800200845,0.9430380174990829,1.7033825975855923,1.1616609501113009,0.02370736632880206
A_FIXED,2,condor,8,8,1.0,8,1.0,0.9601923496852842,0.9617156877935498,13.140507399413709,2.1275882941179916,0.012511687699083405
A_FIXED,2,hangar,3,3,1.0,2,0.6666666666666666,0.7482759123503824,0.8345703447138377,13.683258652373985,9.059255336990201,0.07022678555806358
A_FIXED,2,helicopter,16,16,1.0,16,1.0,0.9559583855907077,0.9593786645901118,3.2077638677273432,1.132337570363555,0.011647323913869431
A_FIXED,2,jammer,10,10,1.0,10,1.0,0.8284748062556829,0.8742567204928332,3.2402725526327836,1.8889064257510313,0.056516420659847404
A_FIXED,2,jet_plane,19,19,1.0,19,1.0,0.9304511902714705,0.9383250214818326,2.2578897740376664,1.8965906606203895,0.02341469951383197
A_FIXED,2,large_launcher,22,22,1.0,22,1.0,0.9228997944234884,0.940775821376407,4.629561463744708,2.7815188199590173,0.025031983661799796
A_FIXED,2,large_tower,16,16,1.0,16,1.0,0.8134048331578185,0.845677879417475,5.772492944517563,4.152954802403767,0.06921539835828353
A_FIXED,2,medium_launcher,7,7,1.0,7,1.0,0.8457514393288742,0.8757742951792518,6.3701014931013,4.621094457076716,0.10045857515384166
A_FIXED,2,medium_plane,2,2,1.0,2,1.0,0.8675933685773161,0.8675933685773161,3.386856162735765,3.386856162735765,0.06911951352521971
A_FIXED,2,small_launcher,22,22,1.0,22,1.0,0.8912539331066024,0.9151049842314005,1.1581032405514928,0.9080639070178387,0.04179154567190685
