model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,16-32,63,63,1.0,63,1.0,0.9570781054037983,0.9699853946463048,2.952907955126589,1.171119013975591,0.011606128094537857
A_FIXED,1,4-<8,42,42,1.0,42,1.0,0.9254995939038638,0.9347345076522537,0.76225547544821,0.4731399849895847,0.02707112596604656
A_FIXED,1,8-<16,108,108,1.0,108,1.0,0.9190047798458436,0.9385186929751617,2.2773568489961016,1.1499778885317946,0.024891474453474588
A_FIXED,1,<4,5,5,1.0,5,1.0,0.7764727329647552,0.7652959629278823,2.0350145695227435,1.9371952896600984,0.12914635264400656
A_FIXED,1,>32,9,9,1.0,9,1.0,0.9790214209561374,0.9777516812284127,4.049065293274491,1.0194587653113807,0.006141317863321571
A_FIXED,2,16-32,59,59,1.0,59,1.0,0.9335107127771743,0.9485228744046545,3.5104194622208764,1.880953821791206,0.019339851818625367
A_FIXED,2,4-<8,40,40,1.0,40,1.0,0.8859566105876396,0.9131032308537878,1.0637667770698698,0.8223705554534271,0.046491369020349324
A_FIXED,2,8-<16,101,101,1.0,100,0.9900990099009901,0.8709182803066575,0.9035065365383211,3.637243589792737,1.8353908223407078,0.04061441238169864
A_FIXED,2,<4,4,4,1.0,4,1.0,0.6455241719192073,0.6034233460714806,3.2121255874681145,3.672446626176618,0.2623176161554727
A_FIXED,2,>32,8,8,1.0,8,1.0,0.9601923496852842,0.9617156877935498,13.140507399413709,2.1275882941179916,0.012511687699083405
A_FIXED,3,16-32,55,55,1.0,55,1.0,0.9106306082241743,0.9274469753164358,4.439472045467628,2.785674417033207,0.028822375054057308
A_FIXED,3,4-<8,39,39,1.0,39,1.0,0.8480193433817823,0.8782765572543028,1.527251722823971,1.3454995391500473,0.06803608755407829
A_FIXED,3,8-<16,93,93,1.0,90,0.967741935483871,0.8260674241771877,0.8667772091401702,4.849026318722668,2.5654526815301284,0.057189067043600675
A_FIXED,3,<4,3,3,1.0,2,0.6666666666666666,0.4931987780744322,0.5068727340196405,5.057519580372527,5.061193539943872,0.36151382428170514
A_FIXED,3,>32,7,7,1.0,7,1.0,0.9452716425194575,0.9441412520064194,15.28215165606038,3.083508441982502,0.017721312884956906
A_FIXED,4,16-32,51,51,1.0,51,1.0,0.8930055228697624,0.9124566270384303,5.102426029128107,3.171171349144229,0.033425204791696306
A_FIXED,4,4-<8,38,38,1.0,36,0.9473684210526315,0.8091273179667691,0.8466870629066514,1.9301748649167907,1.6436134793745028,0.08057864452959063
A_FIXED,4,8-<16,85,85,1.0,80,0.9411764705882353,0.7966205769140888,0.8465676266002635,5.922688320819346,3.263608076869906,0.07594430665838998
A_FIXED,4,<4,2,2,1.0,0,0.0,0.3967051602901376,0.3967051602901376,6.299589216013532,6.299589216013532,0.4499706582866808
A_FIXED,4,>32,6,6,1.0,6,1.0,0.9347192768611814,0.9344783740186717,17.745707268659267,3.94732542560242,0.02281164368860722
A_FIXED,5,16-32,48,48,1.0,48,1.0,0.8754197818772206,0.8972687556756822,5.8254327726767245,3.680932291646035,0.03725102416296262
A_FIXED,5,4-<8,37,37,1.0,35,0.9459459459459459,0.7707135507560401,0.818311942787546,2.4001248641347748,1.913936360747077,0.10086802220956766
A_FIXED,5,8-<16,77,77,1.0,72,0.935064935064935,0.7706052166712372,0.8181040401310188,6.5978236556495435,4.002453711788591,0.07861943745437018
A_FIXED,5,<4,1,1,1.0,0,0.0,0.28467728460008007,0.28467728460008007,7.947978900591022,7.947978900591022,0.5677127786136444
A_FIXED,5,>32,5,5,1.0,5,1.0,0.92044865630957,0.9160788923719958,20.8399412394258,4.982308473066155,0.029136306860035995
A_FIXED,6,16-32,45,45,1.0,45,1.0,0.8639040213365583,0.8878862472273297,6.163362128734662,3.6478492712155672,0.0374301614752198
A_FIXED,6,4-<8,36,36,1.0,33,0.9166666666666666,0.7406855766863756,0.7836817228683111,2.7901287959467247,2.254783122626251,0.11930553079405232
A_FIXED,6,8-<16,70,70,1.0,65,0.9285714285714286,0.7392672825972237,0.7879036846309635,7.553606435139968,4.63531137466269,0.09339645606472699
A_FIXED,6,>32,4,4,1.0,4,1.0,0.9109935096966937,0.9081141545580378,25.181739213314557,15.483621565957481,0.1214852533746318
A_FIXED,7,16-32,42,42,1.0,42,1.0,0.8528208060258415,0.8670823391336937,6.43829729260605,4.3947536717219915,0.04552911225577923
A_FIXED,7,4-<8,34,34,1.0,31,0.9117647058823529,0.7237041753488709,0.7518825970430594,3.018131654014225,2.4815761636669884,0.13984864569371286
