model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,1,16-32,62,62,1.0,62,1.0,0.950634519774979,0.9702343847957265,2.6311205576074683,1.1949876078449368,0.011720497952900612
A_FIXED,1,4-<8,43,43,1.0,43,1.0,0.9250899345203454,0.9345846969801954,1.2801446681120847,0.4965477835453528,0.029266701171677876
A_FIXED,1,8-<16,105,105,1.0,105,1.0,0.9251824211683427,0.9430380174990829,2.344214794449241,1.111772141408607,0.024608506755596504
A_FIXED,1,<4,8,8,1.0,8,1.0,0.8054919450548761,0.813844406028541,4.648941242734035,2.1230648891401667,0.14703512234415456
A_FIXED,1,>32,9,9,1.0,9,1.0,0.9785198964047981,0.9777516812284127,1.0121502956597577,0.9781978499676323,0.005589701999815041
A_FIXED,2,16-32,58,58,1.0,57,0.9827586206896551,0.9265475464798857,0.9475106419102222,3.812483536337578,1.7666315941095556,0.019365564165968387
A_FIXED,2,4-<8,41,41,1.0,41,1.0,0.8872081942008597,0.9125609618038854,1.6736041951107417,0.828190119414513,0.04704465212481736
A_FIXED,2,8-<16,97,97,1.0,97,1.0,0.8808802416910466,0.9110912884848961,3.8268635686087618,1.6368224337441135,0.03958852513315672
A_FIXED,2,<4,8,8,1.0,8,1.0,0.7005826686146506,0.6854147283056988,6.450478244636045,3.672446626176618,0.2623176161554727
A_FIXED,2,>32,8,8,1.0,8,1.0,0.9470549778091287,0.9617156877935498,2.8060217811021126,2.0164979052447114,0.012511687699083405
A_FIXED,3,16-32,54,54,1.0,54,1.0,0.9126390338850745,0.9280837948022314,4.251700868785931,2.764078249978149,0.02862381210372869
A_FIXED,3,4-<8,39,39,1.0,39,1.0,0.8545037533925091,0.8744387121535196,2.020857476980848,1.3805883957239193,0.0679481876028253
A_FIXED,3,8-<16,89,89,1.0,88,0.9887640449438202,0.8408506009399176,0.8752189386416044,5.000379614456115,2.543992993857364,0.0546996014878708
A_FIXED,3,<4,8,8,1.0,6,0.75,0.579613243740469,0.5678979193779592,8.576143029744578,4.955910540731892,0.342444496858183
A_FIXED,3,>32,7,7,1.0,6,0.8571428571428571,0.8567774969826812,0.9428248996290353,7.827518460622639,3.083508441982502,0.017721312884956906
A_FIXED,4,16-32,51,51,1.0,51,1.0,0.893881259406839,0.9132007412057941,4.970330852093926,3.171171349144229,0.033425204791696306
A_FIXED,4,4-<8,37,37,1.0,37,1.0,0.8257728537826392,0.8470116376808222,2.3800885932800595,1.6697622398054355,0.08068903780859127
A_FIXED,4,8-<16,81,81,1.0,77,0.9506172839506173,0.8077109561370991,0.8602059440090424,6.130577893316402,3.0864113785150114,0.06832457564171159
A_FIXED,4,<4,8,8,1.0,4,0.5,0.586036099323109,0.5826713206304257,8.899936523328606,6.21936101176518,0.4362468332523125
A_FIXED,4,>32,5,5,1.0,4,0.8,0.8300357414287367,0.9269080094189687,9.349169742517748,3.8228948017786157,0.022356109951921728
A_FIXED,5,16-32,48,48,1.0,48,1.0,0.8766538132261946,0.9011755508895088,5.680319496002933,3.680932291646035,0.03725102416296262
A_FIXED,5,4-<8,35,35,1.0,35,1.0,0.7979410212023168,0.818311942787546,2.784126505977648,1.913936360747077,0.10086802220956766
A_FIXED,5,8-<16,74,74,1.0,69,0.9324324324324325,0.7772814231888802,0.8269955017395294,7.155479725920136,3.872317177102238,0.0782278342454764
A_FIXED,5,<4,8,8,1.0,5,0.625,0.5616357585231319,0.5965520619937663,9.320882441475192,7.710526326725487,0.5507518804803919
A_FIXED,5,>32,3,3,1.0,3,1.0,0.9136143322708811,0.9160788923719958,4.811058958984773,4.785626329185754,0.027346436166775737
A_FIXED,6,16-32,45,45,1.0,45,1.0,0.864621482208957,0.8878862472273297,6.03240407706005,3.6478492712155672,0.0374301614752198
A_FIXED,6,4-<8,33,33,1.0,33,1.0,0.7776235006789988,0.7853525317875808,3.0742167994322624,2.2712697067295,0.1093577165991185
A_FIXED,6,8-<16,67,67,1.0,62,0.9253731343283582,0.7491228587513863,0.7999800489839364,8.175932530964708,4.386435323849386,0.09079226989271227
A_FIXED,6,<4,8,8,1.0,5,0.625,0.5468929787073701,0.54639836961461,9.384406628042125,7.557264177233992,0.5398045840881422
A_FIXED,6,>32,2,2,1.0,2,1.0,0.8985639768176147,0.8985639768176147,5.752634656129285,5.752634656129285,0.03296800662349027
A_FIXED,7,16-32,42,42,1.0,42,1.0,0.8533982843175638,0.8670823391336937,6.3261544147581095,4.3947536717219915,0.04552911225577923
A_FIXED,7,4-<8,31,31,1.0,31,1.0,0.7552485367088654,0.7489589856206448,3.4594017269090043,2.4911199631276038,0.1395306268112212
A_FIXED,7,8-<16,60,60,1.0,52,0.8666666666666667,0.7210412404937684,0.7759316388072642,9.168866223170463,5.169815334220722,0.10549617782518363
