model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,243,243,1.0,0,0.0,0.07138747504826952,0.0,65.11528238439882,1.2450279185457698,1.02880658436214,2.8724279835390947
M0_HOLD,2,227,227,1.0,0,0.0,0.00368667066726606,0.0,130.92173234417578,2.4840940123879878,1.8898678414096917,3.9162995594713657
M0_HOLD,3,212,212,1.0,0,0.0,0.0,0.0,197.07546365136216,3.728231781611756,2.693396226415094,4.523584905660377
M0_HOLD,4,197,197,1.0,0,0.0,0.0,0.0,262.1907702418222,5.018344108634811,3.3604060913705585,5.01015228426396
M0_HOLD,5,182,182,1.0,0,0.0,0.0,0.0,327.67283327247355,6.273670308852586,3.9725274725274726,5.1208791208791204
M0_HOLD,6,168,168,1.0,0,0.0,0.0,0.0,393.79737802519804,7.527342207272439,4.5,4.934523809523809
M0_HOLD,7,155,155,1.0,0,0.0,0.0,0.0,458.93599771645717,8.79639052826798,5.064516129032258,5.458064516129032
M0_HOLD,8,142,142,1.0,0,0.0,0.0,0.0,523.2772417773675,9.979954821045725,5.542253521126761,5.971830985915493
M0_HOLD,9,129,129,1.0,0,0.0,0.0,0.0,588.7720271887923,11.165607910006512,5.891472868217054,6.488372093023256
M0_HOLD,10,117,117,1.0,0,0.0,0.0,0.0,651.5805782863697,12.380692603987697,6.136752136752137,6.589743589743589
M0_HOLD,11,106,106,1.0,0,0.0,0.0,0.0,715.4796708641139,13.588752500223169,6.5754716981132075,6.1415094339622645
M0_HOLD,12,96,96,1.0,0,0.0,0.0,0.0,780.9062625279626,14.846095205354736,7.09375,6.614583333333333
M0_HOLD,13,86,86,1.0,0,0.0,0.0,0.0,842.8031130259712,16.085713272133304,7.593023255813954,7.034883720930233
M0_HOLD,14,77,77,1.0,0,0.0,0.0,0.0,909.9265080213896,17.27711691376644,8.03896103896104,7.597402597402597
M0_HOLD,15,68,68,1.0,0,0.0,0.0,0.0,973.2974776383078,18.582394325347423,8.441176470588236,8.191176470588236
M0_HOLD,16,59,59,1.0,0,0.0,0.0,0.0,1037.7809258220157,19.8073935750438,8.796610169491526,8.779661016949152
M0_HOLD,17,50,50,1.0,0,0.0,0.0,0.0,1101.657670957166,21.08604062950386,9.06,9.5
M0_HOLD,18,41,41,1.0,0,0.0,0.0,0.0,1168.4285386791953,25.43161158817267,9.24390243902439,10.390243902439025
M0_HOLD,19,32,32,1.0,0,0.0,0.0,0.0,1230.6393015738886,26.73688405023266,9.28125,9.90625
M0_HOLD,20,25,25,1.0,0,0.0,0.0,0.0,1292.6396442937994,27.872958431876338,9.36,10.0
M0_HOLD,21,19,19,1.0,0,0.0,0.0,0.0,1354.751730022885,30.111498890812275,9.842105263157896,11.578947368421053
M0_HOLD,22,13,13,1.0,0,0.0,0.0,0.0,1423.6623546332887,59.31926477638703,11.615384615384615,10.538461538461538
M0_HOLD,23,8,8,1.0,0,0.0,0.0,0.0,1482.007487796487,44.4063798954613,13.875,9.625
M0_HOLD,24,4,4,1.0,0,0.0,0.0,0.0,1547.6701675390918,45.882215071285955,15.75,13.5
M1_INDEPENDENT_CV,1,243,227,0.934156378600823,227,1.0,0.932738004631093,0.9534492428491307,1.118033988749895,0.021922235073527353,0.8942731277533039,2.6916299559471364
M1_INDEPENDENT_CV,2,227,212,0.933920704845815,207,0.9764150943396226,0.8461916406650816,0.8762755102040816,3.0413812651491097,0.05636087530152925,1.5943396226415094,5.160377358490566
M1_INDEPENDENT_CV,3,212,197,0.9292452830188679,179,0.9086294416243654,0.7398396856033261,0.7732609658839167,5.70087712549569,0.11206896551724138,2.568527918781726,6.98984771573604
M1_INDEPENDENT_CV,4,197,182,0.9238578680203046,146,0.8021978021978022,0.63030461246646,0.6639107584465793,9.420385423067351,0.19113583475782056,3.3736263736263736,8.021978021978022
M1_INDEPENDENT_CV,5,182,168,0.9230769230769231,104,0.6190476190476191,0.5180127350037861,0.5573903910901288,13.779423451842657,0.27413160420919047,4.392857142857143,8.994047619047619
M1_INDEPENDENT_CV,6,168,155,0.9226190476190477,58,0.3741935483870968,0.4139294501964255,0.4447555459832005,19.235384061671343,0.3853663620436631,4.961290322580645,10.709677419354838
M1_INDEPENDENT_CV,7,155,142,0.9161290322580645,42,0.29577464788732394,0.3204240015050518,0.3269714256163005,25.5049014897137,0.5044115271165763,5.5,12.985915492957746
M1_INDEPENDENT_CV,8,142,129,0.9084507042253521,12,0.09302325581395349,0.23891738166155546,0.21475837176659315,32.65348373451139,0.6314324164562065,6.069767441860465,15.503875968992247
M1_INDEPENDENT_CV,9,129,117,0.9069767441860465,0,0.0,0.16949576096491617,0.11766835626357712,40.792156108742276,0.7861861007534003,6.3076923076923075,15.94017094017094
M1_INDEPENDENT_CV,10,117,106,0.905982905982906,0,0.0,0.1144260735658172,0.034871836426005456,50.039984012787215,0.9760012666838567,6.89622641509434,16.92452830188679
M1_INDEPENDENT_CV,11,106,96,0.9056603773584906,0,0.0,0.0776420876042588,0.0,59.96456113478469,1.1613290247008992,7.364583333333333,20.40625
M1_INDEPENDENT_CV,12,96,86,0.8958333333333334,0,0.0,0.05192220446381646,0.0,69.45254772755592,1.340501515484517,8.116279069767442,23.3953488372093
M1_INDEPENDENT_CV,13,86,77,0.8953488372093024,0,0.0,0.029732636484344502,0.0,80.94751385929032,1.620615221060445,8.61038961038961,27.493506493506494
M1_INDEPENDENT_CV,14,77,68,0.8831168831168831,0,0.0,0.011918778092618728,0.0,92.52769835591172,1.9105678058741322,9.411764705882353,32.19117647058823
M1_INDEPENDENT_CV,15,68,59,0.8676470588235294,0,0.0,0.0026180183120546887,0.0,104.06848706500926,2.3086846088110238,10.084745762711865,39.28813559322034
M1_INDEPENDENT_CV,16,59,50,0.847457627118644,0,0.0,0.0,0.0,118.931084591829,2.6861713259768996,11.9,47.68
M1_INDEPENDENT_CV,17,50,41,0.82,0,0.0,0.0,0.0,131.4201278343618,3.0957134622373847,11.878048780487806,59.90243902439025
M1_INDEPENDENT_CV,18,41,32,0.7804878048780488,0,0.0,0.0,0.0,147.4454905302535,4.724037097264717,12.65625,53.78125
M1_INDEPENDENT_CV,19,32,25,0.78125,0,0.0,0.0,0.0,164.5007598766644,6.708365683151812,15.04,68.64
M1_INDEPENDENT_CV,20,25,19,0.76,0,0.0,0.0,0.0,183.4972751841291,7.541695441934054,17.526315789473685,91.36842105263158
M1_INDEPENDENT_CV,21,19,13,0.6842105263157895,0,0.0,0.0,0.0,195.5057543910153,8.42317668590904,19.0,60.53846153846154
M1_INDEPENDENT_CV,22,13,8,0.6153846153846154,0,0.0,0.0,0.0,217.37269273509804,9.138188611003333,26.375,89.25
M1_INDEPENDENT_CV,23,8,4,0.5,0,0.0,0.0,0.0,239.15389708748742,10.472831193464724,21.75,174.0
M1_INDEPENDENT_CV,24,4,0,0.0,0,,,,,,,
