target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
condor,0,1,condor:1,10,2740.0,1450.0,-6.0,-10.25,11.876973520219703,0.8238432226456178,1,0
condor,1,2,condor:2,9,2746.0,1521.0,-7.0,-12.0,13.892443989449804,0.7997507808327804,1,0
condor,2,3,condor:3,9,2752.5,1593.0,-7.0,-12.0,13.892443989449804,0.8010083604569532,1,0
condor,3,4,condor:4,10,2758.5,1666.0,-6.5,-13.5,14.983324063771697,0.7926113692907102,1,0
condor,4,5,condor:5,10,2765.0,1740.0,-6.5,-13.75,15.20896117425513,0.7921283560528055,1,0
condor,5,6,condor:6,10,2771.5,1815.0,-7.0,-14.5,16.101242188104617,0.7827419403298982,1,0
condor,6,7,condor:7,11,2778.5,1891.5,-5.5,-16.0,16.91892431568863,0.78379094979967,1,0
condor,7,8,condor:8,11,2785.0,1969.0,-5.5,-16.0,16.91892431568863,0.7858273407292307,1,0
condor,8,9,condor:9,10,2792.0,2047.5,-5.75,11.0,12.41219158730641,0.8218037661050545,1,1
condor,9,10,condor:10,10,2798.5,2099.0,-6.5,22.5,23.42007685726074,0.6338938591971521,1,1
hangar,19,20,hangar:20,8,252.0,3.0,12.0,42.75,44.40228034684705,0.0,0,1
hangar,20,21,hangar:21,9,241.0,29.0,10.0,41.5,42.68782027698299,0.3144533741548667,0,1
hangar,21,22,hangar:22,9,230.0,55.0,10.0,21.0,23.259406699226016,0.6375938731504202,1,1
hangar,22,23,hangar:23,8,219.0,100.0,11.75,15.25,19.251623308178456,0.70347380523563,1,0
hangar,23,24,hangar:24,7,208.0,153.5,10.0,17.0,19.72308292331602,0.6987030609848386,1,0
helicopter,0,1,helicopter:1,10,2287.5,893.5,-2.5,-1.75,3.0516389039334255,0.9186503466746765,1,0
helicopter,1,2,helicopter:2,9,2290.0,956.0,-3.5,-3.5,4.949747468305833,0.8689704823614111,1,0
helicopter,2,3,helicopter:3,9,2293.0,1019.5,-3.5,-3.5,4.949747468305833,0.8699186991869918,1,0
helicopter,3,4,helicopter:4,10,2295.5,1084.0,-2.5,-5.0,5.5901699437494745,0.8579516685845799,1,0
helicopter,4,5,helicopter:5,10,2298.0,1149.5,-2.5,-4.75,5.367727638395972,0.863481228668942,1,0
helicopter,5,6,helicopter:6,10,2300.5,1215.5,-3.0,-5.5,6.264982043070834,0.8432124075229521,1,0
helicopter,6,7,helicopter:7,11,2303.5,1283.0,-2.0,-6.5,6.800735254367722,0.8411182496961278,1,0
helicopter,7,8,helicopter:8,11,2306.5,1351.0,-1.0,-6.5,6.576473218982953,0.8566512045488553,1,0
helicopter,8,9,helicopter:9,10,2309.0,1420.0,-2.25,-9.75,10.00624804809475,0.7848060690244685,1,0
helicopter,9,10,helicopter:10,10,2312.0,1490.5,-2.5,-9.5,9.82344135219425,0.7876969842412607,1,0
helicopter,10,11,helicopter:11,9,2315.0,1562.0,-4.0,-9.5,10.307764064044152,0.7714685749844431,1,0
helicopter,11,12,helicopter:12,9,2318.0,1634.5,-3.5,-9.5,10.124228365658293,0.7786166913846568,1,0
helicopter,12,13,helicopter:13,8,2321.0,1707.5,-2.25,-10.5,10.738365797457265,0.7786899264580126,1,0
helicopter,13,14,helicopter:14,8,2324.0,1782.0,-3.0,-10.5,10.920164833920778,0.7724951248955335,1,0
helicopter,14,15,helicopter:15,9,2327.5,1858.0,0.0,-10.5,10.5,0.8047590895654745,1,0
helicopter,15,16,helicopter:16,9,2330.0,1934.5,-1.0,-12.0,12.041594578792296,0.7770790531487272,1,0
helicopter,16,17,helicopter:17,9,2333.5,2013.0,-1.5,-11.5,11.597413504743201,0.7801172896205751,1,0
helicopter,17,18,helicopter:18,9,2337.0,2092.0,-1.0,21.0,21.02379604162864,0.7500399552501199,1,1
jammer,0,1,jammer:1,10,1512.0,1268.5,4.0,-6.75,7.846177413237608,0.5863247863247864,1,0
jammer,1,2,jammer:2,9,1509.0,1336.0,4.0,-8.5,9.394147114027968,0.5432372505543237,1,0
jammer,2,3,jammer:3,9,1506.0,1404.5,4.0,-9.0,9.848857801796104,0.5288888888888889,1,0
jammer,3,4,jammer:4,10,1503.0,1474.5,4.5,-10.5,11.423659658795863,0.4809632718956007,0,0
jammer,4,5,jammer:5,10,1500.0,1545.5,4.25,-10.75,11.559628021696891,0.48191027496382055,0,0
jammer,5,6,jammer:6,10,1497.0,1617.5,5.25,-10.5,11.739356881873896,0.4662346079066753,0,0
jammer,6,7,jammer:7,11,1493.5,1690.0,5.0,-13.0,13.92838827718412,0.42340109072880516,0,0
jammer,7,8,jammer:8,11,1490.5,1764.5,5.5,-13.0,14.115594213493104,0.4143619602134886,0,0
jammer,8,9,jammer:9,10,1487.0,1840.0,6.25,-15.25,16.48104972384951,0.3619380359772471,0,0
jammer,9,10,jammer:10,10,1483.5,1916.0,6.0,-16.0,17.08800749063506,0.35353535353535354,0,0
jammer,10,11,jammer:11,9,1480.0,1994.0,5.5,-16.0,16.91892431568863,0.3637192342752963,0,0
jammer,11,12,jammer:12,9,1477.0,2073.0,5.5,-8.5,10.124228365658293,0.4751266011319631,0,1
jet_plane,3,4,jet_plane:4,10,2235.0,13.5,-2.0,35.5,35.556293395122054,0.17335037545933854,0,1
jet_plane,4,5,jet_plane:5,10,2237.0,41.5,-1.5,11.75,11.845357740482134,0.7048312375909993,1,0
jet_plane,5,6,jet_plane:6,10,2238.5,94.0,-2.5,11.75,12.013013776733963,0.6901024923414394,1,0
jet_plane,6,7,jet_plane:7,11,2241.0,147.0,-1.0,11.5,11.543396380615196,0.7214535502508742,1,0
jet_plane,7,8,jet_plane:8,11,2243.0,200.5,-0.5,10.5,10.51189802081432,0.7523489420212359,1,0
jet_plane,8,9,jet_plane:9,10,2245.0,255.0,-1.5,7.5,7.648529270389178,0.7947648830206162,1,0
jet_plane,9,10,jet_plane:10,10,2247.5,310.0,-1.0,7.0,7.0710678118654755,0.815079118833385,1,0
jet_plane,10,11,jet_plane:11,9,2249.5,366.0,-3.5,8.5,9.192388155425117,0.7396536542412679,1,0
jet_plane,11,12,jet_plane:12,9,2252.0,422.5,-2.5,8.5,8.860022573334675,0.760104872187022,1,0
jet_plane,12,13,jet_plane:13,8,2254.0,480.0,-1.5,8.0,8.139410298049853,0.7894736842105263,1,0
jet_plane,13,14,jet_plane:14,8,2256.5,538.0,-0.75,8.0,8.035079339994098,0.805797835764178,1,0
jet_plane,14,15,jet_plane:15,9,2258.5,597.0,0.0,6.5,6.5,0.8429638222286667,1,0
jet_plane,15,16,jet_plane:16,9,2261.0,657.0,1.0,7.5,7.566372975210778,0.8140186261466283,1,0
jet_plane,16,17,jet_plane:17,9,2263.5,717.5,1.5,6.5,6.670832032063167,0.8258944017715037,1,0
