target_class,start_frame,end_frame,x,y,dx,dy,shared_dx,shared_dy,residual_dx,residual_dy,raw_magnitude,residual_magnitude,width_ratio,height_ratio,boundary
condor,0,1,2740.0,1450.0,6.0,71.0,1.0,62.0,5.0,9.0,71.25307010929424,10.295630140987,1.0120481927710843,1.0123456790123457,0
condor,1,2,2746.0,1521.0,6.5,72.0,0.25,61.5,6.25,10.5,72.29280738773394,12.219349409849936,1.005952380952381,1.0121951219512195,0
condor,2,3,2752.5,1593.0,6.0,73.0,0.0,62.0,6.0,11.0,73.24616030891995,12.529964086141668,1.0118343195266273,1.0,0
condor,3,4,2758.5,1666.0,6.5,74.0,1.0,62.0,5.5,12.0,74.28492444635049,13.200378782444085,1.0058479532163742,1.0120481927710843,0
condor,4,5,2765.0,1740.0,6.5,75.0,1.0,63.0,5.5,12.0,75.28113973632439,13.200378782444085,1.005813953488372,1.0119047619047619,0
condor,5,6,2771.5,1815.0,7.0,76.5,1.0,63.0,6.0,13.5,76.81959385469308,14.773286702694158,1.0115606936416186,1.0058823529411764,0
condor,6,7,2778.5,1891.5,6.5,77.5,1.5,63.25,5.0,14.25,77.77210296758086,15.101738310538956,1.0057142857142858,1.0175438596491229,0
condor,7,8,2785.0,1969.0,7.0,78.5,1.75,63.75,5.25,14.75,78.81148393476677,15.656468311851176,1.0113636363636365,1.0057471264367817,0
condor,8,9,2792.0,2047.5,6.5,51.5,2.5,61.5,4.0,-10.0,51.90857347298228,10.770329614269007,1.0056179775280898,0.6857142857142857,1
condor,9,10,2798.5,2099.0,7.0,40.5,2.0,62.0,5.0,-21.5,41.100486615124154,22.073740054644116,1.011173184357542,0.325,1
hangar,19,20,252.0,3.0,-11.0,26.0,-1.0,67.0,-10.0,-41.0,28.231188426986208,42.20189569201838,1.010989010989011,9.666666666666666,1
hangar,20,21,241.0,29.0,-11.0,26.0,-2.25,66.25,-8.75,-40.25,28.231188426986208,41.19010803578937,1.0,1.896551724137931,1
hangar,21,22,230.0,55.0,-11.0,45.0,-2.25,65.75,-8.75,-20.75,46.32493928760188,22.51943604977709,1.0108695652173914,1.1636363636363636,1
