model_a,model_b,horizon,common_count,a_valid,b_valid,a_only_valid,b_only_valid
M0_HOLD,M1_INDEPENDENT_CV,1,227,0,227,0,227
M0_HOLD,M1_INDEPENDENT_CV,2,212,0,207,0,207
M0_HOLD,M1_INDEPENDENT_CV,3,197,0,179,0,179
M0_HOLD,M1_INDEPENDENT_CV,4,182,0,146,0,146
M0_HOLD,M1_INDEPENDENT_CV,5,168,0,104,0,104
M0_HOLD,M1_INDEPENDENT_CV,6,155,0,58,0,58
M0_HOLD,M1_INDEPENDENT_CV,7,142,0,42,0,42
M0_HOLD,M1_INDEPENDENT_CV,8,129,0,12,0,12
M0_HOLD,M1_INDEPENDENT_CV,9,117,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,10,106,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,11,96,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,12,86,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,13,77,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,14,68,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,15,59,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,16,50,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,17,41,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,18,32,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,19,25,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,20,19,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,21,13,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,22,8,0,0,0,0
M0_HOLD,M1_INDEPENDENT_CV,23,4,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,1,232,0,174,0,174
M0_HOLD,M2_SHARED_OPEN_LOOP,2,217,0,73,0,73
M0_HOLD,M2_SHARED_OPEN_LOOP,3,202,0,37,0,37
M0_HOLD,M2_SHARED_OPEN_LOOP,4,187,0,13,0,13
M0_HOLD,M2_SHARED_OPEN_LOOP,5,172,0,5,0,5
M0_HOLD,M2_SHARED_OPEN_LOOP,6,158,0,3,0,3
M0_HOLD,M2_SHARED_OPEN_LOOP,7,145,0,2,0,2
M0_HOLD,M2_SHARED_OPEN_LOOP,8,132,0,1,0,1
M0_HOLD,M2_SHARED_OPEN_LOOP,9,120,0,1,0,1
M0_HOLD,M2_SHARED_OPEN_LOOP,10,108,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,11,98,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,12,88,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,13,79,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,14,70,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,15,61,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,16,52,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,17,43,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,18,34,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,19,26,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,20,20,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,21,14,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,22,8,0,0,0,0
M0_HOLD,M2_SHARED_OPEN_LOOP,23,4,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,1,243,0,182,0,182
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,2,227,0,78,0,78
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,3,212,0,38,0,38
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,4,197,0,9,0,9
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,5,182,0,1,0,1
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,6,168,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,7,155,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,8,142,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,9,129,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,10,117,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,11,106,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,12,96,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,13,86,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,14,77,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,15,68,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,16,59,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,17,50,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,18,41,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,19,32,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,20,25,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,21,19,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,22,13,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,23,8,0,0,0,0
M0_HOLD,M3_ORACLE_REFRESHED_SHARED,24,4,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,1,227,0,227,0,227
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,2,212,0,201,0,201
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,3,197,0,170,0,170
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,4,182,0,135,0,135
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,5,168,0,99,0,99
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,6,155,0,78,0,78
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,7,142,0,55,0,55
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,8,129,0,34,0,34
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,9,117,0,21,0,21
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,106,0,14,0,14
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,96,0,4,0,4
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,86,0,4,0,4
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,77,0,1,0,1
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,68,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,59,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,50,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,41,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,32,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,25,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,19,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,13,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,8,0,0,0,0
M0_HOLD,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,4,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,1,227,227,174,53,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,2,212,207,73,135,1
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,3,197,179,37,142,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,4,182,146,13,133,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,5,168,104,5,99,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,6,155,58,3,55,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,7,142,42,2,40,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,8,129,12,1,12,1
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,9,117,0,1,0,1
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,10,106,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,11,96,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,12,86,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,13,77,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,14,68,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,15,59,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,16,50,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,17,41,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,18,32,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,19,25,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,20,19,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,21,13,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,22,8,0,0,0,0
M1_INDEPENDENT_CV,M2_SHARED_OPEN_LOOP,23,4,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,1,227,227,175,52,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,2,212,207,73,134,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,3,197,179,36,143,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,4,182,146,8,138,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,5,168,104,0,104,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,6,155,58,0,58,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,7,142,42,0,42,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,8,129,12,0,12,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,9,117,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,10,106,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,11,96,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,12,86,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,13,77,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,14,68,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,15,59,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,16,50,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,17,41,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,18,32,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,19,25,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,20,19,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,21,13,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,22,8,0,0,0,0
M1_INDEPENDENT_CV,M3_ORACLE_REFRESHED_SHARED,23,4,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,1,227,227,227,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,2,212,207,201,7,1
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,3,197,179,170,13,4
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,4,182,146,135,19,8
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,5,168,104,99,21,16
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,6,155,58,78,7,27
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,7,142,42,55,8,21
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,8,129,12,34,5,27
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,9,117,0,21,0,21
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,106,0,14,0,14
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,96,0,4,0,4
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,86,0,4,0,4
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,77,0,1,0,1
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,68,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,59,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,50,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,41,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,32,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,25,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,19,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,13,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,8,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,4,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,1,232,174,175,8,9
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,2,217,73,73,5,5
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,3,202,37,36,8,7
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,4,187,13,8,9,4
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,5,172,5,0,5,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,6,158,3,0,3,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,7,145,2,0,2,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,8,132,1,0,1,0
