target_class,nonboundary_pairs,median_width_ratio,median_height_ratio
condor,8,1.0086580086580086,1.0119764773379232
hangar,2,1.0080359185541066,1.007782218992248
helicopter,17,1.0083333333333333,1.0105263157894737
jammer,11,1.0,1.0
jet_plane,20,1.0122704004817826,1.0119764773379232
large_launcher,19,1.006896551724138,1.0
large_tower,17,1.0149253731343284,0.9850746268656716
medium_launcher,4,1.0,1.011111111111111
medium_plane,3,1.0178571428571428,1.0
mine_roller,1,1.0,1.0
small_launcher,24,1.0,1.0
small_plane,8,1.0,1.0098039215686274
small_tower,18,1.0165300546448086,1.0
spacecraft,21,1.0,1.0
ta-ta,24,1.0,1.0
tank,23,1.0,1.0
