update_id,excluded_class,start_frame,end_frame,donors,donor_count,sufficient,dx,dy,mad_dx,mad_dy,residual_median,magnitude,direction_deg,width_ratio,height_ratio,clean_scale_count,clean_width_ratio,clean_height_ratio,clean_width_ratio_mad,clean_height_ratio_mad
ALL:1,ALL,0,1,condor|helicopter|jammer|large_launcher|mine_roller|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1.0,62.0,4.0,7.0,9.219544457292887,62.00806399170998,89.07595464722729,1.0,1.0114942528735633,10,1.0,1.0057471264367817,0.0,0.005747126436781658
ALL:2,ALL,1,2,condor|helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,0.25,61.5,4.0,6.25,8.014029794756947,61.500508127982165,89.76709161007949,1.0101190476190476,1.0,10,1.0101190476190476,1.0,0.010119047619047583,0.010443722943722977
ALL:3,ALL,2,3,condor|helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,0.0,62.0,4.0,5.75,7.988519059488391,62.0,90.0,1.0,1.0,10,1.0,1.0,0.0,0.0
ALL:4,ALL,3,4,condor|helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1.0,62.0,4.0,5.5,9.848857801796104,62.00806399170998,89.07595464722729,1.0,1.0,10,1.0,1.0,0.0,0.0
ALL:5,ALL,4,5,condor|helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1.0,63.0,4.0,5.5,9.848857801796104,63.00793600809346,89.09061955080087,1.005813953488372,1.0,11,1.005813953488372,1.0,0.005813953488372103,0.009433962264151052
ALL:6,ALL,5,6,condor|helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1.0,63.0,4.5,5.0,10.111874208078342,63.00793600809346,89.09061955080087,1.0,1.010989010989011,11,1.0,1.010989010989011,0.006896551724137945,0.01098901098901095
ALL:7,ALL,6,7,condor|helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,12,1,1.5,63.25,4.5,6.25,9.957391173503396,63.267784061084356,88.64146146193961,1.002857142857143,1.0046728971962615,11,1.0,1.0,0.0,0.01666666666666672
ALL:8,ALL,7,8,condor|helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,12,1,1.75,63.75,4.75,6.25,9.789657987846283,63.77401508451542,88.42756957232665,1.0100296442687746,1.0,12,1.0100296442687746,1.0,0.010029644268774618,0.002873563218390829
ALL:9,ALL,8,9,condor|helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,11,1,2.5,61.5,5.5,6.5,9.192388155425117,61.55079203389669,87.67218491095885,1.0,1.0,10,1.0,1.0,0.0,0.0
ALL:10,ALL,9,10,condor|helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,11,1,2.0,62.0,5.0,6.0,9.5524865872714,62.03224967708329,88.15238973400541,1.011173184357542,1.0,10,1.0067114093959733,1.0,0.006711409395973256,0.0
ALL:11,ALL,10,11,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,0.75,64.0,4.5,6.25,8.973834704667382,64.0043943803861,89.32859581715003,1.0,1.0,10,1.0,1.0,0.0,0.011618589743589758
ALL:12,ALL,11,12,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,0.75,64.75,4.5,6.0,8.477591922614671,64.75434348366139,89.33637199998675,1.011764049955397,1.0,9,1.006578947368421,1.0,0.006578947368421018,0.0
ALL:13,ALL,12,13,helicopter|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,9,1,2.5,65.0,6.0,5.0,8.73212459828649,65.04805915628843,87.7974018382342,1.0,1.0,9,1.0,1.0,0.0,0.0
ALL:14,ALL,13,14,helicopter|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,9,1,2.0,66.0,5.0,6.0,10.062305898749054,66.03029607687671,88.26429541107161,1.0083333333333333,1.0,9,1.0083333333333333,1.0,0.008333333333333304,0.0
ALL:15,ALL,14,15,helicopter|jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,2.5,66.25,7.0,6.25,10.304587338775164,66.2971530308806,87.83892051177364,1.010542487815215,1.0045454545454544,9,1.0082644628099173,1.0,0.008264462809917328,0.010000000000000009
ALL:16,ALL,15,16,helicopter|jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,3.0,67.25,7.5,6.5,10.78472765433725,67.31688124088934,87.44574788682162,1.007262917617763,1.0045045045045045,10,1.007262917617763,1.0045045045045045,0.007262917617762987,0.009405556471105303
ALL:17,ALL,16,17,helicopter|jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,2.75,67.75,7.0,6.5,10.706204693233602,67.80578883841703,87.67561702905185,1.0,1.0,10,1.0,1.0,0.0,0.0
ALL:18,ALL,17,18,helicopter|jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|small_tower|spacecraft|ta-ta|tank,10,1,3.0,67.25,7.25,5.25,11.066989079288792,67.31688124088934,87.44574788682162,1.0103613719885667,1.0,9,1.0126582278481013,1.0,0.006572541382667829,0.0
ALL:19,ALL,18,19,jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|small_tower|spacecraft|ta-ta|tank,9,1,2.5,66.0,9.5,3.5,10.5,66.04733151308992,87.8307424102715,1.0,1.0,8,1.0,1.0,0.0,0.013888888888888895
ALL:20,ALL,19,20,hangar|jet_plane|large_launcher|large_tower|medium_launcher|small_launcher|spacecraft|ta-ta|tank,9,1,-1.0,67.0,8.0,5.0,10.63014581273465,67.00746227100382,90.85509739626673,1.0,1.0,6,1.0104166666666665,1.0,0.01041666666666663,0.008064516129032251
ALL:21,ALL,20,21,hangar|jet_plane|large_launcher|large_tower|medium_launcher|medium_plane|small_launcher|spacecraft|ta-ta|tank,10,1,-2.25,66.25,5.75,8.0,13.020831616226504,66.28819653603497,91.94514676141429,1.0,1.01,6,1.0,1.01,0.0,0.010000000000000009
ALL:22,ALL,21,22,hangar|jet_plane|large_launcher|large_tower|medium_launcher|medium_plane|small_launcher|spacecraft|ta-ta|tank,10,1,-2.25,65.75,6.25,7.25,10.38924960445494,65.78848683470383,91.95992725912637,1.0116076221148687,1.0,6,1.0137485970819304,0.9918032786885246,0.004776274273129544,0.016666666666666663
ALL:23,ALL,22,23,hangar|jet_plane|large_launcher|large_tower|medium_launcher|medium_plane|small_launcher|ta-ta|tank,9,1,-1.0,67.5,8.0,7.5,11.335784048754634,67.5074070010099,90.84876427155359,1.0,1.0,7,1.010752688172043,1.0,0.010752688172043001,0.0
ALL:24,ALL,23,24,hangar|jet_plane|large_launcher|large_tower|medium_plane|small_launcher|ta-ta|tank,8,1,-4.25,69.75,6.0,6.25,11.354063819186797,69.87936032906998,93.48682977103714,1.002659574468085,1.0,7,1.0053191489361701,1.0,0.005319148936170137,0.007751937984496138
