model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,1,16-32,63,63,1.0,0,0.0,0.1839006417803414,0.16587677725118483,65.11528238439882,0.7257948517921968,1.9523809523809523,3.2222222222222223
M0_HOLD,1,4-<8,42,42,1.0,0,0.0,0.0,0.0,63.00496005191722,3.080312533278933,0.6190476190476191,0.40476190476190477
M0_HOLD,1,8-<16,108,108,1.0,0,0.0,0.009692820422735478,0.0,66.07381777337875,1.3061863271250695,0.7129629629629629,1.75
M0_HOLD,1,<4,5,5,1.0,0,0.0,0.0,0.0,73.83258088405145,5.273755777432247,0.4,0.2
M0_HOLD,1,>32,9,9,1.0,0,0.0,0.375943844232793,0.3659060018599328,74.28492444635049,0.44217216932351483,1.3333333333333333,7.444444444444445
M0_HOLD,2,16-32,59,59,1.0,0,0.0,0.0027296767553642073,0.0,131.07726728918328,1.4523179113713296,3.694915254237288,2.6440677966101696
M0_HOLD,2,4-<8,40,40,1.0,0,0.0,0.0,0.0,126.53841174612842,6.137573342439043,0.45,0.475
M0_HOLD,2,8-<16,101,101,1.0,0,0.0,0.0011492506795833983,0.0,132.53112841894918,2.611068772222938,1.4653465346534653,2.198019801980198
M0_HOLD,2,<4,4,4,1.0,0,0.0,0.0,0.0,148.1868273901926,10.584773385013758,0.75,0.5
M0_HOLD,2,>32,8,8,1.0,0,0.0,0.05616833209557466,0.055843137405883175,148.54827212302015,0.8889635357187382,2.875,26.125
M0_HOLD,3,16-32,55,55,1.0,0,0.0,0.0,0.0,198.12369873389704,2.17741036314765,5.2727272727272725,3.309090909090909
M0_HOLD,3,4-<8,39,39,1.0,0,0.0,0.0,0.0,191.01636055584348,9.218314145763372,0.6410256410256411,0.46153846153846156
M0_HOLD,3,8-<16,93,93,1.0,0,0.0,0.0,0.0,199.18144993949613,3.8969707048833286,2.086021505376344,2.6451612903225805
M0_HOLD,3,<4,3,3,1.0,0,0.0,0.0,0.0,222.54100745705273,15.895786246932337,1.0,1.0
