model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,1,227,227,1.0,227,1.0,0.932738004631093,0.9534492428491307,2.062231097950492,1.118033988749895,0.021922235073527353,0.8942731277533039,2.6916299559471364
CV,2,212,212,1.0,207,0.9764150943396226,0.8461916406650816,0.8762755102040816,4.84632976884784,3.0413812651491097,0.05636087530152925,1.5943396226415094,5.160377358490566
CV,3,197,197,1.0,179,0.9086294416243654,0.7398396856033261,0.7732609658839167,8.292501840949111,5.70087712549569,0.11206896551724138,2.568527918781726,6.98984771573604
CV,4,182,182,1.0,146,0.8021978021978022,0.63030461246646,0.6639107584465793,12.065094933381001,9.420385423067351,0.19113583475782056,3.3736263736263736,8.021978021978022
CV,5,168,168,1.0,104,0.6190476190476191,0.5180127350037861,0.5573903910901288,16.599001520516552,13.779423451842657,0.27413160420919047,4.392857142857143,8.994047619047619
CV,6,155,155,1.0,58,0.3741935483870968,0.4139294501964255,0.4447555459832005,22.38476231478573,19.235384061671343,0.3853663620436631,4.961290322580645,10.709677419354838
CV,7,142,142,1.0,42,0.29577464788732394,0.3204240015050518,0.3269714256163005,29.164686766572192,25.5049014897137,0.5044115271165763,5.5,12.985915492957746
CV,8,129,129,1.0,12,0.09302325581395349,0.23891738166155546,0.21475837176659315,36.938215991807624,32.65348373451139,0.6314324164562065,6.069767441860465,15.503875968992247
CV,9,117,117,1.0,0,0.0,0.16949576096491617,0.11766835626357712,44.992146546067865,40.792156108742276,0.7861861007534003,6.3076923076923075,15.94017094017094
CV,10,106,106,1.0,0,0.0,0.1144260735658172,0.034871836426005456,54.99740535290871,50.039984012787215,0.9760012666838567,6.89622641509434,16.92452830188679
CV,11,96,96,1.0,0,0.0,0.0776420876042588,0.0,65.80863509536316,59.96456113478469,1.1613290247008992,7.364583333333333,20.40625
CV,12,86,86,1.0,0,0.0,0.05192220446381646,0.0,77.35352733124503,69.45254772755592,1.340501515484517,8.116279069767442,23.3953488372093
CV,13,77,77,1.0,0,0.0,0.029732636484344502,0.0,90.24403872222707,80.94751385929032,1.620615221060445,8.61038961038961,27.493506493506494
CV,14,68,68,1.0,0,0.0,0.011918778092618728,0.0,104.42225968079057,92.52769835591172,1.9105678058741322,9.411764705882353,32.19117647058823
CV,15,59,59,1.0,0,0.0,0.0026180183120546887,0.0,120.06315107624158,104.06848706500926,2.3086846088110238,10.084745762711865,39.28813559322034
CV,16,50,50,1.0,0,0.0,0.0,0.0,137.52769702494967,118.931084591829,2.6861713259768996,11.9,47.68
CV,17,41,41,1.0,0,0.0,0.0,0.0,156.7446280245295,131.4201278343618,3.0957134622373847,11.878048780487806,59.90243902439025
CV,18,32,32,1.0,0,0.0,0.0,0.0,168.36591129894327,147.4454905302535,4.724037097264717,12.65625,53.78125
CV,19,25,25,1.0,0,0.0,0.0,0.0,191.98204967127003,164.5007598766644,6.708365683151812,15.04,68.64
CV,20,19,19,1.0,0,0.0,0.0,0.0,220.10891273639768,183.4972751841291,7.541695441934054,17.526315789473685,91.36842105263158
CV,21,13,13,1.0,0,0.0,0.0,0.0,221.05243343449376,195.5057543910153,8.42317668590904,19.0,60.53846153846154
CV,22,8,8,1.0,0,0.0,0.0,0.0,257.054053148595,217.37269273509804,9.138188611003333,26.375,89.25
CV,23,4,4,1.0,0,0.0,0.0,0.0,322.8907762784854,239.15389708748742,10.472831193464724,21.75,174.0
S_FIXED,1,227,227,1.0,220,0.9691629955947136,0.8381353033203108,0.8661134520188729,4.328007908549613,3.570017697316304,0.06788400100918694,1.0572687224669606,2.1013215859030843
S_FIXED,2,212,212,1.0,196,0.9245283018867925,0.7246928614343445,0.7615100366120878,7.817763593363761,6.916137264168986,0.12981872259835997,1.933962264150943,2.867924528301889
S_FIXED,3,197,197,1.0,152,0.7715736040609137,0.6375426626813038,0.6678679127910702,10.925642726408148,10.231570791457953,0.19505009150316227,2.751269035532995,3.34517766497462
S_FIXED,4,182,182,1.0,115,0.6318681318681318,0.5690183533284405,0.5864789473287411,13.746114359095607,12.98968807273635,0.2513372399065156,3.4285714285714284,3.747252747252751
S_FIXED,5,168,168,1.0,90,0.5357142857142857,0.5126358430014635,0.5422774914937308,16.17501169807063,15.959997099593608,0.2933163868341911,4.0476190476190474,3.79761904761905
S_FIXED,6,155,155,1.0,75,0.4838709677419355,0.4629318627429222,0.47601604164117206,18.70455757073881,17.857587970190302,0.3441812357607411,4.612903225806452,4.232258064516129
S_FIXED,7,142,142,1.0,59,0.4154929577464789,0.4201203575419806,0.45121478465867276,21.03319920803035,19.6458457620813,0.36696892180592716,5.126760563380282,4.683098591549296
S_FIXED,8,129,129,1.0,40,0.31007751937984496,0.3833002386480417,0.4025002954544498,23.115633536689373,21.900516518721574,0.4090697306634286,5.48062015503876,5.131782945736434
S_FIXED,9,117,117,1.0,29,0.24786324786324787,0.3467752654656026,0.35528289709473926,25.308088648845736,23.716291997432617,0.4523038044904881,5.717948717948718,5.358974358974357
S_FIXED,10,106,106,1.0,20,0.18867924528301888,0.3123634573092687,0.33032963482213346,27.77220017493808,25.988088679911577,0.48794982867118064,6.160377358490566,4.7735849056603765
S_FIXED,11,96,96,1.0,13,0.13541666666666666,0.28290991953102423,0.29886571249884974,30.03074459279794,28.77838328990853,0.521143514750153,6.71875,5.2499999999999964
S_FIXED,12,86,86,1.0,6,0.06976744186046512,0.2579883250543469,0.2582536869380976,32.22893171142644,30.896081267990837,0.5541259471012296,7.209302325581396,5.511627906976744
S_FIXED,13,77,77,1.0,4,0.05194805194805195,0.23216373455055828,0.23166633315622565,34.66194619140779,33.557584789342,0.5942341153456233,7.675324675324675,5.948051948051945
S_FIXED,14,68,68,1.0,2,0.029411764705882353,0.20911048664022297,0.2028400471695022,37.0835984676389,35.79487386539603,0.6227216975310335,8.088235294117647,6.397058823529412
S_FIXED,15,59,59,1.0,2,0.03389830508474576,0.18885231008807118,0.17401374635532427,39.45661353757301,37.65731024634295,0.6955972322013714,8.457627118644067,6.813559322033898
S_FIXED,16,50,50,1.0,1,0.02,0.16983325033185762,0.1515743899250766,41.84508696619364,41.02156804254848,0.7485197907971717,8.78,7.199999999999996
S_FIXED,17,41,41,1.0,1,0.024390243902439025,0.15317804681995034,0.11652839450592646,44.18537751882067,43.27719222505402,0.8388859340994003,8.975609756097562,7.7560975609756095
S_FIXED,18,32,32,1.0,0,0.0,0.13468575094646815,0.10055397024548943,47.21869091786618,43.17014268214255,0.9337555773016608,9.03125,7.28125
S_FIXED,19,25,25,1.0,0,0.0,0.12256608754769989,0.08236098967782715,50.18181706964021,43.523641397483,0.9214593129758134,9.24,6.64
S_FIXED,20,19,19,1.0,0,0.0,0.10959157034541164,0.06479826914317309,52.612794359760024,44.48362922544051,0.9722367118707901,9.842105263157896,7.368421052631579
S_FIXED,21,13,13,1.0,0,0.0,0.09660621425833048,0.01977175760136324,54.535062795577495,45.8298838790589,1.2508573830784482,11.615384615384615,8.153846153846153
S_FIXED,22,8,8,1.0,0,0.0,0.08551913255856275,0.06413025117072639,59.00011281348661,58.34635372205922,1.207992544624994,13.875,5.5
S_FIXED,23,4,4,1.0,0,0.0,0.06074482439696367,0.031714880760745294,61.86436898683805,60.653069992307195,1.273629150083154,16.0,6.0
S_RES_CV,1,227,227,1.0,227,1.0,0.9190217209904776,0.9409889464270701,2.2498625483637116,1.1587058099031118,0.021911048704194434,0.8942731277533041,2.6916299559471377
S_RES_CV,2,212,212,1.0,205,0.9669811320754716,0.8567867631077382,0.9036980300382939,4.508904924076692,2.036153185349659,0.042003102044633076,1.5943396226415094,5.160377358490566
S_RES_CV,3,197,197,1.0,181,0.9187817258883249,0.7915021166970654,0.8468480964600426,6.91275768139786,3.4190152119125723,0.06970682656083768,2.568527918781726,6.989847715736043
S_RES_CV,4,182,182,1.0,162,0.8901098901098901,0.7293444333545186,0.7925755841658535,9.035256862405571,5.421065816547767,0.10322772484129403,3.3736263736263736,8.021978021978024
S_RES_CV,5,168,168,1.0,140,0.8333333333333334,0.6773272894885475,0.7374737893277049,11.233389593282398,7.019239913318432,0.14484050343315463,4.392857142857143,8.994047619047619
S_RES_CV,6,155,155,1.0,117,0.7548387096774194,0.6256668775247735,0.6691284304594242,13.68240497854008,8.94646774556713,0.18361626196882053,4.961290322580645,10.709677419354838
S_RES_CV,7,142,142,1.0,92,0.647887323943662,0.5686382010242467,0.615334050716832,16.872623988871975,11.123064090865359,0.22927311205747702,5.5,12.98591549295775
S_RES_CV,8,129,129,1.0,72,0.5581395348837209,0.5149644258289583,0.5645482040042943,19.977379218168107,13.231184505241442,0.2666433396249889,6.069767441860465,15.503875968992247
S_RES_CV,9,117,117,1.0,54,0.46153846153846156,0.4596161566839942,0.480190127172907,22.772008318054596,17.17847353275921,0.3380504481654206,6.3076923076923075,15.94017094017094
S_RES_CV,10,106,106,1.0,38,0.3584905660377358,0.4053537405711528,0.4182904644779921,26.798520377690718,18.863342239653626,0.4034092464037604,6.89622641509434,16.924528301886795
S_RES_CV,11,96,96,1.0,28,0.2916666666666667,0.35772305020564693,0.34439315930624,31.271738558661713,22.539923348455513,0.4715711882689113,7.364583333333333,20.40625
S_RES_CV,12,86,86,1.0,16,0.18604651162790697,0.3136783925985964,0.29842686266999807,36.36203724466944,23.938677639105414,0.5193031749933568,8.116279069767442,23.3953488372093
S_RES_CV,13,77,77,1.0,10,0.12987012987012986,0.26445977189827563,0.23525774316293963,42.36841620002978,28.555589412550976,0.5864275401906679,8.61038961038961,27.493506493506494
S_RES_CV,14,68,68,1.0,9,0.1323529411764706,0.2283498735430931,0.19214039320064313,48.35660572853043,31.78225578023843,0.6977050666633394,9.411764705882353,32.19117647058823
S_RES_CV,15,59,59,1.0,3,0.05084745762711865,0.1851743084775691,0.14019273470830926,55.92811393466993,33.262880108714015,0.7994180326540549,10.084745762711865,39.28813559322034
S_RES_CV,16,50,50,1.0,0,0.0,0.13544033872696568,0.08277840146027808,65.3701284363019,38.67538093495578,0.8938828367889279,11.9,47.68
S_RES_CV,17,41,41,1.0,1,0.024390243902439025,0.1129428122352492,0.04152838961553409,72.95094970283053,39.158489184508774,0.998928478956349,11.878048780487806,59.90243902439025
S_RES_CV,18,32,32,1.0,0,0.0,0.09764064415096191,0.01975656249232663,72.51282285175517,38.791135815817555,1.1144555085206458,12.65625,53.78125
S_RES_CV,19,25,25,1.0,1,0.04,0.07846839931517041,0.0,83.99951278604505,41.82320279539699,1.299138306372964,15.04,68.64
S_RES_CV,20,19,19,1.0,1,0.05263157894736842,0.07975916296405422,0.0,99.47681682610319,43.130763569471924,1.863863606594325,17.526315789473685,91.36842105263158
S_RES_CV,21,13,13,1.0,1,0.07692307692307693,0.06910474104558352,0.0,87.70214680859984,46.12241728959396,2.187595457806405,19.0,60.53846153846154
S_RES_CV,22,8,8,1.0,1,0.125,0.0653111003976367,0.0,113.45512444024243,53.189788601367056,2.2420546515582283,26.375,89.25000000000001
S_RES_CV,23,4,4,1.0,0,0.0,0.0,0.0,172.0648198211381,107.21312359871436,3.055984627934831,21.75,174.0
