update_id,excluded_class,start_frame,end_frame,donors,donor_count,boundary_donor_count,translation_sufficient,dx,dy,mad_dx,mad_dy,translation_residual_median,sufficient,reason,rms_spread,minor_spread,major_spread,eigen_ratio,weighted_rms_spread,weighted_minor_spread,weighted_eigen_ratio,effective_donors,a,b,tx,ty,scale,rotation_deg,fit_median,fit_rms,fit_p90,weights,donor_errors
condor:1,condor,0,1,helicopter|jammer|large_launcher|mine_roller|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,1,0.0,60.75,3.0,6.25,7.503259339205583,1,,943.546774145299,579.2030287872954,744.8519090689259,0.6046746724558556,806.6331089512915,508.8147967602825,0.6608370944465497,8.83479966602472,1.0100471989260558,0.0010855472893656478,-18.476925947305972,51.367050648900886,1.010047782271358,0.06157856213149324,2.667081071599439,6.260762934278673,7.457329622731552,1|1|0.46698604258286458|0.48734500754784565|1|1|1|1|1|0.17904330436097946,1.0866059943400452|2.4114790136890347|6.4241748078197807|6.1558033286091858|1.7222570509317991|2.6355878512455879|2.7249557488546032|0.66122119360183262|2.6985742919532898|16.755722956937536
condor:2,condor,1,2,helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,9,0,1,-0.5,60.0,3.5,4.5,6.726812023536855,1,,905.1506081624152,462.34633178222157,778.1603259896472,0.3530178479031452,877.8627345947202,433.37849091049463,0.3222520883227672,8.828061235790118,1.0084856913458313,0.0008168726144826313,-15.506312951714108,52.95037834233824,1.0084860221788639,0.046409526060149815,1.8791572095194768,2.5986801833140416,4.067150256704756,1|0.97285218942896312|0.77429578550768074|1|0.62011646624268768|1|1|1|1,0.58491745446370469|3.0837164969327069|3.8744874471739337|1.8791572095194768|4.8378014948280432|1.2955366438346996|0.55216185162274067|1.6550774646810469|2.0632559159231452
condor:3,condor,2,3,helicopter|jammer|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,9,0,1,-1.0,61.0,3.5,4.5,6.800735254367722,1,,912.9148236876439,468.3335912847898,783.6307310097872,0.3571804658723243,891.311949340948,436.0518158044144,0.3146491908466126,8.851920870534643,1.0085055164969141,0.0006081637395095293,-15.795296146590772,53.56291955237566,1.0085056998687918,0.03455133435858362,2.086260290790147,2.6150818866337278,3.9017914846926147,1|0.8168651442497965|0.79935575771048295|1|0.66712968976013798|1|1|1|1,1.0509572103815015|3.6725778388658146|3.7530197433590615|1.6135048760277559|4.4968784500268271|0.7210336580650657|0.17367302892937683|2.0862602907901469|2.2677159417187318
condor:4,condor,3,4,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,1,1,0.0,60.5,2.75,4.75,8.06930507507501,1,,914.2817467826862,523.2222934527699,749.7663263537671,0.48699064372221257,884.6489749006171,442.6313375696837,0.3339504742965596,9.001810691976308,1.0089118937161847,0.0006887908025463507,-16.43935116856983,53.22406298059286,1.0089121288371687,0.03911620040141668,2.1066804422567627,8.933395813005061,7.042818892788452,1|0.79935758201650875|0.11142496134579352|0.69912162079467943|1|0.62062995804854892|1|1|1|1,1.290215936000557|3.7530176187410587|26.923949620959839|4.2910897574208171|1.560835801626077|4.833804367436084|1.8188939835200433|1.349879765097485|1.5255815632432126|2.3944669009934816
condor:5,condor,4,5,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,0,1,0.0,61.25,3.0,4.5,7.914179919755637,1,,924.4695032828287,533.6921713243288,754.8619269556011,0.49985797068600296,908.9852123024597,496.90321993598286,0.4261957629113735,9.81158176895227,1.0088607540667758,0.0003115644155223057,-16.87664641419292,54.18668727164891,1.0088608021766772,0.017694538534091055,2.5375844497260394,2.824445486395094,3.930200156869104,1|0.78856613932903452|0.96721315784768658|0.88588243201935912|1|0.5925780801532845|1|1|1|0.97468079440663635,1.1067845844663295|3.8043750090486057|3.1016941791255492|3.3864504771950723|1.3049818189286377|5.0626264872535947|1.308043427841906|0.69380717269204184|1.9972382936297217|3.0779306058223574
condor:6,condor,5,6,helicopter|jammer|jet_plane|large_launcher|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,10,0,1,0.0,62.0,3.25,5.0,8.223553023955326,1,,932.880910138052,540.6613610540401,760.2315996873539,0.505776715476799,902.85550808972,507.18747836889895,0.46107729103383444,9.776873273074756,1.0090718519169921,0.0006439385538536067,-16.807158367835427,53.67834531104495,1.0090720573814582,0.03656325991372907,2.02909409800657,2.8276421922259884,4.090118923056339,1|0.91594338074896542|0.96229826076086789|0.75889374482087635|1|0.5635819476140137|1|1|1|1,1.3429371163731165|3.2753121718684111|3.1175365250109768|3.9531215442693584|1.5109928329111018|5.3230953321391752|1.3925465330795432|1.080585420577389|1.7856704435860093|2.2725177524271309
condor:7,condor,6,7,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,1,1,1.0,61.5,4.0,6.0,8.06225774829855,1,,1027.7347251549186,585.7070997851156,844.503320627317,0.48101459475919905,921.7891559236946,518.9090433319831,0.46390989484534034,9.963130812876209,1.0092866745199545,-0.00017509960327953097,-17.91484052512328,54.962842879234245,1.0092866897088357,-0.009940157157480234,3.0454602141858556,7.547248749070259,5.602197651281912,1|0.71916349573675475|1|0.73738373418674885|0.1314900021070558|1|0.53555170676918007|1|1|0.98491020405295848|0.92204048403426631,1.6793105193431936|4.1720227677554975|2.6043777216630564|4.0679980893106036|22.815798087355823|2.080448952846282|5.6021976512819123|2.4286281867055566|0.99212946560996129|3.0454602141858556|3.2530660187880391
condor:8,condor,7,8,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_plane|small_tower|spacecraft|ta-ta|tank,11,0,1,1.5,62.5,4.0,6.0,8.0156097709407,1,,1038.5610993219384,595.3459631046961,850.9831615488847,0.4894371071646919,1021.6753667616509,541.2181484713303,0.3900862036470087,10.594249697417627,1.0086074364357345,-0.00015233668285226663,-16.976784774688895,55.95881247538466,1.0086074479399452,-0.00865376221786776,2.157211588107192,3.243230850550617,4.596044148417825,1|0.65273525077628214|1|1|0.94976330044305624|1|0.4466246162852846|1|1|1|0.85289380727588004,1.8574640962861244|4.5960441484178247|2.8656451700766561|2.157211588107192|3.1586818005687882|1.4704231542652646|6.7170502997879282|1.6781965893363535|1.1739117060374742|2.1070781446826472|3.5174366513406388
condor:9,condor,8,9,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,0,1,0.75,62.5,4.75,6.5,8.732650890548804,1,,1033.0337022575789,514.8779832138579,895.5776305835415,0.33052336667601573,1028.9178926775612,496.301241819744,0.30321015282135627,9.88761397504176,1.008485121142021,4.881490351227678e-05,-16.512458675535527,55.76798631379927,1.008485122323444,0.002773355687429707,2.6480018433692845,2.7171808270358855,3.19449874554645,1|0.65608379540883155|0.98639502561809433|1|1|1|1|1|1|1,2.5704489658030192|4.5725866436479805|3.0413778679796142|2.1138366279909055|2.8251009307633135|1.7529610228612087|2.7255547209355493|1.5418247985473028|1.6846558294472214|2.9830638974694983
condor:10,condor,9,10,helicopter|jammer|jet_plane|large_launcher|large_tower|small_launcher|small_tower|spacecraft|ta-ta|tank,10,0,1,0.5,63.0,4.5,5.75,8.67437655465529,1,,1041.9394716105155,521.5596815911057,902.0051890308528,0.33434124178365743,1034.6503490197715,493.4542552299953,0.29443271198113885,9.772805667284791,1.0082292791459104,-0.0001387277228207864,-16.310073497730627,56.63813826536841,1.0082292886900595,-0.007883636324927376,2.528315276583178,2.813999631065497,3.2793341004015755,1|0.51634250182404495|1|1|1|1|1|1|1|1,2.9178812736576978|5.8100969596774226|2.8864619164300178|1.6657919646071604|2.8727063261214192|0.73960155365790259|2.1839242270449359|0.84016865571754284|1.5951372483508122|2.9981382271487047
