model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,1,243,227,0.934156378600823,227,1.0,0.932738004631093,0.9534492428491307,2.062231097950492,1.118033988749895,0.021922235073527353,0.8942731277533039,2.6916299559471364
CV,2,227,212,0.933920704845815,207,0.9764150943396226,0.8461916406650816,0.8762755102040816,4.84632976884784,3.0413812651491097,0.05636087530152925,1.5943396226415094,5.160377358490566
CV,3,212,197,0.9292452830188679,179,0.9086294416243654,0.7398396856033261,0.7732609658839167,8.292501840949111,5.70087712549569,0.11206896551724138,2.568527918781726,6.98984771573604
CV,4,197,182,0.9238578680203046,146,0.8021978021978022,0.63030461246646,0.6639107584465793,12.065094933381001,9.420385423067351,0.19113583475782056,3.3736263736263736,8.021978021978022
CV,5,182,168,0.9230769230769231,104,0.6190476190476191,0.5180127350037861,0.5573903910901288,16.599001520516552,13.779423451842657,0.27413160420919047,4.392857142857143,8.994047619047619
CV,6,168,155,0.9226190476190477,58,0.3741935483870968,0.4139294501964255,0.4447555459832005,22.38476231478573,19.235384061671343,0.3853663620436631,4.961290322580645,10.709677419354838
CV,7,155,142,0.9161290322580645,42,0.29577464788732394,0.3204240015050518,0.3269714256163005,29.164686766572192,25.5049014897137,0.5044115271165763,5.5,12.985915492957746
CV,8,142,129,0.9084507042253521,12,0.09302325581395349,0.23891738166155546,0.21475837176659315,36.938215991807624,32.65348373451139,0.6314324164562065,6.069767441860465,15.503875968992247
CV,9,129,117,0.9069767441860465,0,0.0,0.16949576096491617,0.11766835626357712,44.992146546067865,40.792156108742276,0.7861861007534003,6.3076923076923075,15.94017094017094
CV,10,117,106,0.905982905982906,0,0.0,0.1144260735658172,0.034871836426005456,54.99740535290871,50.039984012787215,0.9760012666838567,6.89622641509434,16.92452830188679
CV,11,106,96,0.9056603773584906,0,0.0,0.0776420876042588,0.0,65.80863509536316,59.96456113478469,1.1613290247008992,7.364583333333333,20.40625
CV,12,96,86,0.8958333333333334,0,0.0,0.05192220446381646,0.0,77.35352733124503,69.45254772755592,1.340501515484517,8.116279069767442,23.3953488372093
CV,13,86,77,0.8953488372093024,0,0.0,0.029732636484344502,0.0,90.24403872222707,80.94751385929032,1.620615221060445,8.61038961038961,27.493506493506494
CV,14,77,68,0.8831168831168831,0,0.0,0.011918778092618728,0.0,104.42225968079057,92.52769835591172,1.9105678058741322,9.411764705882353,32.19117647058823
CV,15,68,59,0.8676470588235294,0,0.0,0.0026180183120546887,0.0,120.06315107624158,104.06848706500926,2.3086846088110238,10.084745762711865,39.28813559322034
CV,16,59,50,0.847457627118644,0,0.0,0.0,0.0,137.52769702494967,118.931084591829,2.6861713259768996,11.9,47.68
CV,17,50,41,0.82,0,0.0,0.0,0.0,156.7446280245295,131.4201278343618,3.0957134622373847,11.878048780487806,59.90243902439025
CV,18,41,32,0.7804878048780488,0,0.0,0.0,0.0,168.36591129894327,147.4454905302535,4.724037097264717,12.65625,53.78125
CV,19,32,25,0.78125,0,0.0,0.0,0.0,191.98204967127003,164.5007598766644,6.708365683151812,15.04,68.64
CV,20,25,19,0.76,0,0.0,0.0,0.0,220.10891273639768,183.4972751841291,7.541695441934054,17.526315789473685,91.36842105263158
CV,21,19,13,0.6842105263157895,0,0.0,0.0,0.0,221.05243343449376,195.5057543910153,8.42317668590904,19.0,60.53846153846154
CV,22,13,8,0.6153846153846154,0,0.0,0.0,0.0,257.054053148595,217.37269273509804,9.138188611003333,26.375,89.25
CV,23,8,4,0.5,0,0.0,0.0,0.0,322.8907762784854,239.15389708748742,10.472831193464724,21.75,174.0
CV,24,4,0,0.0,0,,,,,,,,
S_FIXED,1,243,243,1.0,230,0.9465020576131687,0.8231214428508005,0.8600253721601455,4.788006174855954,3.620967214215341,0.07052235423454971,1.0288065843621401,2.872427983539095
S_FIXED,2,227,227,1.0,205,0.9030837004405287,0.7105678299692056,0.7511660199786939,8.445655291923973,7.026696393854707,0.13392464440432028,1.8898678414096914,3.9162995594713674
S_FIXED,3,212,212,1.0,159,0.75,0.6229508210276095,0.6583162700812455,11.704047232075505,10.403824472936197,0.19973708949579477,2.693396226415094,4.523584905660378
S_FIXED,4,197,197,1.0,119,0.6040609137055838,0.5538825929798252,0.5778083759042916,14.677238644128995,13.38687296798539,0.2630167445805429,3.3604060913705585,5.010152284263963
