model_a,model_b,horizon,count,a_valid,b_valid,a_only,b_only
CV,T_FIXED,1,227,227,175,52,0
CV,T_FIXED,2,212,207,73,134,0
CV,T_FIXED,3,197,179,36,143,0
CV,T_FIXED,4,182,146,8,138,0
CV,T_FIXED,5,168,104,0,104,0
CV,T_FIXED,6,155,58,0,58,0
CV,T_FIXED,7,142,42,0,42,0
CV,T_FIXED,8,129,12,0,12,0
CV,T_FIXED,9,117,0,0,0,0
CV,T_FIXED,10,106,0,0,0,0
CV,T_FIXED,11,96,0,0,0,0
CV,T_FIXED,12,86,0,0,0,0
CV,T_FIXED,13,77,0,0,0,0
CV,T_FIXED,14,68,0,0,0,0
CV,T_FIXED,15,59,0,0,0,0
CV,T_FIXED,16,50,0,0,0,0
CV,T_FIXED,17,41,0,0,0,0
CV,T_FIXED,18,32,0,0,0,0
CV,T_FIXED,19,25,0,0,0,0
CV,T_FIXED,20,19,0,0,0,0
CV,T_FIXED,21,13,0,0,0,0
CV,T_FIXED,22,8,0,0,0,0
CV,T_FIXED,23,4,0,0,0,0
CV,T_RES_CV,1,227,227,227,0,0
CV,T_RES_CV,2,212,207,201,7,1
CV,T_RES_CV,3,197,179,170,13,4
CV,T_RES_CV,4,182,146,135,19,8
CV,T_RES_CV,5,168,104,99,21,16
CV,T_RES_CV,6,155,58,78,7,27
CV,T_RES_CV,7,142,42,55,8,21
CV,T_RES_CV,8,129,12,34,5,27
CV,T_RES_CV,9,117,0,21,0,21
CV,T_RES_CV,10,106,0,14,0,14
CV,T_RES_CV,11,96,0,4,0,4
CV,T_RES_CV,12,86,0,4,0,4
CV,T_RES_CV,13,77,0,1,0,1
CV,T_RES_CV,14,68,0,0,0,0
CV,T_RES_CV,15,59,0,0,0,0
CV,T_RES_CV,16,50,0,0,0,0
CV,T_RES_CV,17,41,0,0,0,0
CV,T_RES_CV,18,32,0,0,0,0
CV,T_RES_CV,19,25,0,0,0,0
CV,T_RES_CV,20,19,0,0,0,0
CV,T_RES_CV,21,13,0,0,0,0
CV,T_RES_CV,22,8,0,0,0,0
CV,T_RES_CV,23,4,0,0,0,0
CV,S_FIXED,1,227,227,220,7,0
CV,S_FIXED,2,212,207,196,14,3
CV,S_FIXED,3,197,179,152,36,9
CV,S_FIXED,4,182,146,115,43,12
CV,S_FIXED,5,168,104,90,32,18
CV,S_FIXED,6,155,58,75,9,26
CV,S_FIXED,7,142,42,59,6,23
CV,S_FIXED,8,129,12,40,4,32
CV,S_FIXED,9,117,0,29,0,29
CV,S_FIXED,10,106,0,20,0,20
CV,S_FIXED,11,96,0,13,0,13
CV,S_FIXED,12,86,0,6,0,6
CV,S_FIXED,13,77,0,4,0,4
CV,S_FIXED,14,68,0,2,0,2
CV,S_FIXED,15,59,0,2,0,2
CV,S_FIXED,16,50,0,1,0,1
CV,S_FIXED,17,41,0,1,0,1
CV,S_FIXED,18,32,0,0,0,0
CV,S_FIXED,19,25,0,0,0,0
CV,S_FIXED,20,19,0,0,0,0
CV,S_FIXED,21,13,0,0,0,0
CV,S_FIXED,22,8,0,0,0,0
CV,S_FIXED,23,4,0,0,0,0
CV,S_RES_CV,1,227,227,227,0,0
CV,S_RES_CV,2,212,207,205,3,1
CV,S_RES_CV,3,197,179,181,4,6
CV,S_RES_CV,4,182,146,162,4,20
CV,S_RES_CV,5,168,104,140,4,40
CV,S_RES_CV,6,155,58,117,2,61
CV,S_RES_CV,7,142,42,92,1,51
CV,S_RES_CV,8,129,12,72,5,65
CV,S_RES_CV,9,117,0,54,0,54
CV,S_RES_CV,10,106,0,38,0,38
CV,S_RES_CV,11,96,0,28,0,28
CV,S_RES_CV,12,86,0,16,0,16
CV,S_RES_CV,13,77,0,10,0,10
CV,S_RES_CV,14,68,0,9,0,9
CV,S_RES_CV,15,59,0,3,0,3
CV,S_RES_CV,16,50,0,0,0,0
CV,S_RES_CV,17,41,0,1,0,1
CV,S_RES_CV,18,32,0,0,0,0
CV,S_RES_CV,19,25,0,1,0,1
CV,S_RES_CV,20,19,0,1,0,1
CV,S_RES_CV,21,13,0,1,0,1
CV,S_RES_CV,22,8,0,1,0,1
CV,S_RES_CV,23,4,0,0,0,0
CV,S_SCALE,1,227,227,220,7,0
CV,S_SCALE,2,212,207,196,14,3
CV,S_SCALE,3,197,179,152,36,9
CV,S_SCALE,4,182,146,116,42,12
CV,S_SCALE,5,168,104,92,30,18
CV,S_SCALE,6,155,58,76,9,27
CV,S_SCALE,7,142,42,60,6,24
CV,S_SCALE,8,129,12,43,3,34
CV,S_SCALE,9,117,0,32,0,32
