model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,1,condor,9,9,1.0,9,1.0,0.9756263093753615,0.9823852955510687,5.131921753265315,1.118033988749895,0.0067351445105415355,0.8888888888888888,10.11111111111111
CV,1,hangar,4,4,1.0,4,1.0,0.9035569963733895,0.9315755103343778,7.154508497187473,4.8090169943749475,0.03724586716006967,1.25,12.75
CV,1,helicopter,17,17,1.0,17,1.0,0.9674057120565684,0.9690659725698269,2.8795070836912906,1.118033988749895,0.011893978603722287,0.9411764705882353,4.411764705882353
CV,1,jammer,11,11,1.0,11,1.0,0.9252757959279994,0.928843710292249,1.7293238177549335,1.118033988749895,0.032883352610291024,0.8181818181818182,2.272727272727273
CV,1,jet_plane,20,20,1.0,20,1.0,0.9508862070078367,0.966010514080391,2.1553113834588613,1.118033988749895,0.013574037175963434,0.7,3.3
CV,1,large_launcher,23,23,1.0,23,1.0,0.9760139516717506,0.9757033248081841,1.324901791363947,1.118033988749895,0.010163945352271771,1.565217391304348,0.782608695652174
CV,1,large_tower,17,17,1.0,17,1.0,0.9338783152811546,0.9540791402051783,2.2197531691811556,1.118033988749895,0.018032806270159595,1.0,3.235294117647059
CV,1,medium_launcher,8,8,1.0,8,1.0,0.9014890798835822,0.9483150636819048,3.255209465279931,1.0590169943749475,0.03514987260227156,2.0,3.625
CV,1,medium_plane,3,3,1.0,3,1.0,0.8782575940749521,0.9434889434889435,3.4466113176332147,1.118033988749895,0.022817020178569285,1.0,5.333333333333333
CV,1,small_launcher,23,23,1.0,23,1.0,0.9217449628415063,0.9263888888888889,1.0129250749972183,1.0,0.04658474953124562,0.4782608695652174,0.6086956521739131
CV,1,small_plane,7,7,1.0,7,1.0,0.9379866012187498,0.9411764705882353,1.2258769757263128,1.5,0.03488372093023256,0.7142857142857143,0.7142857142857143
CV,1,small_tower,18,18,1.0,18,1.0,0.9455944460159869,0.9341369762548191,2.0911060711867098,1.118033988749895,0.019990390603446397,1.0,2.5555555555555554
CV,1,spacecraft,21,21,1.0,21,1.0,0.9296418366825243,0.9407839866555463,2.0442093465170763,1.118033988749895,0.024845199749997663,0.7142857142857143,2.7142857142857144
CV,1,ta-ta,23,23,1.0,23,1.0,0.8617133895162121,0.868824531516184,1.0956231629016953,1.118033988749895,0.06211299937499416,0.6956521739130435,0.8695652173913043
CV,1,tank,23,23,1.0,23,1.0,0.9302366391372591,0.9433962264150944,1.7393309029053214,1.118033988749895,0.022817020178569285,0.6086956521739131,1.8695652173913044
CV,2,condor,8,8,1.0,8,1.0,0.9458778564908572,0.9544212750272927,13.732500848034215,3.348905783050559,0.019638635085953877,1.125,26.125
CV,2,hangar,3,3,1.0,3,1.0,0.7013527272687328,0.7602179836512262,27.8356477017897,19.0,0.1484375,2.3333333333333335,51.0
CV,2,helicopter,16,16,1.0,16,1.0,0.919743436221994,0.9222575456378017,4.920488443828032,3.1622776601683795,0.03422329525742905,1.3125,5.3125
CV,2,jammer,10,10,1.0,10,1.0,0.8289690374186757,0.8421143753719634,3.6858286857194087,3.2706906325745546,0.1015625,0.9,2.9
CV,2,jet_plane,19,19,1.0,18,0.9473684210526315,0.8989303376379832,0.9253084361453818,5.043235761540203,2.5495097567963922,0.0332417580687315,1.3157894736842106,6.473684210526316
CV,2,large_launcher,22,22,1.0,22,1.0,0.9382481530251695,0.936398686881112,3.655294724850934,3.1018294626587446,0.02819844966053404,3.227272727272727,1.6818181818181819
CV,2,large_tower,16,16,1.0,15,0.9375,0.8646940379546594,0.8971635467168422,5.400705539740104,2.7324928521095213,0.04574396143690748,1.3125,6.8125
CV,2,medium_launcher,7,7,1.0,6,0.8571428571428571,0.793356329687667,0.8693181818181818,8.451037056955304,3.0,0.22177392423228606,6.428571428571429,8.428571428571429
CV,2,medium_plane,2,2,1.0,2,1.0,0.7292415473652147,0.7292415473652147,9.812860441529564,9.812860441529564,0.20026245799039927,1.0,16.5
CV,2,small_launcher,22,22,1.0,22,1.0,0.8026674176123433,0.7982035928143713,2.8005709856672514,2.524754878398196,0.11494793467155717,0.8181818181818182,1.0
CV,2,small_plane,6,6,1.0,6,1.0,0.8438321188909096,0.8555247597930524,3.505922317655456,3.517766952966369,0.08139534883720931,1.5,1.3333333333333333
CV,2,small_tower,17,17,1.0,17,1.0,0.8706823710464132,0.8725212464589235,3.7484604624092968,3.0413812651491097,0.05335756605524754,1.2352941176470589,3.0588235294117645
CV,2,spacecraft,20,20,1.0,20,1.0,0.8489241041678713,0.842035040545945,3.845517325439748,3.2581898132090323,0.07360104787038298,1.3,2.8
CV,2,ta-ta,22,22,1.0,21,0.9545454545454546,0.6789564014453631,0.7024720893141946,2.9014813116012266,2.692582403567252,0.16512864309543912,1.3181818181818181,1.5909090909090908
CV,2,tank,22,22,1.0,21,0.9545454545454546,0.8504065690122755,0.8781786044757898,4.087353090840551,2.621046080181822,0.05352031092287794,1.1363636363636365,3.8181818181818183
CV,3,condor,7,7,1.0,7,1.0,0.8992512111936307,0.9176112279820402,16.7884688586196,7.0178344238090995,0.04033238174602931,1.7142857142857142,29.714285714285715
CV,3,hangar,2,2,1.0,1,0.5,0.5061311016886312,0.5061311016886312,60.75083332407428,60.75083332407428,0.4687005067862601,3.5,110.5
CV,3,helicopter,15,15,1.0,15,1.0,0.8542470770845972,0.8651102464332037,7.427875360973093,6.020797289396148,0.06264700137907352,2.0,5.933333333333334
