model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,1,16-32,62,62,1.0,62,1.0,0.9627606641112291,0.9729709695994607,2.218309976227121,1.118033988749895,0.01141921114095776,1.1451612903225807,2.9838709677419355
CV,1,4-<8,43,43,1.0,43,1.0,0.901704656923656,0.90625,1.538897196133884,1.118033988749895,0.05081972676135886,0.5581395348837209,1.9069767441860466
CV,1,8-<16,105,105,1.0,105,1.0,0.931782941572348,0.9411764705882353,2.083690038577261,1.118033988749895,0.023787957207444574,0.9047619047619048,2.580952380952381
CV,1,<4,8,8,1.0,8,1.0,0.8360020998650243,0.8214357937310415,3.480233057715888,1.3495864094170424,0.10826018322502855,0.75,5.875
CV,1,>32,9,9,1.0,9,1.0,0.9713155516253303,0.9823852955510687,1.976593640287062,1.118033988749895,0.0067351445105415355,0.7777777777777778,2.888888888888889
CV,2,16-32,58,58,1.0,57,0.9827586206896551,0.9179275731091295,0.9320858382215554,4.637427207195394,3.0413812651491097,0.03156978374108799,2.0689655172413794,4.706896551724138
CV,2,4-<8,41,41,1.0,41,1.0,0.7661923981356656,0.78125,3.2549465019840835,2.692582403567252,0.14705882352941177,1.6585365853658536,2.4634146341463414
CV,2,8-<16,97,97,1.0,94,0.9690721649484536,0.8506355902448719,0.8703703703703703,5.1410397755204,3.0413812651491097,0.06141752504728958,1.3195876288659794,5.597938144329897
CV,2,<4,8,8,1.0,7,0.875,0.6431538574971829,0.6808275862068967,5.244680103814525,3.5155644370746373,0.2880300367598573,1.25,5.875
CV,2,>32,8,8,1.0,8,1.0,0.8852571429219305,0.9544212750272927,10.545003417633353,3.348905783050559,0.019638635085953877,1.5,16.25
CV,3,16-32,54,54,1.0,53,0.9814814814814815,0.8643422729126456,0.874540407684347,7.7459237128450775,5.5564252261715525,0.05972206157281778,3.425925925925926,5.444444444444445
CV,3,4-<8,39,39,1.0,33,0.8461538461538461,0.606770377534535,0.631578947368421,5.68749971696881,5.5,0.2791632116978025,2.0,2.769230769230769
CV,3,8-<16,89,89,1.0,85,0.9550561797752809,0.7470062019384274,0.7640830156713257,8.650593408071048,6.0,0.12139891289430872,1.9775280898876404,7.808988764044944
CV,3,<4,8,8,1.0,2,0.25,0.4168045400378191,0.43357677877009904,8.579688846500364,6.768518414505874,0.4834656010361339,6.5,6.125
CV,3,>32,7,7,1.0,6,0.8571428571428571,0.7988431871289938,0.9081638921309663,22.141452731604357,7.0178344238090995,0.04033238174602931,2.142857142857143,33.0
CV,4,16-32,51,51,1.0,50,0.9803921568627451,0.7945129687901425,0.8039158726469905,12.121084836422696,9.340770846134703,0.0976621440265231,5.1568627450980395,7.078431372549019
CV,4,4-<8,37,37,1.0,14,0.3783783783783784,0.44366568667352835,0.4518664047151277,8.77871657677511,8.73212459828649,0.4421557758344973,2.4864864864864864,3.5405405405405403
CV,4,8-<16,81,81,1.0,77,0.9506172839506173,0.6423889497727137,0.6550416982562547,12.829631549606454,9.82344135219425,0.19418190330267115,2.2962962962962963,9.395061728395062
CV,4,<4,8,8,1.0,1,0.125,0.2284998974059323,0.19665342084883264,11.90272886868277,10.670514063662973,0.7961970204450518,7.5,7.125
CV,4,>32,5,5,1.0,4,0.8,0.783628708568128,0.8677770428717455,23.687490281904115,11.280514172678478,0.06483054122229011,2.6,30.0
CV,5,16-32,48,48,1.0,47,0.9791666666666666,0.7197811566584372,0.7245396181386361,17.358839524827033,13.656303962476052,0.14561230864698688,7.3125,8.854166666666666
CV,5,4-<8,35,35,1.0,4,0.11428571428571428,0.2905189238263142,0.3230769230769231,12.800993018556076,13.341664064126334,0.6780197222807408,2.4857142857142858,3.6285714285714286
CV,5,8-<16,74,74,1.0,50,0.6756756756756757,0.5270827707493667,0.5479237486856672,18.131208312511745,14.272143488082554,0.2847257649723191,3.0135135135135136,11.91891891891892
CV,5,<4,8,8,1.0,0,0.0,0.10899412368855657,0.04729963714109339,14.63704265227629,15.0156097709407,1.0343739847293798,8.625,7.875
CV,5,>32,3,3,1.0,3,1.0,0.8108012007161562,0.813544179397838,16.18914875384686,16.0,0.09195402298850575,2.6666666666666665,4.666666666666667
CV,6,16-32,45,45,1.0,44,0.9777777777777777,0.6392733940330443,0.644927536231884,23.06669658842964,19.557607215607945,0.20379721011381702,7.933333333333334,10.6
CV,6,4-<8,33,33,1.0,0,0.0,0.16525327707022716,0.18181818181818182,18.225379440528588,18.527007313648905,0.8399860472331155,3.212121212121212,4.515151515151516
CV,6,8-<16,67,67,1.0,12,0.1791044776119403,0.41567905460515386,0.41723356009070295,24.347926110690484,19.4164878389476,0.388329756778952,3.462686567164179,14.597014925373134
CV,6,<4,8,8,1.0,0,0.0,0.07149016027591804,0.0,19.2723853972149,20.2082439194738,1.4323204705193857,8.375,6.375
CV,6,>32,2,2,1.0,2,1.0,0.7579929824444067,0.7579929824444067,22.354579090514157,22.354579090514157,0.1281050431331708,3.5,2.5
CV,7,16-32,42,42,1.0,39,0.9285714285714286,0.5575855059750676,0.5593306085871932,29.724870690392425,25.96772457366349,0.2719046261256395,8.738095238095237,13.071428571428571
CV,7,4-<8,31,31,1.0,0,0.0,0.0712010455656405,0.04668470906630582,27.125859592444883,24.046829312822098,1.1956521739130435,3.838709677419355,10.64516129032258
CV,7,8-<16,60,60,1.0,2,0.03333333333333333,0.31200218793231577,0.31593392070001414,30.20643714173368,25.45333654073739,0.5126298103329384,3.65,14.816666666666666
CV,7,<4,8,8,1.0,0,0.0,0.05843996474899318,0.0,26.23539058671869,26.27952713026116,1.9270640189380703,9.0,9.125
CV,7,>32,1,1,1.0,1,1.0,0.6867335562987736,0.6867335562987736,29.769951293208393,29.769951293208393,0.17011400738976226,4.0,3.0
CV,8,16-32,39,39,1.0,12,0.3076923076923077,0.47410438441814423,0.4723769730733519,37.727537521621414,33.0,0.35,9.64102564102564,15.692307692307692
CV,8,4-<8,28,28,1.0,0,0.0,0.02008609858510705,0.0,31.006310465167044,30.560055642761192,1.4904655587892863,3.4285714285714284,4.821428571428571
CV,8,8-<16,54,54,1.0,0,0.0,0.21439166877935875,0.21400277231302195,38.074990726754045,32.519221448142446,0.6388740459506426,4.277777777777778,18.074074074074073
CV,8,<4,8,8,1.0,0,0.0,0.02383879594558203,0.0,46.17871341631916,34.80827243625608,2.454793323679385,10.0,34.625
CV,9,16-32,35,35,1.0,0,0.0,0.38615645377709373,0.38925915193663674,47.34736578506315,41.512046444375635,0.43694865888533496,10.571428571428571,17.34285714285714
CV,9,4-<8,26,26,1.0,0,0.0,0.0013351034139424019,0.0,38.86306905165871,38.12100225304384,1.843467674778696,3.730769230769231,5.615384615384615
CV,9,8-<16,49,49,1.0,0,0.0,0.1281799073864165,0.11766835626357712,46.84979521111115,40.792156108742276,0.7861861007534003,4.816326530612245,21.3265306122449
CV,9,<4,7,7,1.0,0,0.0,0.0,0.0,42.97765467502245,42.737571292716204,3.0710132609579515,5.0,9.571428571428571
CV,10,16-32,32,32,1.0,0,0.0,0.3070866911688658,0.3096046178270342,57.55908551246701,51.30515790334488,0.531949657349089,11.75,20.3125
CV,10,4-<8,24,24,1.0,0,0.0,0.0015780730897009968,0.0,47.43028524860222,45.55489076399583,2.2563664489198745,3.9583333333333335,5.458333333333333
CV,10,8-<16,43,43,1.0,0,0.0,0.052663161079537064,0.03090280332573026,57.96734914004829,50.039984012787215,0.9582934817404606,5.27906976744186,22.093023255813954
CV,10,<4,7,7,1.0,0,0.0,0.0,0.0,50.98733886012134,52.787309080876625,3.7932875731013196,4.714285714285714,9.0
CV,11,16-32,29,29,1.0,0,0.0,0.23185899596233375,0.22802293259207784,68.71743074717682,61.204574992397426,0.637717360908104,11.931034482758621,23.586206896551722
CV,11,4-<8,22,22,1.0,0,0.0,0.0,0.0,57.542093485740686,55.06017063889705,2.7562465106119216,4.636363636363637,6.863636363636363
CV,11,8-<16,38,38,1.0,0,0.0,0.019203408607925368,0.0,69.23749631409272,60.05203996810623,1.1318039522857428,6.0,27.105263157894736
CV,11,<4,7,7,1.0,0,0.0,0.0,0.0,61.12465155213092,63.33442981506978,4.523887843933556,4.428571428571429,13.428571428571429
CV,12,16-32,26,26,1.0,0,0.0,0.16262825103163914,0.15683533779000494,81.07622396488867,72.42979753316118,0.7443353996485481,12.73076923076923,28.0
CV,12,4-<8,19,19,1.0,0,0.0,0.0,0.0,66.36229683726175,64.62391198310421,3.1178390174749064,5.157894736842105,5.894736842105263
CV,12,8-<16,34,34,1.0,0,0.0,0.0069698546195763765,0.0,81.47744284643102,69.879983715091,1.3369917229441495,6.9411764705882355,31.764705882352942
CV,12,<4,7,7,1.0,0,0.0,0.0,0.0,73.32926153047713,72.40511031688303,5.357261903439182,4.714285714285714,13.142857142857142
CV,13,16-32,23,23,1.0,0,0.0,0.09953969605628377,0.09131075110456553,94.59510321931742,83.45208205910743,0.8598601654526342,14.130434782608695,33.34782608695652
CV,13,4-<8,17,17,1.0,0,0.0,0.0,0.0,77.19540055123377,76.20531477528323,3.6458928566569564,6.235294117647059,7.470588235294118
CV,13,8-<16,30,30,1.0,0,0.0,0.0,0.0,96.09160590437845,81.7994450666865,1.5510801156963345,6.633333333333334,37.3
CV,13,<4,7,7,1.0,0,0.0,0.0,0.0,82.57623158069396,83.57332110189232,5.84286150890511,4.714285714285714,14.857142857142858
CV,14,16-32,20,20,1.0,0,0.0,0.040523845514903685,0.03546272021982945,109.61050692784161,96.4498170191859,0.9619531793421432,16.15,39.7
CV,14,4-<8,15,15,1.0,0,0.0,0.0,0.0,89.39612954839556,87.79094486335137,3.913285016699929,5.866666666666666,6.066666666666666
CV,14,8-<16,26,26,1.0,0,0.0,0.0,0.0,111.4478587377443,94.12736310599598,1.7902317842694608,7.0,45.76923076923077
CV,14,<4,7,7,1.0,0,0.0,0.0,0.0,95.70246418994866,95.97134989151711,6.8128217954329715,6.714285714285714,16.285714285714285
CV,15,16-32,17,17,1.0,0,0.0,0.009086063553601567,0.0,126.55070056809888,110.91100035614141,1.0851037203091163,17.88235294117647,49.1764705882353
CV,15,4-<8,13,13,1.0,0,0.0,0.0,0.0,102.30268749312725,100.4800975317998,4.521948155703838,6.538461538461538,8.384615384615385
CV,15,8-<16,22,22,1.0,0,0.0,0.0,0.0,129.89409120710098,108.4046515595073,2.084900288361557,7.590909090909091,57.04545454545455
CV,15,<4,7,7,1.0,0,0.0,0.0,0.0,106.39415141052811,110.32792031031855,7.880565736451325,5.571428571428571,16.857142857142858
CV,16,16-32,14,14,1.0,0,0.0,0.0,0.0,145.93026810541627,124.27309483561,1.219525209318229,22.071428571428573,61.142857142857146
CV,16,4-<8,11,11,1.0,0,0.0,0.0,0.0,116.80393576481664,113.50440520085553,4.934974139167632,7.636363636363637,8.454545454545455
CV,16,8-<16,18,18,1.0,0,0.0,0.0,0.0,149.4383103267015,120.29813248163344,2.3165778673753668,8.722222222222221,72.83333333333333
CV,16,<4,7,7,1.0,0,0.0,0.0,0.0,122.66117406829233,126.64221255173963,9.04587232512426,6.428571428571429,17.714285714285715
CV,17,16-32,11,11,1.0,0,0.0,0.0,0.0,169.03039548531132,140.52224023264077,1.3071352825810716,23.727272727272727,80.45454545454545
CV,17,4-<8,9,9,1.0,0,0.0,0.0,0.0,130.44548502614953,127.00885795880538,5.608864170033251,6.111111111111111,8.777777777777779
CV,17,8-<16,14,14,1.0,0,0.0,0.0,0.0,174.9728171278738,134.53252737689255,2.7844526585250238,8.428571428571429,97.42857142857143
CV,17,<4,7,7,1.0,0,0.0,0.0,0.0,134.79522766310086,131.4201278343618,9.138259012403719,7.571428571428571,18.285714285714285
CV,18,16-32,9,9,1.0,0,0.0,0.0,0.0,195.12819969538273,158.38244852255568,1.5228968697955414,26.88888888888889,102.66666666666667
CV,18,4-<8,7,7,1.0,0,0.0,0.0,0.0,144.58333998676315,143.50348427825716,6.239281925141616,5.285714285714286,11.142857142857142
CV,18,8-<16,9,9,1.0,0,0.0,0.0,0.0,175.15306596221365,147.1674216666175,2.8856357189532846,8.11111111111111,66.11111111111111
CV,18,<4,7,7,1.0,0,0.0,0.0,0.0,149.01348439149652,147.7235593938895,10.282055400809028,7.571428571428571,17.714285714285715
CV,19,16-32,7,7,1.0,0,0.0,0.0,0.0,229.84337000323225,177.1383639983163,1.6103487636210572,32.857142857142854,136.28571428571428
CV,19,4-<8,5,5,1.0,0,0.0,0.0,0.0,158.84881839853173,159.0070753142765,6.8360837902926335,5.4,8.0
CV,19,8-<16,7,7,1.0,0,0.0,0.0,0.0,201.28849527638846,164.77863939236784,3.168819988314766,9.571428571428571,88.14285714285714
CV,19,<4,6,6,1.0,0,0.0,0.0,0.0,164.56401547195773,164.66586695381977,11.690391929677684,8.666666666666666,17.5
CV,20,16-32,5,5,1.0,0,0.0,0.0,0.0,278.86586110014684,197.03108891745993,1.7920393295566048,42.6,196.4
CV,20,4-<8,4,4,1.0,0,0.0,0.0,0.0,176.31047062523615,175.86914668407735,7.569368102490191,6.5,6.0
CV,20,8-<16,5,5,1.0,0,0.0,0.0,0.0,232.49135973750626,167.04640073943526,3.2754196223418677,9.6,127.8
CV,20,<4,5,5,1.0,0,0.0,0.0,0.0,184.00827106046918,183.57355474032747,13.112396767166247,9.2,18.2
CV,21,16-32,3,3,1.0,0,0.0,0.0,0.0,208.10431324097513,207.61803871532936,1.8874367155939034,52.666666666666664,10.0
CV,21,4-<8,3,3,1.0,0,0.0,0.0,0.0,193.57982363577503,193.7330637759079,8.42317668590904,8.333333333333334,1.0
