dataset,frame_index,class_name,track_primary_count,observation_top_count
hosted,0,hangar,0,0
hosted,0,helicopter,0,0
hosted,0,jet_plane,0,0
hosted,0,large_launcher,0,0
hosted,0,large_tower,0,0
hosted,0,medium_launcher,0,0
hosted,0,medium_plane,0,0
hosted,0,mine_roller,0,0
hosted,0,small_launcher,0,0
hosted,0,small_plane,0,0
hosted,0,small_tower,0,0
hosted,0,ta-ta,0,0
hosted,0,tank,0,0
hosted,0,condor,0,0
hosted,0,jammer,0,0
hosted,0,spacecraft,0,0
hosted,2,hangar,0,0
hosted,2,helicopter,0,0
hosted,2,jet_plane,0,0
hosted,2,large_launcher,0,0
hosted,2,large_tower,0,0
hosted,2,medium_launcher,0,0
hosted,2,medium_plane,0,0
hosted,2,mine_roller,0,0
hosted,2,small_launcher,0,0
hosted,2,small_plane,0,0
hosted,2,small_tower,0,0
hosted,2,ta-ta,0,0
hosted,2,tank,0,0
hosted,2,condor,0,0
hosted,2,jammer,0,0
hosted,2,spacecraft,0,0
hosted,3,hangar,0,0
hosted,3,helicopter,0,0
hosted,3,jet_plane,0,0
hosted,3,large_launcher,1,1
hosted,3,large_tower,0,0
hosted,3,medium_launcher,0,0
hosted,3,medium_plane,0,0
hosted,3,mine_roller,0,0
hosted,3,small_launcher,0,0
hosted,3,small_plane,0,0
hosted,3,small_tower,0,0
hosted,3,ta-ta,0,0
hosted,3,tank,0,0
hosted,3,condor,0,0
hosted,3,jammer,0,0
hosted,3,spacecraft,0,0
hosted,4,hangar,0,0
hosted,4,helicopter,0,0
hosted,4,jet_plane,0,0
hosted,4,large_launcher,1,1
hosted,4,large_tower,0,0
hosted,4,medium_launcher,0,0
hosted,4,medium_plane,0,0
hosted,4,mine_roller,0,0
hosted,4,small_launcher,0,0
hosted,4,small_plane,0,0
hosted,4,small_tower,0,0
hosted,4,ta-ta,0,0
hosted,4,tank,0,0
hosted,4,condor,0,0
hosted,4,jammer,0,0
hosted,4,spacecraft,0,0
hosted,5,hangar,0,0
hosted,5,helicopter,0,0
hosted,5,jet_plane,0,0
hosted,5,large_launcher,1,0
hosted,5,large_tower,0,0
hosted,5,medium_launcher,0,0
hosted,5,medium_plane,0,0
hosted,5,mine_roller,0,0
hosted,5,small_launcher,0,0
hosted,5,small_plane,0,0
hosted,5,small_tower,0,0
hosted,5,ta-ta,0,0
hosted,5,tank,0,0
hosted,5,condor,0,0
hosted,5,jammer,0,0
hosted,5,spacecraft,0,0
hosted,6,hangar,0,0
hosted,6,helicopter,0,0
hosted,6,jet_plane,0,0
hosted,6,large_launcher,1,0
hosted,6,large_tower,0,0
hosted,6,medium_launcher,0,0
hosted,6,medium_plane,0,0
hosted,6,mine_roller,0,0
hosted,6,small_launcher,0,0
hosted,6,small_plane,0,0
hosted,6,small_tower,0,0
hosted,6,ta-ta,0,0
hosted,6,tank,0,0
hosted,6,condor,0,0
hosted,6,jammer,1,1
hosted,6,spacecraft,0,0
hosted,7,hangar,0,0
hosted,7,helicopter,0,0
hosted,7,jet_plane,0,0
hosted,7,large_launcher,0,0
hosted,7,large_tower,0,0
hosted,7,medium_launcher,0,0
