dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,0,True,c6ae6aa777ba4e949a81d31e46a5f55f,1,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,0,0,0,0,identity,False,no-previous-frame,0.0,0,0,0.0,0.0,0.0,0.0,86.03
hosted,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hosted,2,True,c6ae6aa777ba4e949a81d31e46a5f55f,3,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,0,0,0,0,affine,True,accepted,0.9929,281,283,0.9929,-28.54,104.96,108.77101268260768,92.99
hosted,3,True,c6ae6aa777ba4e949a81d31e46a5f55f,4,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.963,0.0014,1,0.1741,1,0,1,0,0,1,0.0,0,0.0743,0.00020000000000000573,3,3,0,3,2,affine,True,accepted,0.9897,287,290,0.9897,-14.13,52.02,53.904891243745226,114.11
hosted,4,True,c6ae6aa777ba4e949a81d31e46a5f55f,5,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.973,0.0043,1,0.1794,1,1,0,0,1,0,0.0,0,0.0853,0.000899999999999998,3,3,0,3,2,affine,True,accepted,0.9899,293,296,0.9899,-14.22,52.21,54.111851751718866,113.5
hosted,5,True,c6ae6aa777ba4e949a81d31e46a5f55f,6,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,0,1,0,1.0,1,0.0853,0.000899999999999998,3,3,0,3,2,affine,True,accepted,0.9899,295,298,0.9899,-14.23,52.02,53.931190418903235,91.73
hosted,6,True,c6ae6aa777ba4e949a81d31e46a5f55f,7,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.993,0.0158,1,0.2587,2,0,1,0,1,1,1.0,2,0.08295,0.0017000000000000001,6,6,0,5,4,affine,True,accepted,1.0,295,295,1.0,-13.83,52.27,54.06867669917584,113.33
hosted,7,True,c6ae6aa777ba4e949a81d31e46a5f55f,8,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,1,0,1,1.0,1,0.0806,0.0025000000000000022,3,3,0,3,2,affine,True,accepted,0.9932,293,295,0.9932,-14.2,52.14,54.03905624638536,91.5
hosted,8,True,c6ae6aa777ba4e949a81d31e46a5f55f,9,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,0,0,1,2.0,2,0.0806,0.0025000000000000022,3,3,0,3,2,affine,True,accepted,1.0,300,300,1.0,0.03,0.06,0.0670820393249937,91.2
hosted,9,True,c6ae6aa777ba4e949a81d31e46a5f55f,10,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.8405,0.0341,1,0.228,1,0,1,1,0,1,0.0,0,0.0796,0.005400000000000002,3,3,0,3,2,affine,True,accepted,0.9965,281,282,0.9965,-28.23,105.27,108.98947563870558,113.05
hosted,10,True,c6ae6aa777ba4e949a81d31e46a5f55f,11,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,0,0,1,1.0,1,0.0796,0.005400000000000002,3,3,0,3,2,affine,True,accepted,1.0,296,296,1.0,-14.05,52.23,54.08673959483969,92.21
hosted,11,True,c6ae6aa777ba4e949a81d31e46a5f55f,12,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9883,0.0519,1,0.2702,2,0,1,0,0,2,1.0,2,0.08395,0.008100000000000003,6,6,0,4,4,affine,True,accepted,0.9899,294,297,0.9899,-14.05,52.03,53.893630421414365,113.53
hosted,12,True,c6ae6aa777ba4e949a81d31e46a5f55f,13,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9117,0.0258,1,0.2724,2,0,1,1,0,2,0.5,1,0.0853,0.0075,6,6,0,5,4,affine,True,accepted,0.9966,292,293,0.9966,-14.44,52.11,54.07370617962116,115.43
hosted,13,True,c6ae6aa777ba4e949a81d31e46a5f55f,14,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9978,0.0341,1,0.2504,3,0,1,0,0,3,1.0,2,0.0848,0.0070999999999999995,9,9,0,7,6,affine,True,accepted,0.9866,294,298,0.9866,-14.45,52.4,54.35588744561163,116.94
hosted,14,True,c6ae6aa777ba4e949a81d31e46a5f55f,15,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.991,0.0482,1,0.2887,3,0,1,1,0,3,1.0,2,0.08473333333333333,0.0067666666666666665,9,9,0,8,6,affine,True,accepted,0.9899,294,297,0.9899,-14.36,52.2,54.139168815193315,114.64
hosted,15,True,c6ae6aa777ba4e949a81d31e46a5f55f,16,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,2,0,0,1,0,2,1.5,2,0.08595,0.008050000000000002,6,6,0,6,4,affine,True,accepted,0.9966,295,296,0.9966,-14.26,52.38,54.286388717615026,91.95
hosted,16,True,c6ae6aa777ba4e949a81d31e46a5f55f,17,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9982,0.0391,1,0.3403,2,0,1,1,0,2,1.0,2,0.08990000000000001,0.008900000000000005,6,6,0,5,4,affine,True,accepted,0.9966,293,294,0.9966,-14.48,52.36,54.325316381959524,114.5
hosted,17,True,c6ae6aa777ba4e949a81d31e46a5f55f,18,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9799,0.0038,1,0.2086,2,1,0,0,1,1,0.5,1,0.09595000000000001,0.00895,6,6,0,5,4,affine,True,accepted,0.9899,295,298,0.9899,-14.49,52.41,54.37617309079409,115.2
