dataset,frame_index,source_file,source_width,source_height,analysis_width,analysis_height,brightness_mean,contrast_std,luma_p05,luma_p95,dynamic_range_p95_p05,entropy_bits,saturation_mean,colorfulness,gradient_mean,laplacian_variance,edge_density,edge_component_count,edge_component_area_median,orb_keypoints,dark_fraction,bright_fraction
hosted,0,00000.png,960,540,960,540,134.06333719135802,33.61210691783165,68.0,183.0,115.0,7.020975039891583,89.77252314814815,40.56226208886997,79.79762268066406,1871.6523467833383,0.21969328703703703,2944,10.0,9371,0.016307870370370372,0.0008873456790123457
hosted,5,00005.png,960,540,960,540,118.86221643518519,35.171809774355715,51.0,174.0,123.0,7.111659448348016,102.01773533950617,41.853215428236666,82.7310791015625,1971.2933297152294,0.23222029320987655,2968,9.0,9508,0.03189043209876543,0.0
hosted,10,00010.png,960,540,960,540,109.92560956790123,36.679109662890916,41.0,172.0,131.0,7.176736035795474,107.99866898148149,42.300878485206155,84.6803207397461,1921.2427203136572,0.24297067901234567,2896,9.0,9585,0.04696373456790123,0.0
hosted,15,00015.png,960,540,960,540,105.54748842592592,38.25077726883979,35.0,173.0,138.0,7.233146777228305,110.91139274691358,42.88483717658182,88.38216400146484,2058.776974727021,0.2529610339506173,3074,9.0,9677,0.06059027777777778,0.0
hosted,20,00020.png,960,540,960,540,102.33092399691358,40.16052912079185,30.0,174.0,144.0,7.300627416523964,111.94060185185185,43.426451349521265,92.34050750732422,2132.141485482977,0.2599864969135802,3043,7.0,9635,0.07876543209876544,0.0
hosted,25,00025.png,960,540,960,540,100.92731095679012,41.57301556224662,27.0,176.0,149.0,7.3399971526574195,111.6208699845679,43.46145833408508,94.05844116210938,2135.053103619276,0.26292631172839503,2986,7.0,9564,0.09162808641975309,0.0
hosted,30,00030.png,960,540,960,540,101.37256172839506,42.060594216865496,27.0,177.0,150.0,7.353449337356346,112.30154706790124,44.02553462553721,92.92061614990234,2180.7712284722224,0.2603163580246914,3043,7.0,9725,0.09432098765432098,0.0
hosted,35,00035.png,960,540,960,540,99.73144097222222,43.69142087846132,26.0,178.0,152.0,7.4148891163299675,110.66256944444444,43.07498391592314,97.71438598632812,2193.266419877743,0.2687307098765432,2869,7.0,9782,0.10835841049382716,0.0
hosted,40,00040.png,960,540,960,540,98.61179976851852,45.58800382373357,24.0,178.0,154.0,7.463232571686477,109.05891396604939,42.106815386404236,102.90811920166016,2344.5123548024667,0.2748726851851852,3090,6.0,9835,0.12601851851851853,0.0
hosted,45,00045.png,960,540,960,540,98.71262924382717,46.237642337139796,23.0,177.0,154.0,7.473959846715131,107.54377507716049,41.74800383562367,105.15776062011719,2371.054867279128,0.2750462962962963,3141,6.0,9878,0.13366319444444444,0.0
hosted,50,00050.png,960,540,960,540,98.39534336419753,46.40375514366296,23.0,174.0,151.0,7.473923986613253,107.40331597222222,41.78328475323553,106.34535217285156,2283.7236187837575,0.27380979938271605,3028,6.0,9949,0.14093171296296297,0.0
hosted,55,00055.png,960,540,960,540,98.75867091049383,47.070735194349865,23.0,176.0,153.0,7.486506947773062,107.5963811728395,41.84218573755892,106.99219512939453,2299.508630915634,0.27090277777777777,3208,6.0,10000,0.14672646604938272,0.0
hosted,60,00060.png,960,540,960,540,99.95548611111111,46.74680719599863,23.0,178.0,155.0,7.467935687031625,106.42248842592592,42.2100363942996,106.60057067871094,2159.934645108748,0.2655516975308642,3047,6.0,10000,0.14133680555555556,0.0
hosted,65,00065.png,960,540,960,540,99.97192515432099,47.06761851394911,23.0,179.0,156.0,7.471623005768297,105.40028163580247,41.927073120846444,108.3703842163086,2261.16931462831,0.2661747685185185,3139,6.0,9983,0.14418595679012347,0.0
hosted,70,00070.png,960,540,960,540,100.6487962962963,47.07713328665382,22.0,178.0,156.0,7.476840959804082,105.20293209876543,42.28193345515876,106.69447326660156,2240.009004192015,0.2643479938271605,2847,6.0,9955,0.1415354938271605,0.0
hosted,75,00075.png,960,540,960,540,103.29826388888888,46.951031474865594,23.0,177.0,154.0,7.485450412350536,100.67296875,41.610141385686575,100.95376586914062,2013.943057448842,0.2523167438271605,2755,7.0,9911,0.12872685185185184,0.0
hosted,80,00080.png,960,540,960,540,102.80744791666666,45.9578049028499,24.0,175.0,151.0,7.468122504084232,101.28358217592593,41.40166245561682,95.75284576416016,1796.00358009807,0.24609760802469136,2563,7.0,9845,0.12085841049382716,0.0
