dataset,frame_index,observation_ordinal,source,top_index,top_class,top_posterior,quality,level,x1_source,y1_source,x2_source,y2_source,width_px_source,height_px_source,short_side_px_source
hosted,3,0,yolo,3,large_launcher,0.1741,0.3477,0,1844.5,133.5,1907.0,197.0,62.5,63.5,62.5
hosted,4,0,yolo,3,large_launcher,0.1794,0.3579,0,1844.9,187.5,1911.0,252.9,66.09999999999991,65.4,65.4
hosted,6,0,yolo,14,jammer,0.2587,0.3961,0,1646.3,1857.4,1718.9,1925.5,72.60000000000014,68.09999999999991,68.09999999999991
hosted,9,0,yolo,8,small_launcher,0.228,0.4163,0,1729.3,961.1,1778.8,1018.3,49.5,57.19999999999993,49.5
hosted,11,0,yolo,14,jammer,0.2702,0.5026,0,2077.5,1185.1,2139.2,1257.4,61.69999999999982,72.30000000000018,61.69999999999982
hosted,12,0,yolo,10,small_tower,0.2724,0.4086,0,1840.8,651.8,1906.8,721.8,66.0,70.0,66.0
hosted,13,0,yolo,3,large_launcher,0.2504,0.4519,0,1229.3,515.3,1352.6,607.8,123.29999999999995,92.5,92.5
hosted,14,0,yolo,8,small_launcher,0.2887,0.4925,0,1232.4,257.4,1296.8,320.0,64.39999999999986,62.60000000000002,62.60000000000002
hosted,16,0,yolo,14,jammer,0.3403,0.4669,0,587.2,26.2,664.1,92.3,76.89999999999998,66.1,66.1
hosted,17,0,yolo,8,small_launcher,0.2086,0.3578,0,1217.4,430.7,1276.8,493.6,59.399999999999864,62.900000000000034,59.399999999999864
hosted,18,0,yolo,14,jammer,0.2857,0.4273,0,1555.1,792.2,1640.3,867.9,85.20000000000005,75.69999999999993,75.69999999999993
hosted,18,1,yolo,8,small_launcher,0.2782,0.4819,0,1215.2,487.3,1278.0,550.7,62.799999999999955,63.400000000000034,62.799999999999955
hosted,19,0,yolo,8,small_launcher,0.2472,0.4579,0,1207.4,541.4,1275.7,611.3,68.29999999999995,69.89999999999998,68.29999999999995
hosted,20,0,yolo,8,small_launcher,0.2678,0.4749,0,1205.0,606.1,1269.6,672.4,64.59999999999991,66.29999999999995,64.59999999999991
hosted,21,0,yolo,8,small_launcher,0.2098,0.4291,0,1196.5,668.1,1267.4,737.5,70.90000000000009,69.39999999999998,69.39999999999998
hosted,22,0,yolo,8,small_launcher,0.2286,0.4494,0,1191.2,730.3,1261.2,799.1,70.0,68.80000000000007,68.80000000000007
hosted,23,0,yolo,14,jammer,0.1968,0.3861,0,1188.3,793.0,1250.2,857.9,61.90000000000009,64.89999999999998,61.90000000000009
hosted,24,0,yolo,8,small_launcher,0.1841,0.3622,0,1180.0,856.8,1247.4,924.6,67.40000000000009,67.80000000000007,67.40000000000009
hosted,25,0,yolo,2,jet_plane,0.1597,0.305,0,562.9,461.0,629.1,529.7,66.20000000000005,68.70000000000005,66.20000000000005
hosted,25,1,yolo,8,small_launcher,0.1981,0.3852,0,1173.5,918.5,1246.4,990.7,72.90000000000009,72.20000000000005,72.20000000000005
hosted,26,0,yolo,8,small_launcher,0.1548,0.3522,0,1172.4,988.0,1240.5,1057.7,68.09999999999991,69.70000000000005,68.09999999999991
hosted,26,1,yolo,4,large_tower,0.2209,0.3766,0,554.3,516.6,626.5,594.6,72.20000000000005,78.0,72.20000000000005
hosted,27,0,yolo,8,small_launcher,0.1833,0.3796,0,1167.3,1054.0,1238.7,1125.2,71.40000000000009,71.20000000000005,71.20000000000005
hosted,27,1,yolo,10,small_tower,0.1259,0.3275,0,1146.6,1149.1,1219.6,1228.7,73.0,79.60000000000014,73.0
hosted,28,0,yolo,8,small_launcher,0.1551,0.3319,0,1160.8,1121.5,1231.2,1193.4,70.40000000000009,71.90000000000009,70.40000000000009
hosted,29,0,yolo,14,jammer,0.1645,0.3425,0,1155.8,1190.7,1220.6,1261.0,64.79999999999995,70.29999999999995,64.79999999999995
hosted,32,0,yolo,8,small_launcher,0.21,0.3909,0,1138.0,1407.5,1208.1,1478.6,70.09999999999991,71.09999999999991,70.09999999999991
hosted,33,0,yolo,14,jammer,0.1614,0.3597,0,1134.7,1477.5,1202.0,1546.3,67.29999999999995,68.79999999999995,67.29999999999995
