dataset,frame_index,proposal_ordinal,source,score,x1,y1,x2,y2,width_px,height_px,area_px2,short_side_px,center_x_norm,center_y_norm
hosted,3,0,yolo,0.031,461.1,33.4,476.8,49.3,15.699999999999989,15.899999999999999,249.6299999999998,15.699999999999989,0.48848958333333337,0.07657407407407406
hosted,4,0,yolo,0.0108,461.2,46.9,477.8,63.2,16.600000000000023,16.300000000000004,270.58000000000044,16.300000000000004,0.4890625,0.10194444444444443
hosted,6,0,yolo,0.0327,411.6,464.4,429.7,481.4,18.099999999999966,17.0,307.6999999999994,17.0,0.43817708333333333,0.8757407407407407
hosted,9,0,yolo,0.0178,432.3,240.3,444.7,254.6,12.399999999999977,14.299999999999983,177.31999999999945,12.399999999999977,0.45677083333333335,0.4582407407407407
hosted,11,0,yolo,0.0135,519.4,296.3,534.8,314.4,15.399999999999977,18.099999999999966,278.73999999999904,15.399999999999977,0.5490624999999999,0.5654629629629631
hosted,12,0,yolo,0.013,460.2,162.9,476.7,180.4,16.5,17.5,288.75,16.5,0.48796875,0.31787037037037036
hosted,13,0,yolo,0.0123,307.3,128.8,338.1,152.0,30.80000000000001,23.19999999999999,714.56,23.19999999999999,0.33614583333333337,0.26
hosted,14,0,yolo,0.0131,308.1,64.4,324.2,80.0,16.099999999999966,15.599999999999994,251.15999999999937,15.599999999999994,0.32932291666666663,0.1337037037037037
hosted,16,0,yolo,0.0108,146.8,6.5,166.0,23.1,19.19999999999999,16.6,318.71999999999986,16.6,0.16291666666666668,0.027407407407407408
hosted,17,0,yolo,0.033,304.3,107.7,319.2,123.4,14.899999999999977,15.700000000000003,233.9299999999997,14.899999999999977,0.32473958333333336,0.2139814814814815
hosted,18,0,yolo,0.0182,388.8,198.0,410.1,217.0,21.30000000000001,19.0,404.7000000000002,19.0,0.41609375000000004,0.38425925925925924
hosted,18,1,yolo,0.0127,303.8,121.8,319.5,137.7,15.699999999999989,15.899999999999991,249.62999999999968,15.699999999999989,0.3246354166666666,0.24027777777777778
hosted,19,0,yolo,0.0504,301.8,135.4,318.9,152.8,17.099999999999966,17.400000000000006,297.5399999999995,17.099999999999966,0.32328125,0.2668518518518519
hosted,20,0,yolo,0.0636,301.2,151.5,317.4,168.1,16.19999999999999,16.599999999999994,268.91999999999973,16.19999999999999,0.32218749999999996,0.2959259259259259
hosted,21,0,yolo,0.0457,299.1,167.0,316.9,184.4,17.799999999999955,17.400000000000006,309.7199999999993,17.400000000000006,0.32083333333333336,0.32537037037037037
hosted,22,0,yolo,0.0526,297.8,182.6,315.3,199.8,17.5,17.200000000000017,301.0000000000003,17.200000000000017,0.3193229166666667,0.35407407407407404
hosted,23,0,yolo,0.02,297.1,198.2,312.6,214.5,15.5,16.30000000000001,252.65000000000018,15.5,0.31755208333333335,0.3821296296296296
hosted,24,0,yolo,0.0463,295.0,214.2,311.9,231.1,16.899999999999977,16.900000000000006,285.60999999999973,16.899999999999977,0.31609375,0.41231481481481475
hosted,25,0,yolo,0.0987,140.7,115.3,157.3,132.4,16.600000000000023,17.10000000000001,283.8600000000005,16.600000000000023,0.15520833333333334,0.22935185185185183
hosted,25,1,yolo,0.0399,293.4,229.6,311.6,247.7,18.200000000000045,18.099999999999994,329.4200000000007,18.099999999999994,0.3151041666666667,0.4419444444444444
hosted,26,0,yolo,0.1627,293.1,247.0,310.1,264.4,17.0,17.399999999999977,295.7999999999996,17.0,0.3141666666666667,0.4735185185185185
hosted,26,1,yolo,0.0204,138.6,129.1,156.6,148.7,18.0,19.599999999999994,352.7999999999999,18.0,0.15375,0.2572222222222222
hosted,27,0,yolo,0.0942,291.8,263.5,309.7,281.3,17.899999999999977,17.80000000000001,318.6199999999998,17.80000000000001,0.31328125,0.5044444444444444
hosted,27,1,yolo,0.0198,286.7,287.3,304.9,307.2,18.19999999999999,19.899999999999977,362.1799999999994,18.19999999999999,0.3081249999999999,0.5504629629629629
hosted,28,0,yolo,0.0158,290.2,280.4,307.8,298.4,17.600000000000023,18.0,316.8000000000004,17.600000000000023,0.31145833333333334,0.5359259259259259
hosted,29,0,yolo,0.0389,289.0,297.7,305.2,315.3,16.19999999999999,17.600000000000023,285.1200000000002,16.19999999999999,0.3094791666666667,0.5675925925925925
hosted,32,0,yolo,0.065,284.5,351.9,302.0,369.7,17.5,17.80000000000001,311.5000000000002,17.5,0.30546875,0.668148148148148
hosted,33,0,yolo,0.0108,283.7,369.4,300.5,386.6,16.80000000000001,17.200000000000045,288.96000000000095,16.80000000000001,0.3042708333333334,0.7
hosted,35,0,yolo,0.0188,537.4,66.3,550.3,79.7,12.899999999999977,13.400000000000006,172.85999999999976,12.899999999999977,0.5665104166666666,0.13518518518518519
hosted,35,1,yolo,0.0116,545.9,59.8,558.1,69.9,12.200000000000045,10.100000000000009,123.22000000000057,10.100000000000009,0.575,0.12009259259259258
hosted,35,2,yolo,0.0101,449.8,31.8,476.0,53.8,26.19999999999999,21.999999999999996,576.3999999999996,21.999999999999996,0.4821875,0.07925925925925925
hosted,36,0,yolo,0.0138,415.3,79.4,431.6,95.2,16.30000000000001,15.799999999999997,257.54000000000013,15.799999999999997,0.44109375000000006,0.16166666666666668
hosted,37,0,yolo,0.039,277.6,446.2,295.6,465.3,18.0,19.100000000000023,343.8000000000004,18.0,0.2985416666666667,0.8439814814814814
hosted,37,1,yolo,0.0315,416.8,94.5,430.1,109.6,13.300000000000011,15.099999999999994,200.8300000000001,13.300000000000011,0.44109375000000006,0.18898148148148147
hosted,37,2,yolo,0.0163,550.3,111.8,573.1,128.5,22.800000000000068,16.700000000000003,380.7600000000012,16.700000000000003,0.5851041666666668,0.2225
hosted,41,0,yolo,0.0245,415.2,154.8,430.1,169.0,14.900000000000034,14.199999999999989,211.58000000000033,14.199999999999989,0.44026041666666665,0.2998148148148148
hosted,41,1,yolo,0.0198,269.2,6.1,283.8,19.1,14.600000000000023,13.000000000000002,189.80000000000032,13.000000000000002,0.28802083333333334,0.023333333333333334
hosted,41,2,yolo,0.0113,539.5,154.6,553.6,168.0,14.100000000000023,13.400000000000006,188.9400000000004,13.400000000000006,0.5693229166666666,0.29870370370370375
hosted,42,0,yolo,0.0151,415.8,170.2,429.8,184.4,14.0,14.200000000000017,198.80000000000024,14.0,0.4404166666666667,0.32833333333333337
hosted,42,1,yolo,0.0122,539.1,169.1,554.4,183.4,15.299999999999955,14.300000000000011,218.78999999999954,14.300000000000011,0.56953125,0.3263888888888889
hosted,42,2,yolo,0.0102,577.0,504.1,596.7,524.8,19.700000000000045,20.699999999999932,407.7899999999996,19.700000000000045,0.6113020833333334,0.9526851851851853
hosted,43,0,yolo,0.0211,264.6,30.7,282.0,47.7,17.399999999999977,17.000000000000004,295.79999999999967,17.000000000000004,0.28468750000000004,0.0725925925925926
hosted,43,1,yolo,0.017,265.6,57.3,277.5,72.0,11.899999999999977,14.700000000000003,174.9299999999997,11.899999999999977,0.28286458333333336,0.11972222222222223
hosted,44,0,yolo,0.0843,264.1,45.1,280.1,60.7,16.0,15.600000000000001,249.60000000000002,15.600000000000001,0.2834375,0.09796296296296297
hosted,44,1,yolo,0.0245,264.2,72.9,274.8,85.3,10.600000000000023,12.399999999999991,131.4400000000002,10.600000000000023,0.28072916666666664,0.14648148148148146
hosted,44,2,yolo,0.0148,335.8,31.0,353.4,45.6,17.599999999999966,14.600000000000001,256.9599999999995,14.600000000000001,0.3589583333333334,0.07092592592592592
