dataset,frame_index,track_id,object_id,identity_confidence,runner_up,runner_up_confidence,posterior_gap,hits,age,confirmed,last_observed_frame,last_observed_level,geometry_confidence,propagation_model,short_side_px_source,width_px_source,height_px_source
hosted,3,1,large_launcher,0.0743,small_tower,0.0741,0.00020000000000000573,1,0,False,4,0,1.0,observed,62.5,62.5,63.5
hosted,4,1,large_launcher,0.0853,small_tower,0.0844,0.000899999999999998,2,0,True,5,0,0.8395,observed,65.1,65.30000000000018,65.1
hosted,5,1,large_launcher,0.0853,small_tower,0.0844,0.000899999999999998,2,1,True,5,0,0.8357,gmc,65.9,65.90000000000009,66.10000000000002
hosted,6,1,large_launcher,0.0853,small_tower,0.0844,0.000899999999999998,2,2,True,5,0,0.8357,gmc,66.4,66.39999999999986,67.09999999999997
hosted,6,2,jammer,0.0806,ta-ta,0.0781,0.0025000000000000022,1,0,False,7,0,1.0,observed,68.1,72.60000000000014,68.09999999999991
hosted,7,2,jammer,0.0806,ta-ta,0.0781,0.0025000000000000022,1,1,False,7,0,0.9969,gmc,69.1,73.19999999999982,69.09999999999991
hosted,8,2,jammer,0.0806,ta-ta,0.0781,0.0025000000000000022,1,2,False,7,0,0.9969,gmc,69.1,73.19999999999982,69.09999999999991
hosted,9,3,small_launcher,0.0796,jammer,0.0742,0.005400000000000002,1,0,False,10,0,1.0,observed,49.5,49.5,57.19999999999993
hosted,10,3,small_launcher,0.0796,jammer,0.0742,0.005400000000000002,1,1,False,10,0,1.0,gmc,49.8,49.80000000000018,58.09999999999991
hosted,11,4,jammer,0.0883,tank,0.0775,0.010800000000000004,1,0,False,12,0,1.0,observed,61.7,61.69999999999982,72.30000000000018
hosted,11,3,small_launcher,0.0796,jammer,0.0742,0.005400000000000002,1,2,False,10,0,0.9955,gmc,50.2,50.200000000000045,59.0
hosted,12,5,small_tower,0.0823,tank,0.0781,0.004199999999999995,1,0,False,13,0,1.0,observed,66.0,66.0,70.0
hosted,12,4,jammer,0.0883,tank,0.0775,0.010800000000000004,1,1,False,12,0,0.9985,gmc,62.2,62.19999999999982,73.40000000000009
hosted,13,6,large_launcher,0.0838,large_tower,0.0775,0.0063,1,0,False,14,0,1.0,observed,92.6,123.29999999999995,92.5
