frame_index,filename,sha256,size_bytes,decoded,width,height,channels,expected_width,expected_height,dimensions_match
0,00000.png,8079fc270d9c33ebb478a7492083c8bb89bb89a8eeed7f6c1f0ec1501f6e5422,1116912,True,960,540,3,960,540,True
5,00005.png,7152d97e65e17c4ec1c172c00d1d84cad718364cf6090dc0922125218bfcd03b,1122322,True,960,540,3,960,540,True
10,00010.png,4b0d4751cbd5099b38d3fda2006d80fa1b276a60fa222e231bdf8c31da876c96,1119313,True,960,540,3,960,540,True
15,00015.png,6ce0ce07d50159b010cd62e7fb5da749dd3c691e956d6b1acd935ba72637a770,1132097,True,960,540,3,960,540,True
20,00020.png,32ba47fcf3c0a5db6a590454b5a7514567bab18c85d1e00526a64864075065cf,1140364,True,960,540,3,960,540,True
25,00025.png,1c684f6f862e700c5c2c6c243c773a70582ac981c9381b458b333ca2baa822e1,1140129,True,960,540,3,960,540,True
30,00030.png,f6616e0b382e2983c911fc3aa06629e4fe73423a1c030db68d4b8188f3bf460d,1140295,True,960,540,3,960,540,True
35,00035.png,0036c1af7561feb3d748d5ce76c2c3fc8323342a410bcf753526152fb3a0a827,1143788,True,960,540,3,960,540,True
40,00040.png,f02706ffa1141aee76e17fe00dc8ac4e28391daaa604beec6924566059ae6657,1155448,True,960,540,3,960,540,True
45,00045.png,44a4e6c8f644d19fb8f2593a3f405f9e5039e41a1e5675ff67587572abe83428,1158310,True,960,540,3,960,540,True
50,00050.png,7044140a7b22b8da806db27e5b0fb6149fb4771234e9e8f2476e894ef3e2106d,1155908,True,960,540,3,960,540,True
55,00055.png,12b3a48de348a3dc695365d762a03cae98349b147be282527f3a816899fa2c2f,1158970,True,960,540,3,960,540,True
60,00060.png,36f2a34a27c3a610d4cf67c9a72ea6adb305d2806b617c222b2907964e165851,1153589,True,960,540,3,960,540,True
65,00065.png,b49407e4b8a2d275209f447c9b067f28bf5058a464c23428ccd4ea98ee6c3bf4,1158711,True,960,540,3,960,540,True
70,00070.png,03be0c382b0ad60556a2a2abf73c27f0886f71d8e75a907263bfaebbfbd6aef2,1160690,True,960,540,3,960,540,True
75,00075.png,0a87b6d6bb765cd8e140ee054184b4ff1156396d03a6a4778739cef82e2434cf,1135485,True,960,540,3,960,540,True
80,00080.png,10617d0fe875f4e170a689ed6191d414ac28f537df6047396575171b868f5b90,1118117,True,960,540,3,960,540,True
85,00085.png,bb197910ae4281f271e04a057e6856dd46d1303ce851b6494769d6bcdaccd1e8,1116330,True,960,540,3,960,540,True
90,00090.png,52063f99fcd2955e7ec8f4ccbf05553df33f538d7b29896f51fd2e577497d907,1104830,True,960,540,3,960,540,True
95,00095.png,103555740ff0edcd8fc525c950ee8567e762f3c90e4a126c57e5627e6a0ec60a,1077277,True,960,540,3,960,540,True
100,00100.png,f7d583b5a1d1e6d7d6f987a497270f0f7588f077de9cb358bce2de29c087830c,987249,True,960,540,3,960,540,True
105,00105.png,7593d7dda4c78fe0b7388bed6d27e0f229a639fbeaff45b2be476fb4ba038618,924170,True,960,540,3,960,540,True
110,00110.png,c7c3dcc996af0adc971fd78dcd6e8ce10cf285aed936390416280f9433f2df6b,920600,True,960,540,3,960,540,True
115,00115.png,a024e0e4e39de4cd8db1c7362786a1ab2e278c69079357c1712174f42b6e1c89,905992,True,960,540,3,960,540,True
120,00120.png,ce50ac7270ee5b50dd39c1eba85f4776b378e58c4b70033b797ac6685b458f1c,889141,True,960,540,3,960,540,True
125,00125.png,8395c813902bf86ef022dffd337cb49a1e4a6b248cfd6776cbf580507dce7248,855402,True,960,540,3,960,540,True
