frame_index,hosted_proposal_count,replay_proposal_count,proposal_count_error,proposal_count_abs_error,proposal_count_match,proposal_ordering_match,proposal_all_pairs_equal_at_telemetry_precision,proposal_min_matched_iou,proposal_max_bbox_error_px,proposal_max_score_error,recognition_input_source,hosted_crop_count,replay_crop_count,hosted_rejected_as_background,replay_rejected_as_background,hosted_observation_count,replay_observation_count,recognition_counts_match,background_rejection_agreement,top_class_agreement_rate,mean_objectness_hosted,mean_objectness_replay,mean_margin_hosted,mean_margin_replay,recognition_all_observable_values_equal_at_telemetry_precision
0,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
5,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
10,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
15,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
20,1,1,0,0,True,True,True,0.9948168644721408,0.03776245117188637,1.749768257140738e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9894,0.9893608024305952,0.0425,0.0424807071685791,True
25,2,2,0,0,True,True,True,0.9942728971172495,0.04137878417968466,4.264225959777629e-05,original recorded hosted proposal boxes (primary),2,2,0,0,2,2,True,True,1.0,0.832,0.8320404401941743,0.0085,0.00850340723991394,True
30,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
35,3,3,0,0,True,True,True,0.9915794529237411,0.043761444091796164,4.355344772338787e-05,original recorded hosted proposal boxes (primary),3,3,0,0,3,3,True,True,1.0,0.829,0.8289791422473437,0.0145,0.014516790707906088,True
40,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
45,4,4,0,0,True,True,True,0.9878261502126489,0.04662475585939774,3.898119926452892e-05,original recorded hosted proposal boxes (primary),4,4,0,0,4,4,True,True,1.0,0.9654,0.9653984311939698,0.0217,0.021663472056388855,True
50,3,3,0,0,True,True,True,0.9942829198220756,0.042733764648431816,4.693655967712325e-05,original recorded hosted proposal boxes (primary),3,3,0,0,3,3,True,True,0.6666666666666666,0.8982,0.9007096518543342,0.0159,0.014189660549163818,False
55,3,3,0,0,True,True,True,0.9941218972667387,0.04978027343747726,2.3887634277344402e-05,original recorded hosted proposal boxes (primary),3,3,0,0,3,3,True,True,1.0,0.9862,0.9861817031174825,0.0457,0.04566739002863566,True
60,1,1,0,0,True,True,True,0.9924819804315795,0.04945068359376137,2.593231201171442e-06,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9998,0.9998331596741034,0.0644,0.06441575288772583,True
65,2,2,0,0,True,True,True,0.9929772414805981,0.04991455078123863,2.022304534912006e-05,original recorded hosted proposal boxes (primary),2,2,0,0,2,2,True,True,1.0,0.9904,0.9904030661038038,0.0234,0.023353666067123413,True
70,1,1,0,0,True,True,True,0.9935854490280929,0.04725952148436363,4.96685028076177e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9108,0.9108398944499233,0.0131,0.013093709945678711,True
75,1,1,0,0,True,True,True,0.9939507907346363,0.04268188476561363,8.620595932005981e-06,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9369,0.9368716542895013,0.0063,0.00627899169921875,True
80,1,1,0,0,True,True,True,0.9948185021906181,0.0343017578125,4.55638408660905e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.8984,0.9044153014387052,0.0525,0.0673033595085144,False
85,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
90,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
95,1,1,0,0,True,True,True,0.992699847492808,0.03736419677734659,1.385393142700267e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.8416,0.8416172670803358,0.0158,0.015834510326385498,True
100,2,2,0,0,True,True,True,0.989140490138966,0.042306518554681816,3.55746269226076e-05,original recorded hosted proposal boxes (primary),2,2,1,1,1,1,True,True,1.0,0.5406,0.5740959455794379,0.001,0.004585325717926025,False
105,1,1,0,0,True,True,True,0.9962245451083499,0.022216796875,7.648849487305875e-06,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9929,0.9928708107412874,0.0579,0.057901203632354736,True
110,1,1,0,0,True,True,True,0.9905656195012655,0.04158325195311363,3.355035781860312e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.996,0.9959649647084444,0.0412,0.04115170240402222,True
115,1,1,0,0,True,True,True,0.9926900596494148,0.04871826171876137,2.8301477432251393e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.8749,0.8748668058395176,0.0378,0.03775233030319214,True
120,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
125,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
130,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
135,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
140,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
145,2,2,0,0,True,True,True,0.9895982641846294,0.04953613281247726,2.7436685562133578e-05,original recorded hosted proposal boxes (primary),2,2,1,1,1,1,True,True,1.0,0.4067,0.4066521362383083,0.0204,0.02039480209350586,True
150,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
155,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
160,1,1,0,0,True,True,True,0.9927682374313928,0.029980468749954525,7.174015045179061e-07,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.6273,0.6273096277068374,0.0168,0.01682901382446289,True
165,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
170,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
175,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
180,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
185,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
190,1,1,0,0,True,True,True,0.9952392578167301,0.021528625488286934,3.9999723434448395e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9984,0.9983909719492196,0.0471,0.04710805416107178,True
195,1,1,0,0,True,True,True,0.9942353419322891,0.03699340820310226,3.929085731506354e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9996,0.9995904144972336,0.0044,0.004424750804901123,True
200,1,1,0,0,True,True,True,0.9952406984891748,0.02489013671873863,1.152162551879693e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9996,0.9995613221876365,0.0166,0.016648530960083008,True
205,1,1,0,0,True,True,True,0.9899592671283203,0.046142578125,4.4901132583617664e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.9998,0.9998445942157514,0.044,0.043983638286590576,True
210,3,3,0,0,True,True,True,0.9858605261862704,0.04683837890627274,3.8626384735108293e-05,original recorded hosted proposal boxes (primary),3,3,1,1,2,2,True,True,0.5,0.8181,0.8180850178620721,0.01,0.008990744749704996,False
215,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
220,1,1,0,0,True,True,True,0.9939299449927488,0.04880371093747726,4.807977676391656e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.7933,0.7933469292024679,0.0658,0.06583410501480103,True
225,1,1,0,0,True,True,True,0.9910519155754846,0.04694213867185226,3.4840583801251657e-06,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.6447,0.6716836974185735,0.0797,0.06270027160644531,False
230,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
235,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
240,0,0,0,0,True,True,True,,,,original recorded hosted proposal boxes (primary),0,0,0,0,0,0,True,True,,,,,,True
245,1,1,0,0,True,True,True,0.9899404565134319,0.04460906982421875,1.6724634170531272e-05,original recorded hosted proposal boxes (primary),1,1,0,0,1,1,True,True,1.0,0.7227,0.7226745324526992,0.0381,0.03811842203140259,True
