frame_index,hosted_proposal_ordinal,source,proposal_x1,proposal_y1,proposal_x2,proposal_y2,replay_crop_created,hosted_rejected_as_background,replay_rejected_as_background,background_rejection_agrees,hosted_observation_ordinal,hosted_top_index,hosted_top_class,replay_top_index,replay_top_class,top_class_agrees,hosted_top_posterior,replay_top_posterior,top_posterior_abs_error,top_posterior_equal_at_telemetry_precision,hosted_quality,replay_quality,quality_abs_error,quality_equal_at_telemetry_precision,hosted_objectness,replay_objectness,hosted_margin,replay_margin,observable_values_equal_at_telemetry_precision,recorded_crop_bounds_xyxy,full_precision_replay_crop_bounds_xyxy,recorded_vs_full_precision_crop_bounds_equal,full_precision_sensitivity_observable_values_equal
20,0,yolo,301.2,151.5,317.4,168.1,True,False,False,True,0,8,small_launcher,8,small_launcher,True,0.2678,0.26782068610191345,2.0686101913469646e-05,True,0.4749,0.47490232097640966,2.320976409675435e-06,True,NOT OBSERVABLE,0.9893608024305952,NOT OBSERVABLE,0.0424807071685791,True,"[298, 149, 320, 171]","[298, 149, 320, 171]",True,True
25,0,yolo,140.7,115.3,157.3,132.4,True,False,False,True,0,2,jet_plane,2,jet_plane,True,0.1597,0.15966321527957916,3.678472042084602e-05,True,0.305,0.3050053778960162,5.377896016234285e-06,True,NOT OBSERVABLE,0.7115665178532637,NOT OBSERVABLE,0.002134978771209717,True,"[138, 113, 160, 135]","[138, 113, 160, 135]",True,True
25,1,yolo,293.4,229.6,311.6,247.7,True,False,False,True,1,8,small_launcher,8,small_launcher,True,0.1981,0.19805696606636047,4.303393363952468e-05,True,0.3852,0.3852462226711485,4.622267114851031e-05,True,NOT OBSERVABLE,0.9525143625350849,NOT OBSERVABLE,0.014871835708618164,True,"[291, 227, 314, 251]","[291, 227, 314, 251]",True,True
35,0,yolo,537.4,66.3,550.3,79.7,True,False,False,True,0,12,tank,12,tank,True,0.2003,0.20033511519432068,3.511519432067289e-05,True,0.3843,0.38434899192171834,4.899192171836653e-05,True,NOT OBSERVABLE,0.8620100232061402,NOT OBSERVABLE,0.02094411849975586,True,"[535, 64, 553, 82]","[535, 64, 553, 82]",True,True
35,1,yolo,545.9,59.8,558.1,69.9,True,False,False,True,1,12,tank,12,tank,True,0.1357,0.1357167810201645,1.6781020164502447e-05,True,0.3029,0.30289463692369684,5.3630763031664586e-06,True,NOT OBSERVABLE,0.7277317753872449,NOT OBSERVABLE,0.00020897388458251953,True,"[544, 57, 560, 73]","[544, 57, 560, 73]",True,True
35,2,yolo,449.8,31.8,476.0,53.8,True,False,False,True,2,2,jet_plane,2,jet_plane,True,0.3265,0.3265421986579895,4.219865798948952e-05,True,0.3957,0.39574726673197363,4.726673197363862e-05,True,NOT OBSERVABLE,0.8971956281486461,NOT OBSERVABLE,0.022397279739379883,True,"[446, 26, 480, 60]","[446, 26, 480, 60]",True,True
45,0,yolo,565.0,512.5,583.4,526.9,True,False,False,True,0,11,ta-ta,11,ta-ta,True,0.3697,0.36970287561416626,2.8756141662866774e-06,True,0.4468,0.446831706326229,3.1706326229008486e-05,True,NOT OBSERVABLE,0.9990281513742406,NOT OBSERVABLE,0.03234964609146118,True,"[562, 508, 586, 532]","[562, 508, 586, 532]",True,True
45,1,yolo,263.9,59.6,278.5,74.0,True,False,False,True,1,15,spacecraft,15,spacecraft,True,0.2441,0.24407950043678284,2.04995632171745e-05,True,0.3526,0.35257649725218626,2.3502747813763936e-05,True,NOT OBSERVABLE,0.9279365266652198,NOT OBSERVABLE,0.005251765251159668,True,"[262, 57, 281, 76]","[262, 57, 281, 76]",True,True
45,2,yolo,412.2,217.9,428.8,232.3,True,False,False,True,2,14,jammer,14,jammer,True,0.2354,0.23535627126693726,4.3728733062742275e-05,True,0.4484,0.4483696517686239,3.0348231376098322e-05,True,NOT OBSERVABLE,0.9971827700664356,NOT OBSERVABLE,0.03300070762634277,True,"[410, 214, 431, 236]","[410, 214, 431, 236]",True,True
45,3,yolo,539.8,216.9,556.8,230.5,True,False,False,True,3,14,jammer,14,jammer,True,0.2026,0.20262084901332855,2.0849013328549937e-05,True,0.3857,0.3857022592874713,2.2592874713289746e-06,True,NOT OBSERVABLE,0.9374462766699836,NOT OBSERVABLE,0.016051769256591797,True,"[537, 213, 559, 235]","[537, 213, 559, 235]",True,True
50,0,yolo,543.8,299.6,557.6,314.3,True,False,False,True,0,14,jammer,14,jammer,True,0.2103,0.21027573943138123,2.4260568618761358e-05,True,0.4106,0.41064865343642054,4.8653436420520446e-05,True,NOT OBSERVABLE,0.9834988846068798,NOT OBSERVABLE,0.021354973316192627,True,"[541, 297, 560, 317]","[541, 297, 560, 317]",True,True
50,1,yolo,245.9,129.1,273.0,149.1,True,False,False,True,1,3,large_launcher,3,large_launcher,True,0.171,0.17100639641284943,6.396412849413169e-06,True,0.3679,0.3678929031834074,7.096816592611077e-06,True,NOT OBSERVABLE,0.7809087008691301,NOT OBSERVABLE,0.021050631999969482,True,"[242, 122, 277, 157]","[242, 122, 277, 157]",True,True
50,2,yolo,325.2,114.9,349.5,132.7,True,False,False,True,2,4,large_tower,2,jet_plane,False,0.268,0.2710462808609009,0.003046280860900863,False,0.3528,0.3395761064780986,0.013223893521901398,False,NOT OBSERVABLE,0.9377213700869925,NOT OBSERVABLE,0.0001633763313293457,False,"[322, 108, 353, 139]","[322, 108, 353, 140]",False,True
55,0,yolo,407.2,390.9,423.2,407.6,True,False,False,True,0,14,jammer,14,jammer,True,0.4342,0.43419888615608215,1.1138439178215442e-06,True,0.591,0.5909861569131412,1.3843086858811304e-05,True,NOT OBSERVABLE,0.9986419469110676,NOT OBSERVABLE,0.08046257495880127,True,"[404, 388, 426, 410]","[404, 388, 426, 410]",True,True
55,1,yolo,321.6,191.5,342.9,207.2,True,False,False,True,1,4,large_tower,4,large_tower,True,0.3497,0.34973669052124023,3.669052124022354e-05,True,0.4609,0.46089748106733286,2.518932667117113e-06,True,NOT OBSERVABLE,0.9822058238879812,NOT OBSERVABLE,0.03834497928619385,True,"[318, 186, 346, 213]","[318, 186, 346, 213]",True,True
55,2,yolo,248.3,207.9,264.2,224.5,True,False,False,True,2,11,ta-ta,11,ta-ta,True,0.2115,0.21146991848945618,3.0081510543816803e-05,True,0.4001,0.40007219923370413,2.780076629588235e-05,True,NOT OBSERVABLE,0.9776973385533986,NOT OBSERVABLE,0.018194615840911865,True,"[245, 205, 267, 227]","[245, 205, 267, 227]",True,True
60,0,yolo,405.6,491.5,421.5,506.7,True,False,False,True,0,14,jammer,14,jammer,True,0.5596,0.5596349239349365,3.4923934936537115e-05,True,0.5432,0.5432019408883386,1.940888338602953e-06,True,NOT OBSERVABLE,0.9998331596741034,NOT OBSERVABLE,0.06441575288772583,True,"[403, 489, 424, 510]","[403, 489, 424, 510]",True,True
