pair_id,size_bin,target_short_side_l0,source_class,source_frame,helsinki_background_id,hosted_background_id,hosted_background_type,target_x1,target_y1,target_x2,target_y2,target_pixels_equal,helsinki_rank_iou_030,hosted_rank_iou_030,rank_delta_iou_030,helsinki_score_iou_030,hosted_score_iou_030,score_delta_iou_030,score_ratio_iou_030,helsinki_max_iou,hosted_max_iou,iou_delta,helsinki_proposal_count,hosted_proposal_count,helsinki_background_proposals,hosted_background_proposals,crosses_out_of_top1_iou_030,crosses_into_top1_iou_030,crosses_out_of_top5_iou_030,crosses_into_top5_iou_030,crosses_out_of_top20_iou_030,crosses_into_top20_iou_030,crosses_below_production_threshold,crosses_above_production_threshold
p0000,lt8,6,condor,3,frame_000000,00000,open_grass_road,193.0,188.0,199.0,194.0,True,,,0,0.0,0.0,0.0,,0.26848824538690425,0.1918646253934519,-0.07662361999345235,2339,2953,2339,2953,False,False,False,False,False,False,False,False
p0001,lt8,6,condor,3,frame_000009,00095,river_industrial,32.0,267.0,38.0,273.0,True,1309,,1035,0.00017184019088745117,0.0,-0.00017184019088745117,0.0,0.40854313149548543,0.03703483068275611,-0.37150830081272934,2106,2343,2105,2343,False,False,False,False,False,False,False,False
p0002,lt8,6,condor,3,frame_000014,00145,harbor_industrial,32.0,502.0,38.0,508.0,True,1266,,2070,0.0001691579818725586,0.0,-0.0001691579818725586,0.0,0.37699612392611664,0.22197121901393607,-0.15502490491218057,1958,3335,1957,3335,False,False,False,False,False,False,False,False
p0003,lt8,6,condor,3,frame_000024,00245,dense_urban_blocks,32.0,188.0,38.0,194.0,True,,,0,0.0,0.0,0.0,,0.002984439929934542,0.20314183946371195,0.2001573995337774,1547,2810,1547,2810,False,False,False,False,False,False,False,False
p0004,8to16,12,condor,3,frame_000000,00000,open_grass_road,192.0,418.0,204.0,430.0,True,99,14,-85,0.0010805726051330566,0.001697540283203125,0.0006169676780700684,1.5709636494015113,0.3583975203344712,0.3633898320258788,0.004992311691407625,2340,2952,2339,2951,False,False,False,False,False,True,False,False
p0005,8to16,12,condor,3,frame_000009,00095,river_industrial,112.0,418.0,124.0,430.0,True,1192,23,-1169,0.00021028518676757812,0.001251518726348877,0.0010412335395812988,5.951530612244898,0.3300152097507655,0.3359676211112642,0.005952411360498733,2115,2339,2114,2337,False,False,False,False,False,False,False,False
p0006,8to16,12,condor,3,frame_000014,00145,harbor_industrial,32.0,496.0,44.0,508.0,True,66,1937,1871,0.0014061927795410156,0.00014349818229675293,-0.0012626945972442627,0.10204730417090539,0.5208673317723708,0.5585154036962071,0.037648071923836346,1953,3349,1952,3347,False,False,False,False,False,False,False,False
p0007,8to16,12,condor,3,frame_000024,00245,dense_urban_blocks,112.0,32.0,124.0,44.0,True,,2,-2830,0.0,0.01422196626663208,0.01422196626663208,,0.2725105008305303,0.4674204927974098,0.19490999196687953,1559,2831,1559,2830,False,False,False,True,False,True,False,True
p0008,gt16,24,condor,3,frame_000000,00000,open_grass_road,191.0,182.0,216.0,206.0,True,538,150,-388,0.00043532252311706543,0.0009007155895233154,0.00046539306640625,2.0690764701855273,0.5599002219001463,0.5864957274594862,0.02659550555933987,2350,2955,2347,2950,False,False,False,False,False,False,False,False
p0009,gt16,24,condor,3,frame_000009,00095,river_industrial,33.0,484.0,58.0,508.0,True,251,400,149,0.00086212158203125,0.0005186200141906738,-0.00034350156784057617,0.6015625,0.7474634046693588,0.6342449315878502,-0.11321847308150856,2120,2352,2116,2347,False,False,False,False,False,False,False,False
