source_class,source_frame,replacement_family,replacement_background_id,context_multiplier,requested_context_width,requested_context_height,context_x1,context_y1,context_x2,context_y2,effective_context_width,effective_context_height,context_clipped,target_x1_l0,target_y1_l0,target_x2_l0,target_y2_l0,rank_at_iou_030,rank_at_iou_050,best_matching_score,best_matching_score_iou_050,max_iou,above_production_threshold,proposal_count,recall_at_1_iou_030,recall_at_5_iou_030,recall_at_20_iou_030,recall_at_1_iou_050,recall_at_5_iou_050,recall_at_20_iou_050,native_rank_at_iou_030,native_best_matching_score,native_max_iou,valid_native_control,rank_delta_from_native,rank_recovery_ratio_native_over_context,score_recovery_ratio,iou_recovery_ratio,top20_status_restored,activation_recovered
condor,3,helsinki,frame_000000,1.0,171.0,166.0,2673,1583,2844,1749,171,166,False,668.25,395.75,711.0,437.25,9,67,0.008356451988220215,0.0011765062808990479,0.5727926508155593,False,2354,False,False,True,False,False,False,5,0.049265921115875244,0.8690181668806202,True,4,0.5555555555555556,0.16961931897234875,0.6591262100671892,True,False
condor,3,helsinki,frame_000000,1.25,213.75,207.5,2651,1562,2866,1770,215,208,False,668.25,395.75,711.0,437.25,7,330,0.015111684799194336,0.0007710158824920654,0.8639378368140839,True,2327,False,False,True,False,False,False,5,0.049265921115875244,0.8690181668806202,True,2,0.7142857142857143,0.30673708025576346,0.9941539426215077,True,False
condor,3,helsinki,frame_000000,1.5,256.5,249.0,2630,1541,2887,1791,257,250,False,668.25,395.75,711.0,437.25,6,8,0.04985606670379639,0.016189396381378174,0.8469449247629562,True,2314,False,False,True,False,False,True,5,0.049265921115875244,0.8690181668806202,True,1,0.8333333333333334,1.0119787791348323,0.9745997920884706,True,True
condor,3,helsinki,frame_000000,2.0,342.0,332.0,2587,1500,2930,1832,343,332,False,668.25,395.75,711.0,437.25,5,6,0.048215895891189575,0.022573381662368774,0.8656543194990877,True,2338,False,True,True,False,False,True,5,0.049265921115875244,0.8690181668806202,True,0,1.0,0.9786865808879129,0.9961291403221095,True,True
condor,3,helsinki,frame_000000,4.0,684.0,664.0,2416,1334,3101,1998,685,664,False,668.25,395.75,711.0,437.25,5,5,0.05584436655044556,0.05584436655044556,0.87552839795751,True,2294,False,True,True,False,True,True,5,0.049265921115875244,0.8690181668806202,True,0,1.0,1.1335293299215408,1.0074914786882518,True,True
condor,3,helsinki,frame_000000,8.0,1368.0,1328.0,2074,1002,3443,2160,1369,1158,True,668.25,395.75,711.0,437.25,6,6,0.04298630356788635,0.04298630356788635,0.8795593154804425,True,2151,False,False,True,False,False,True,5,0.049265921115875244,0.8690181668806202,True,1,0.8333333333333334,0.8725362805412893,1.01212995194066,True,True
condor,3,hosted_validation,00000,1.0,171.0,166.0,2673,1583,2844,1749,171,166,False,668.25,395.75,711.0,437.25,254,313,0.0005345940589904785,0.00044989585876464844,0.7033432654142464,False,2918,False,False,False,False,False,False,5,0.049265921115875244,0.8690181668806202,True,249,0.01968503937007874,0.010851193824897616,0.8093539263269129,False,False
condor,3,hosted_validation,00000,1.25,213.75,207.5,2651,1562,2866,1770,215,208,False,668.25,395.75,711.0,437.25,253,456,0.00051841139793396,0.0003656446933746338,0.5629849414054331,False,2908,False,False,False,False,False,False,5,0.049265921115875244,0.8690181668806202,True,248,0.019762845849802372,0.010522718061327574,0.6478402441531146,False,False
condor,3,hosted_validation,00000,1.5,256.5,249.0,2630,1541,2887,1791,257,250,False,668.25,395.75,711.0,437.25,238,238,0.0005609989166259766,0.0005609989166259766,0.7240326898157313,False,2936,False,False,False,False,False,False,5,0.049265921115875244,0.8690181668806202,True,233,0.02100840336134454,0.01138715980376144,0.8331617420780503,False,False
condor,3,hosted_validation,00000,2.0,342.0,332.0,2587,1500,2930,1832,343,332,False,668.25,395.75,711.0,437.25,17,17,0.0012231171131134033,0.0012231171131134033,0.8720555228808556,False,2861,False,False,True,False,False,True,5,0.049265921115875244,0.8690181668806202,True,12,0.29411764705882354,0.024826839434029604,1.0034951582325813,True,False
condor,3,hosted_validation,00000,4.0,684.0,664.0,2416,1334,3101,1998,685,664,False,668.25,395.75,711.0,437.25,1,1,0.010357379913330078,0.010357379913330078,0.8921112788997564,True,3012,True,True,True,True,True,True,5,0.049265921115875244,0.8690181668806202,True,-4,5.0,0.2102341675286887,1.0265737966123654,True,False
condor,3,hosted_validation,00000,8.0,1368.0,1328.0,2074,1002,3443,2160,1369,1158,True,668.25,395.75,711.0,437.25,2,2,0.019100189208984375,0.019100189208984375,0.8787641450176198,True,3098,False,True,True,False,True,True,5,0.049265921115875244,0.8690181668806202,True,-3,2.5,0.3876957697403045,1.011214930260875,True,False
helicopter,8,helsinki,frame_000009,1.0,116.0,94.0,2251,1373,2367,1467,116,94,False,562.75,343.25,591.75,366.75,5,5,0.5835086107254028,0.5835086107254028,0.7310310645253504,True,2093,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,4,0.2,0.623322532297889,0.8651440145664693,True,True
helicopter,8,helsinki,frame_000009,1.25,145.0,117.5,2236,1361,2382,1479,146,118,False,562.75,343.25,591.75,366.75,5,5,0.728546142578125,0.728546142578125,0.7457567729968569,True,2094,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,4,0.2,0.7782562555899672,0.8825712610442185,True,True
helicopter,8,helsinki,frame_000009,1.5,174.0,141.0,2222,1349,2396,1491,174,142,False,562.75,343.25,591.75,366.75,3,3,0.9015848636627197,0.9015848636627197,0.8554107089804134,True,2099,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,2,0.3333333333333333,0.9631017434362396,1.0123420067668019,True,True
helicopter,8,helsinki,frame_000009,2.0,232.0,188.0,2193,1326,2425,1514,232,188,False,562.75,343.25,591.75,366.75,3,3,0.903953492641449,0.903953492641449,0.8255461739551494,True,2107,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,2,0.3333333333333333,0.9656319885533772,0.976998606221035,True,True
helicopter,8,helsinki,frame_000009,4.0,464.0,376.0,2077,1232,2541,1608,464,376,False,562.75,343.25,591.75,366.75,3,3,0.8619343042373657,0.8619343042373657,0.8237171703148762,True,2125,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,2,0.3333333333333333,0.9207457496192598,0.9748340585994779,True,True
helicopter,8,helsinki,frame_000009,8.0,928.0,752.0,1845,1044,2773,1796,928,752,False,562.75,343.25,591.75,366.75,3,3,0.9119168519973755,0.9119168519973755,0.8212678677248878,True,2148,False,True,True,False,True,True,1,0.9361262917518616,0.8449819362059344,True,2,0.3333333333333333,0.9741387033268977,0.971935413687628,True,True
helicopter,8,hosted_validation,00095,1.0,116.0,94.0,2251,1373,2367,1467,116,94,False,562.75,343.25,591.75,366.75,373,467,0.0005638301372528076,0.0004500150680541992,0.7659481876407042,False,2310,False,False,False,False,False,False,1,0.9361262917518616,0.8449819362059344,True,372,0.002680965147453083,0.0006023013585033051,0.9064669371275547,False,False
helicopter,8,hosted_validation,00095,1.25,145.0,117.5,2236,1361,2382,1479,146,118,False,562.75,343.25,591.75,366.75,361,365,0.000593721866607666,0.0005791783332824707,0.8503558239650898,False,2310,False,False,False,False,False,False,1,0.9361262917518616,0.8449819362059344,True,360,0.002770083102493075,0.0006342326583911858,1.0063597664386588,False,False
helicopter,8,hosted_validation,00095,1.5,174.0,141.0,2222,1349,2396,1491,174,142,False,562.75,343.25,591.75,366.75,6,6,0.002530127763748169,0.002530127763748169,0.6535528970831733,False,2320,False,False,True,False,False,True,1,0.9361262917518616,0.8449819362059344,True,5,0.16666666666666666,0.002702763276751155,0.7734519154547854,True,False
