backend,budget,map50,class,class_ap50,offline_accepted_frames,realtime_accepted_frames,realtime_skipped_frames,invalid_responses,invalid_commands,annotations_per_accepted_frame,distinct_classes,track_bank_mean,track_bank_max
v2,32,0.43058011210323227,hangar,0.6633663366336634,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,helicopter,0.9446571154811334,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,jet_plane,0.919275801819533,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,large_launcher,0.9845447959430089,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,large_tower,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,medium_launcher,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,medium_plane,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,mine_roller,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,small_launcher,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,small_plane,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,small_tower,0.9351935193519352,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,ta-ta,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,tank,0.6039603960396039,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,condor,0.900990099009901,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,jammer,0.0,25,8,17,0,0,22.52,15,9.8,15
v2,32,0.43058011210323227,spacecraft,0.9372937293729372,25,8,17,0,0,22.52,15,9.8,15
v3_standard,8,0.4591333214203773,hangar,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,helicopter,0.9028586682197631,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,jet_plane,0.9443069306930693,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,large_launcher,0.9895165987186954,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,large_tower,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,medium_launcher,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,medium_plane,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,mine_roller,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,small_launcher,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,small_plane,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,small_tower,0.9351935193519352,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,ta-ta,0.0,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,tank,0.9603960396039604,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,condor,0.900990099009901,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,jammer,0.7623762376237624,25,8,17,0,0,20.8,16,9.56,12
v3_standard,8,0.4591333214203773,spacecraft,0.9504950495049505,25,8,17,0,0,20.8,16,9.56,12
v3_standard,16,0.45525418633633896,hangar,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,helicopter,0.8066236089653641,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,jet_plane,0.917028402347624,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,large_launcher,0.9810231023102308,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,large_tower,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,medium_launcher,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,medium_plane,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,mine_roller,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,small_launcher,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,small_plane,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,small_tower,0.818815810152444,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,ta-ta,0.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,tank,0.9495949594959497,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,condor,0.8604860486048602,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,jammer,1.0,25,7,18,0,0,41.76,16,16.92,20
v3_standard,16,0.45525418633633896,spacecraft,0.9504950495049505,25,7,18,0,0,41.76,16,16.92,20
v3_standard,24,0.46050049293027884,hangar,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,helicopter,0.8094189422488556,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,jet_plane,0.9104666743465527,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,large_launcher,0.969423959281482,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,large_tower,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,medium_launcher,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,medium_plane,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,mine_roller,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,small_launcher,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,small_plane,0.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,small_tower,0.914002828854314,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,ta-ta,0.07746068724519511,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,tank,0.9434229137199434,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,condor,0.7933168316831684,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,jammer,1.0,25,7,18,0,0,57.0,16,22.16,29
v3_standard,24,0.46050049293027884,spacecraft,0.9504950495049505,25,7,18,0,0,57.0,16,22.16,29
v3_standard,32,0.459771205428189,hangar,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,helicopter,0.8093668407654153,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,jet_plane,0.9078907890789081,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,large_launcher,0.9686891766099686,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,large_tower,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,medium_launcher,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,medium_plane,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,mine_roller,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,small_launcher,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,small_plane,0.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,small_tower,0.9171022692331345,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,ta-ta,0.07746068724519511,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,tank,0.9428966152429197,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,condor,0.7824378591705322,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,jammer,1.0,25,7,18,0,0,60.56,16,23.2,32
v3_standard,32,0.459771205428189,spacecraft,0.9504950495049505,25,7,18,0,0,60.56,16,23.2,32
