backend,budget,image,sample_stride,state_reset,proposals_before_budget,proposals_after_budget,proposal_score_p10,proposal_score_p50,proposal_score_p90,recognition_crops,rejected_as_background,rejection_fraction,observations,top_class_distribution,top_posterior_p50,top_posterior_p90,objectness_p50,proposal_ms,recognition_ms,discovery_recognition_ms
v2,32,00000.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,212.68330000748392,0.006300004315562546,212.68960001179948
v2,32,00005.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,211.29439999640454,0.0049000082071870565,211.29930000461172
v2,32,00010.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,167.90110000874847,0.005099995178170502,167.90620000392664
v2,32,00015.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,164.2234000028111,0.0051000097300857306,164.2285000125412
v2,32,00020.png,5,True,1,1,0.06361749768257141,0.06361749768257141,0.06361749768257141,1,0,0.0,1,"{""small_launcher"": 1}",0.267821,0.267821,0.989361,172.1596999996109,57.43439999059774,229.59409999020863
v2,32,00025.png,5,True,2,2,0.04574007391929626,0.06927093863487244,0.0928018033504486,2,0,0.0,2,"{""jet_plane"": 1, ""small_launcher"": 1}",0.17886000000000002,0.19421760000000002,0.8320405,169.08580000745133,76.24989999749232,245.33570000494365
v2,32,00030.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,159.27940000256058,0.0092999980552122,159.2887000006158
v2,32,00035.png,5,True,3,3,0.010387289524078368,0.011556446552276611,0.0173653244972229,3,0,0.0,3,"{""jet_plane"": 1, ""tank"": 2}",0.200335,0.30130060000000003,0.86201,175.28979999769945,57.02429999655578,232.31409999425523
v2,32,00040.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,163.41059999831486,0.011900003300979733,163.42250000161584
v2,32,00045.png,5,True,4,4,0.01602848768234253,0.03295786678791046,0.05626645982265473,4,0,0.0,4,"{""jammer"": 2, ""spacecraft"": 1, ""ta-ta"": 1}",0.239718,0.33201610000000004,0.9673145000000001,164.85059999104124,63.41740000061691,228.26799999165814
v2,32,00050.png,5,True,3,3,0.012532681226730347,0.013675659894943237,0.014959877729415894,3,0,0.0,3,"{""jammer"": 1, ""large_launcher"": 1, ""large_tower"": 1}",0.210276,0.2564392,0.930339,166.98349999205675,53.87740000151098,220.86089999356773
v2,32,00055.png,5,True,3,3,0.011680930852890015,0.016500204801559448,0.047396820783615116,3,0,0.0,3,"{""jammer"": 1, ""large_tower"": 1, ""ta-ta"": 1}",0.349737,0.4173066,0.982206,160.21109999564942,52.82319999241736,213.03429998806678
v2,32,00060.png,5,True,1,1,0.016697406768798828,0.016697406768798828,0.016697406768798828,1,0,0.0,1,"{""jammer"": 1}",0.559635,0.559635,0.999833,172.94519999995828,27.101800005766563,200.04700000572484
v2,32,00065.png,5,True,2,2,0.014596733450889587,0.01938919723033905,0.024181661009788514,2,0,0.0,2,"{""jammer"": 1, ""ta-ta"": 1}",0.2111945,0.2267109,0.990403,170.4950999992434,50.62519999046344,221.12029998970684
v2,32,00070.png,5,True,1,1,0.021349668502807617,0.021349668502807617,0.021349668502807617,1,0,0.0,1,"{""spacecraft"": 1}",0.166065,0.166065,0.91084,174.83530000026803,26.090700004715472,200.9260000049835
v2,32,00075.png,5,True,1,1,0.011908620595932007,0.011908620595932007,0.011908620595932007,1,0,0.0,1,"{""jammer"": 1}",0.209472,0.209472,0.936872,174.92119999951683,23.38650000456255,198.30770000407938
v2,32,00080.png,5,True,1,1,0.02835443615913391,0.02835443615913391,0.02835443615913391,1,0,0.0,1,"{""spacecraft"": 1}",0.228792,0.228792,0.898391,152.40439999615774,26.66529999987688,179.06969999603461
v2,32,00085.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,166.10930000024382,0.008500006515532732,166.11780000675935
v2,32,00090.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,169.38229999504983,0.0039000005926936865,169.38619999564253
v2,32,00095.png,5,True,1,1,0.015613853931427002,0.015613853931427002,0.015613853931427002,1,0,0.0,1,"{""large_launcher"": 1}",0.207836,0.207836,0.841617,175.18929998914246,26.050600004964508,201.23989999410696
v2,32,00100.png,5,True,2,2,0.012343707680702209,0.018041804432868958,0.023739901185035706,2,1,0.5,1,"{""medium_launcher"": 1, ""ta-ta"": 1}",0.167791,0.20006859999999999,0.540645,183.90129999897908,54.75969999679364,238.66099999577273
v2,32,00105.png,5,True,1,1,0.034607648849487305,0.034607648849487305,0.034607648849487305,1,0,0.0,1,"{""ta-ta"": 1}",0.322132,0.322132,0.992871,193.54380000731908,30.16850000130944,223.71230000862852
v2,32,00110.png,5,True,1,1,0.010066449642181396,0.010066449642181396,0.010066449642181396,1,0,0.0,1,"{""ta-ta"": 1}",0.374391,0.374391,0.995965,184.52570000954438,25.507600003038533,210.0333000125829
v2,32,00115.png,5,True,1,1,0.01997169852256775,0.01997169852256775,0.01997169852256775,1,0,0.0,1,"{""spacecraft"": 1}",0.338262,0.338262,0.874867,178.70330000005197,25.05630000086967,203.75960000092164
v2,32,00120.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,178.35370000102557,0.008500006515532732,178.3622000075411
v2,32,00125.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,160.47780000371858,0.0037999998312443495,160.48160000354983
v2,32,00130.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,168.6457000032533,0.0035999983083456755,168.64930000156164
v2,32,00135.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,167.72620000119787,0.005599998985417187,167.73180000018328
v2,32,00140.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,172.12010000366718,0.0034999975468963385,172.12360000121407
v2,32,00145.png,5,True,2,2,0.013950639963150024,0.014118105173110962,0.0142855703830719,2,1,0.5,1,"{""jammer"": 1, ""large_launcher"": 1}",0.172736,0.1925072,0.406652,176.9441999931587,59.97989999013953,236.92409998329822
v2,32,00150.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,163.48820000712294,0.006600006599910557,163.49480001372285
v2,32,00155.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,181.95969999942463,0.0034999975468963385,181.96319999697153
v2,32,00160.png,5,True,1,1,0.020999282598495483,0.020999282598495483,0.020999282598495483,1,0,0.0,1,"{""spacecraft"": 1}",0.164827,0.164827,0.62731,172.38249999354593,23.082300001988187,195.46479999553412
v2,32,00165.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,173.75499999616295,0.005599998985417187,173.76059999514837
v2,32,00170.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,171.54669998853933,0.00340001133736223,171.5500999998767
v2,32,00175.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,160.22209999209736,0.0037999998312443495,160.2258999919286
v2,32,00180.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,162.01670000737067,0.0033999967854470015,162.02010000415612
v2,32,00185.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,192.7473999967333,0.0034999975468963385,192.7508999942802
v2,32,00190.png,5,True,1,1,0.013539999723434448,0.013539999723434448,0.013539999723434448,1,0,0.0,1,"{""jammer"": 1}",0.507672,0.507672,0.998391,179.70300000160933,28.082199991331436,207.78519999294076
v2,32,00195.png,5,True,1,1,0.021839290857315063,0.021839290857315063,0.021839290857315063,1,0,0.0,1,"{""ta-ta"": 1}",0.367752,0.367752,0.99959,175.53839999891352,23.175599999376573,198.7139999982901
v2,32,00200.png,5,True,1,1,0.0587884783744812,0.0587884783744812,0.0587884783744812,1,0,0.0,1,"{""jammer"": 1}",0.386967,0.386967,0.999561,175.25210000167135,26.84679999947548,202.09890000114683
v2,32,00205.png,5,True,1,1,0.024044901132583618,0.024044901132583618,0.024044901132583618,1,0,0.0,1,"{""ta-ta"": 1}",0.45595,0.45595,0.999845,192.87109999277163,23.524199990788475,216.3952999835601
v2,32,00210.png,5,True,3,3,0.013356530666351318,0.024838626384735107,0.08365899324417114,3,1,0.3333333333333333,2,"{""jammer"": 1, ""small_tower"": 1, ""ta-ta"": 1}",0.288519,0.366039,0.993662,181.8048999994062,59.832300001289696,241.63720000069588
v2,32,00215.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,176.75329999474343,0.006999995093792677,176.76029998983722
v2,32,00220.png,5,True,1,1,0.030251920223236084,0.030251920223236084,0.030251920223236084,1,0,0.0,1,"{""jammer"": 1}",0.374937,0.374937,0.793347,166.10979998949915,23.360899998806417,189.47069998830557
v2,32,00225.png,5,True,1,1,0.04329651594161987,0.04329651594161987,0.04329651594161987,1,0,0.0,1,"{""jammer"": 1}",0.376337,0.376337,0.644668,174.44940000132192,27.632499986793846,202.08189998811577
v2,32,00230.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,174.6592999988934,0.005699999746866524,174.66499999864027
v2,32,00235.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,170.50750000635162,0.0037999998312443495,170.51130000618286
v2,32,00240.png,5,True,0,0,0.0,0.0,0.0,0,0,0.0,0,{},0.0,0.0,0.0,176.41519999597222,0.0036999990697950125,176.418899995042
v2,32,00245.png,5,True,1,1,0.020783275365829468,0.020783275365829468,0.020783275365829468,1,0,0.0,1,"{""small_launcher"": 1}",0.282113,0.282113,0.722675,168.09530000318773,26.09870000742376,194.1940000106115
v3_standard,8,00000.png,5,True,94,8,0.010883715748786927,0.020147308707237244,0.10978474915027621,8,0,0.0,8,"{""jammer"": 5, ""large_launcher"": 1, ""ta-ta"": 2}",0.2659835,0.3888203,0.995789,205.6899000017438,122.46759999834467,328.1575000000885
v3_standard,8,00005.png,5,True,116,8,0.011439457535743713,0.0234176367521286,0.13782522082328796,8,1,0.125,7,"{""jammer"": 2, ""large_launcher"": 2, ""small_launcher"": 1, ""small_tower"": 1, ""ta-ta"": 2}",0.23328100000000002,0.32928219999999997,0.9944545,199.9189999914961,110.53220000758301,310.4511999990791
v3_standard,8,00010.png,5,True,101,8,0.01130494475364685,0.02356746792793274,0.10721734166145325,8,0,0.0,8,"{""condor"": 1, ""jammer"": 5, ""small_launcher"": 1, ""ta-ta"": 1}",0.258361,0.3396186,0.9909185,173.29019999306183,107.42169999866746,280.7118999917293
v3_standard,8,00015.png,5,True,86,8,0.012756392359733582,0.025687769055366516,0.1333990842103958,8,1,0.125,7,"{""jammer"": 4, ""large_launcher"": 1, ""small_launcher"": 1, ""small_tower"": 1, ""ta-ta"": 1}",0.2686985,0.35620430000000003,0.997764,173.71299999649636,111.48219999449793,285.1951999909943
v3_standard,8,00020.png,5,True,69,8,0.011315655708312989,0.02329239249229431,0.1064485311508179,8,1,0.125,7,"{""jammer"": 7, ""ta-ta"": 1}",0.2350265,0.3561987,0.9941865000000001,177.77840000053402,112.99750000762288,290.7759000081569
v3_standard,8,00025.png,5,True,69,8,0.011306309700012208,0.022702723741531372,0.13231915235519426,8,0,0.0,8,"{""jammer"": 4, ""small_launcher"": 2, ""spacecraft"": 1, ""ta-ta"": 1}",0.26348950000000004,0.3266226,0.988225,176.15749999822583,111.13200000545476,287.2895000036806
