frame,class,x1,y1,x2,y2,width,height,area,width_fraction,height_fraction,area_fraction,aspect_ratio,cx,cy,edge_left,edge_top,edge_right,edge_bottom,min_edge,boundary_touch,L0_width,L0_height,L0_short,L0_bucket,L1_width,L1_height,L1_short,L1_bucket,L2_width,L2_height,L2_short,L2_bucket
0,jammer,1496,1247,1528,1290,32,43,1376,0.008333333333333333,0.01990740740740741,0.00016589506172839507,0.7441860465116279,1512.0,1268.5,1496,1247,2312,870,870,0,8.0,10.75,8.0,8-<16,16.0,21.5,16.0,16-32,32.0,43.0,32.0,16-32
0,large_launcher,3455,359,3594,464,139,105,14595,0.03619791666666667,0.04861111111111111,0.001759620949074074,1.3238095238095238,3524.5,411.5,3455,359,246,1696,246,0,34.75,26.25,26.25,16-32,69.5,52.5,52.5,>32,139.0,105.0,105.0,>32
0,mine_roller,1979,2010,2032,2070,53,60,3180,0.013802083333333333,0.027777777777777776,0.0003833912037037037,0.8833333333333333,2005.5,2040.0,1979,2010,1808,90,90,0,13.25,15.0,13.25,8-<16,26.5,30.0,26.5,16-32,53.0,60.0,53.0,>32
0,spacecraft,1525,627,1566,675,41,48,1968,0.010677083333333334,0.022222222222222223,0.00023726851851851852,0.8541666666666666,1545.5,651.0,1525,627,2274,1485,627,0,10.25,12.0,10.25,8-<16,20.5,24.0,20.5,16-32,41.0,48.0,41.0,>32
0,condor,2657,1369,2823,1531,166,162,26892,0.043229166666666666,0.075,0.0032421875,1.0246913580246915,2740.0,1450.0,2657,1369,1017,629,629,0,41.5,40.5,40.5,>32,83.0,81.0,81.0,>32,166.0,162.0,162.0,>32
0,small_plane,2028,1502,2069,1550,41,48,1968,0.010677083333333334,0.022222222222222223,0.00023726851851851852,0.8541666666666666,2048.5,1526.0,2028,1502,1771,610,610,0,10.25,12.0,10.25,8-<16,20.5,24.0,20.5,16-32,41.0,48.0,41.0,>32
0,small_launcher,1788,221,1808,251,20,30,600,0.005208333333333333,0.013888888888888888,7.233796296296296e-05,0.6666666666666666,1798.0,236.0,1788,221,2032,1909,221,0,5.0,7.5,5.0,4-<8,10.0,15.0,10.0,8-<16,20.0,30.0,20.0,16-32
0,tank,888,0,934,13,46,13,598,0.011979166666666667,0.0060185185185185185,7.209683641975309e-05,3.5384615384615383,911.0,6.5,888,0,2906,2147,0,1,11.5,3.25,3.25,<4,23.0,6.5,6.5,4-<8,46.0,13.0,13.0,8-<16
0,helicopter,2233,850,2342,937,109,87,9483,0.028385416666666666,0.04027777777777778,0.0011433015046296295,1.2528735632183907,2287.5,893.5,2233,850,1498,1223,850,0,27.25,21.75,21.75,16-32,54.5,43.5,43.5,>32,109.0,87.0,87.0,>32
0,small_tower,2616,791,2669,851,53,60,3180,0.013802083333333333,0.027777777777777776,0.0003833912037037037,0.8833333333333333,2642.5,821.0,2616,791,1171,1309,791,0,13.25,15.0,13.25,8-<16,26.5,30.0,26.5,16-32,53.0,60.0,53.0,>32
