frame,target,level,cx,cy,source_region,full_count,intersect_count,other_full_count,full_classes,next_frame_full_classes,next_frame_target_retained,target_fits
0,jammer,1,1512,1268,552;728;2472;1808,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
0,jammer,2,1512,1268,1032;998;1992;1538,1,1,0,jammer,jammer,True,True
0,large_launcher,1,2880,540,1920;0;3840;1080,3,3,2,large_launcher;helicopter;small_tower,large_launcher;helicopter;small_tower,True,True
0,large_launcher,2,3360,412,2880;142;3840;682,1,1,0,large_launcher,large_launcher,True,True
0,mine_roller,1,2006,1620,1046;1080;2966;2160,4,4,3,jammer;mine_roller;condor;small_plane,jammer;mine_roller;condor;small_plane,True,True
0,mine_roller,2,2006,1890,1526;1620;2486;2160,1,1,0,mine_roller,mine_roller,True,True
0,spacecraft,1,1546,651,586;111;2506;1191,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
0,spacecraft,2,1546,651,1066;381;2026;921,1,1,0,spacecraft,spacecraft,True,True
0,condor,1,2740,1450,1780;910;3700;1990,2,3,1,condor;small_plane,condor;small_plane;helicopter,True,True
0,condor,2,2740,1450,2260;1180;3220;1720,1,1,0,condor,condor,True,True
0,small_plane,1,2048,1526,1088;986;3008;2066,3,4,2,jammer;condor;small_plane,jammer;condor;small_plane,True,True
0,small_plane,2,2048,1526,1568;1256;2528;1796,1,1,0,small_plane,small_plane,True,True
0,small_launcher,1,1798,540,838;0;2758;1080,6,6,5,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta,True,True
0,small_launcher,2,1798,270,1318;0;2278;540,1,1,0,small_launcher,small_launcher,True,True
0,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
0,tank,2,911,270,431;0;1391;540,2,2,1,tank;ta-ta,tank;ta-ta,True,True
0,helicopter,1,2288,894,1328;354;3248;1434,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
0,helicopter,2,2288,894,1808;624;2768;1164,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
0,small_tower,1,2642,821,1682;281;3602;1361,3,3,2,large_launcher;helicopter;small_tower,helicopter;small_tower,True,True
0,small_tower,2,2642,821,2162;551;3122;1091,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
0,ta-ta,1,1112,540,152;0;2072;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
0,ta-ta,2,1112,302,632;32;1592;572,1,1,0,ta-ta,ta-ta,True,True
1,jammer,1,1509,1336,549;796;2469;1876,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
1,jammer,2,1509,1336,1029;1066;1989;1606,1,1,0,jammer,jammer,True,True
1,large_launcher,1,2880,540,1920;0;3840;1080,3,3,2,large_launcher;helicopter;small_tower,large_launcher;helicopter;small_tower,True,True
1,large_launcher,2,3360,468,2880;198;3840;738,1,1,0,large_launcher,large_launcher,True,True
1,mine_roller,1,2006,1620,1046;1080;2966;2160,4,4,3,jammer;mine_roller;condor;small_plane,jammer;condor;small_plane,False,True
1,mine_roller,2,2006,1890,1526;1620;2486;2160,1,2,0,mine_roller,small_plane,False,True
1,spacecraft,1,1542,710,582;170;2502;1250,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
1,spacecraft,2,1542,710,1062;440;2022;980,1,1,0,spacecraft,spacecraft,True,True
1,condor,1,2746,1521,1786;981;3706;2061,2,3,1,condor;small_plane,condor;small_plane,True,True
1,condor,2,2746,1521,2266;1251;3226;1791,1,1,0,condor,condor,True,True
1,small_plane,1,2050,1598,1090;1058;3010;2138,3,4,2,jammer;condor;small_plane,jammer;condor;small_plane,True,True
1,small_plane,2,2050,1598,1570;1328;2530;1868,1,1,0,small_plane,small_plane,True,True
1,small_launcher,1,1797,540,837;0;2757;1080,6,6,5,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta,True,True
1,small_launcher,2,1797,290,1317;20;2277;560,1,1,0,small_launcher,small_launcher,True,True
1,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
1,tank,2,905,270,425;0;1385;540,2,2,1,tank;ta-ta,tank;ta-ta,True,True
1,helicopter,1,2290,956,1330;416;3250;1496,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
1,helicopter,2,2290,956,1810;686;2770;1226,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
1,small_tower,1,2647,883,1687;343;3607;1423,3,3,2,large_launcher;helicopter;small_tower,helicopter;small_tower,True,True
1,small_tower,2,2647,883,2167;613;3127;1153,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
1,ta-ta,1,1108,540,148;0;2068;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
1,ta-ta,2,1108,358,628;88;1588;628,1,1,0,ta-ta,ta-ta,True,True
2,jammer,1,1506,1404,546;864;2466;1944,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
2,jammer,2,1506,1404,1026;1134;1986;1674,1,1,0,jammer,jammer,True,True
2,large_launcher,1,2880,540,1920;0;3840;1080,3,3,2,large_launcher;helicopter;small_tower,large_launcher;jet_plane;small_tower,True,True
2,large_launcher,2,3360,526,2880;256;3840;796,1,1,0,large_launcher,large_launcher,True,True
2,spacecraft,1,1540,770,580;230;2500;1310,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
2,spacecraft,2,1540,770,1060;500;2020;1040,1,1,0,spacecraft,spacecraft,True,True
2,condor,1,2752,1593,1792;1053;3712;2133,2,3,1,condor;small_plane,condor;small_plane,True,True
2,condor,2,2752,1593,2272;1323;3232;1863,1,1,0,condor,condor,True,True
2,small_plane,1,2050,1620,1090;1080;3010;2160,3,3,2,jammer;condor;small_plane,jammer;condor;small_plane,True,True
2,small_plane,2,2050,1670,1570;1400;2530;1940,1,1,0,small_plane,small_plane,True,True
2,small_launcher,1,1796,540,836;0;2756;1080,6,6,5,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta,spacecraft;jet_plane;small_launcher;tank;small_tower;ta-ta,True,True
2,small_launcher,2,1796,345,1316;75;2276;615,1,1,0,small_launcher,small_launcher,True,True
2,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
2,tank,2,898,270,418;0;1378;540,2,2,1,tank;ta-ta,tank;ta-ta,True,True
2,helicopter,1,2293,1020,1333;480;3253;1560,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
2,helicopter,2,2293,1020,1813;750;2773;1290,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
2,small_tower,1,2652,946,1692;406;3612;1486,2,3,1,helicopter;small_tower,helicopter;small_tower,True,True
2,small_tower,2,2652,946,2172;676;3132;1216,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
2,ta-ta,1,1102,540,142;0;2062;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
2,ta-ta,2,1102,413,622;143;1582;683,1,1,0,ta-ta,ta-ta,True,True
3,jammer,1,1503,1474,543;934;2463;2014,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
3,jammer,2,1503,1474,1023;1204;1983;1744,1,1,0,jammer,jammer,True,True
3,large_launcher,1,2880,584,1920;44;3840;1124,2,3,1,large_launcher;small_tower,large_launcher;small_tower,True,True
3,large_launcher,2,3360,584,2880;314;3840;854,1,1,0,large_launcher,large_launcher,True,True
3,spacecraft,1,1537,832,577;292;2497;1372,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
3,spacecraft,2,1537,832,1057;562;2017;1102,1,1,0,spacecraft,spacecraft,True,True
3,condor,1,2758,1620,1798;1080;3718;2160,2,3,1,condor;small_plane,condor;small_plane;helicopter,True,True
3,condor,2,2758,1666,2278;1396;3238;1936,1,1,0,condor,condor,True,True
3,small_plane,1,2052,1620,1092;1080;3012;2160,3,4,2,jammer;condor;small_plane,jammer;condor;small_plane;helicopter,True,True
3,small_plane,2,2052,1744,1572;1474;2532;2014,1,1,0,small_plane,small_plane,True,True
3,jet_plane,1,2235,540,1275;0;3195;1080,4,5,3,spacecraft;jet_plane;small_launcher;small_tower,spacecraft;jet_plane;small_launcher,True,True
3,jet_plane,2,2235,270,1755;0;2715;540,2,2,1,jet_plane;small_launcher,jet_plane;small_launcher,True,True
3,small_launcher,1,1796,540,836;0;2756;1080,6,7,5,spacecraft;jet_plane;small_launcher;tank;small_tower;ta-ta,spacecraft;jet_plane;small_launcher;tank;ta-ta,True,True
3,small_launcher,2,1796,401,1316;131;2276;671,1,1,0,small_launcher,small_launcher,True,True
3,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
3,tank,2,892,270,412;0;1372;540,2,2,1,tank;ta-ta,tank;ta-ta,True,True
3,helicopter,1,2296,1084,1336;544;3256;1624,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
3,helicopter,2,2296,1084,1816;814;2776;1354,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
3,small_tower,1,2658,1009,1698;469;3618;1549,2,3,1,helicopter;small_tower,helicopter;small_tower,True,True
3,small_tower,2,2658,1009,2178;739;3138;1279,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
3,ta-ta,1,1097,540,137;0;2057;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
3,ta-ta,2,1097,470,617;200;1577;740,1,1,0,ta-ta,ta-ta,True,True
4,jammer,1,1500,1546,540;1006;2460;2086,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
4,jammer,2,1500,1546,1020;1276;1980;1816,1,1,0,jammer,jammer,True,True
4,large_launcher,1,2880,643,1920;103;3840;1183,2,3,1,large_launcher;small_tower,large_launcher;small_tower,True,True
4,large_launcher,2,3360,643,2880;373;3840;913,1,1,0,large_launcher,large_launcher,True,True
4,spacecraft,1,1535,894,575;354;2495;1434,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
4,spacecraft,2,1535,894,1055;624;2015;1164,1,1,0,spacecraft,spacecraft,True,True
4,condor,1,2765,1620,1805;1080;3725;2160,3,4,2,condor;small_plane;helicopter,condor;small_plane;helicopter;small_tower,True,True
4,condor,2,2765,1740,2285;1470;3245;2010,1,1,0,condor,condor,True,True
4,small_plane,1,2052,1620,1092;1080;3012;2160,4,5,3,jammer;condor;small_plane;helicopter,jammer;condor;small_plane;helicopter;small_tower,True,True
4,small_plane,2,2052,1819,1572;1549;2532;2089,1,1,0,small_plane,small_plane,True,True
4,jet_plane,1,2237,540,1277;0;3197;1080,3,4,2,spacecraft;jet_plane;small_launcher,spacecraft;jet_plane;small_launcher,True,True
4,jet_plane,2,2237,270,1757;0;2717;540,2,2,1,jet_plane;small_launcher,jet_plane;small_launcher,True,True
4,small_launcher,1,1794,540,834;0;2754;1080,5,6,4,spacecraft;jet_plane;small_launcher;tank;ta-ta,spacecraft;jet_plane;small_launcher;tank;ta-ta,True,True
4,small_launcher,2,1794,458,1314;188;2274;728,1,1,0,small_launcher,small_launcher,True,True
4,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
4,tank,2,885,270,405;0;1365;540,2,2,1,tank;ta-ta,tank,True,True
4,helicopter,1,2298,1150,1338;610;3258;1690,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
4,helicopter,2,2298,1150,1818;880;2778;1420,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
4,small_tower,1,2662,1074,1702;534;3622;1614,2,3,1,helicopter;small_tower,helicopter;small_tower,True,True
4,small_tower,2,2662,1074,2182;804;3142;1344,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
4,ta-ta,1,1091,540,131;0;2051;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
4,ta-ta,2,1091,526,611;256;1571;796,1,1,0,ta-ta,ta-ta,True,True
5,jammer,1,1497,1618,537;1078;2457;2158,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
5,jammer,2,1497,1618,1017;1348;1977;1888,1,1,0,jammer,jammer,True,True
5,large_launcher,1,2880,702,1920;162;3840;1242,2,3,1,large_launcher;small_tower,large_launcher;small_tower,True,True
5,large_launcher,2,3360,702,2880;432;3840;972,1,1,0,large_launcher,large_launcher,True,True
5,spacecraft,1,1532,956,572;416;2492;1496,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
5,spacecraft,2,1532,956,1052;686;2012;1226,1,1,0,spacecraft,spacecraft,True,True
5,condor,1,2772,1620,1812;1080;3732;2160,4,4,3,condor;small_plane;helicopter;small_tower,condor;small_plane;helicopter;small_tower,True,True
5,condor,2,2772,1815,2292;1545;3252;2085,1,1,0,condor,condor,True,True
5,small_plane,1,2054,1620,1094;1080;3014;2160,5,5,4,jammer;condor;small_plane;helicopter;small_tower,jammer;condor;small_plane;helicopter;small_tower,True,True
5,small_plane,2,2054,1890,1574;1620;2534;2160,1,1,0,small_plane,small_plane,True,True
5,jet_plane,1,2238,540,1278;0;3198;1080,3,3,2,spacecraft;jet_plane;small_launcher,spacecraft;jet_plane;small_launcher,True,True
5,jet_plane,2,2238,270,1758;0;2718;540,2,2,1,jet_plane;small_launcher,jet_plane,True,True
5,small_launcher,1,1794,540,834;0;2754;1080,5,5,4,spacecraft;jet_plane;small_launcher;tank;ta-ta,spacecraft;jet_plane;small_launcher;tank;ta-ta,True,True
5,small_launcher,2,1794,515,1314;245;2274;785,1,1,0,small_launcher,small_launcher,True,True
5,tank,1,960,540,0;0;1920;1080,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
5,tank,2,878,270,398;0;1358;540,1,1,0,tank,tank,True,True
5,helicopter,1,2300,1216,1340;676;3260;1756,4,5,3,jammer;spacecraft;helicopter;small_tower,jammer;spacecraft;helicopter;small_tower,True,True
5,helicopter,2,2300,1216,1820;946;2780;1486,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
5,small_tower,1,2668,1140,1708;600;3628;1680,2,3,1,helicopter;small_tower,helicopter;small_tower,True,True
5,small_tower,2,2668,1140,2188;870;3148;1410,2,2,1,helicopter;small_tower,helicopter;small_tower,True,True
5,ta-ta,1,1086,585,126;45;2046;1125,4,4,3,spacecraft;small_launcher;tank;ta-ta,spacecraft;small_launcher;tank;ta-ta,True,True
5,ta-ta,2,1086,585,606;315;1566;855,1,1,0,ta-ta,ta-ta,True,True
6,jammer,1,1494,1620,534;1080;2454;2160,3,3,2,jammer;small_plane;helicopter,jammer;small_plane;helicopter,True,True
6,jammer,2,1494,1690,1014;1420;1974;1960,1,1,0,jammer,jammer,True,True
6,large_launcher,1,2880,764,1920;224;3840;1304,2,3,1,large_launcher;small_tower,large_launcher;small_tower,True,True
6,large_launcher,2,3360,764,2880;494;3840;1034,1,1,0,large_launcher,large_launcher,True,True
6,spacecraft,1,1530,1020,570;480;2490;1560,4,4,3,spacecraft;small_launcher;helicopter;ta-ta,spacecraft;small_launcher;helicopter;ta-ta,True,True
6,spacecraft,2,1530,1020,1050;750;2010;1290,1,1,0,spacecraft,spacecraft,True,True
