frame,level,max_full_count,total_objects,x1,y1,classes
0,1,6,11,749,0,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
0,2,3,11,848,0,small_launcher;tank;ta-ta
1,1,6,11,754,0,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
1,2,3,11,847,0,small_launcher;tank;ta-ta
2,1,6,10,759,0,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
2,2,3,10,847,0,small_launcher;tank;ta-ta
3,1,6,11,765,0,spacecraft;jet_plane;small_launcher;tank;small_tower;ta-ta
3,2,3,11,846,0,small_launcher;tank;ta-ta
4,1,6,11,770,115,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
4,2,3,11,845,0,small_launcher;tank;ta-ta
5,1,6,11,776,181,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
5,2,3,11,844,54,small_launcher;tank;ta-ta
6,1,6,12,781,249,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
6,2,3,12,843,113,small_launcher;tank;ta-ta
7,1,6,12,787,318,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
7,2,3,12,843,569,spacecraft;small_launcher;ta-ta
8,1,6,12,793,387,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
8,2,3,12,842,634,spacecraft;small_launcher;ta-ta
9,1,6,11,799,458,spacecraft;small_launcher;tank;helicopter;small_tower;ta-ta
9,2,3,11,841,701,spacecraft;small_launcher;ta-ta
10,1,5,11,367,228,spacecraft;jet_plane;small_launcher;tank;ta-ta
10,2,3,11,840,768,spacecraft;small_launcher;ta-ta
11,1,5,10,370,297,spacecraft;jet_plane;small_launcher;tank;ta-ta
11,2,3,10,839,837,spacecraft;small_launcher;ta-ta
12,1,5,10,372,366,spacecraft;jet_plane;small_launcher;tank;ta-ta
12,2,3,10,839,906,spacecraft;small_launcher;ta-ta
13,1,5,9,375,436,spacecraft;jet_plane;small_launcher;tank;ta-ta
13,2,3,9,838,976,spacecraft;small_launcher;ta-ta
14,1,5,10,377,508,spacecraft;jet_plane;small_launcher;tank;ta-ta
14,2,3,10,837,1048,spacecraft;small_launcher;ta-ta
15,1,5,10,380,581,spacecraft;jet_plane;small_launcher;tank;ta-ta
15,2,2,10,82,679,tank;ta-ta
16,1,5,10,383,654,spacecraft;jet_plane;small_launcher;tank;ta-ta
16,2,2,10,75,747,tank;ta-ta
17,1,5,10,385,729,spacecraft;jet_plane;small_launcher;tank;ta-ta
17,2,2,10,69,815,tank;ta-ta
18,1,5,10,856,1079,spacecraft;small_launcher;helicopter;small_tower;ta-ta
18,2,2,10,62,885,tank;ta-ta
19,1,4,10,0,882,spacecraft;small_launcher;tank;ta-ta
19,2,2,10,55,955,tank;ta-ta
20,1,4,10,0,960,spacecraft;small_launcher;tank;ta-ta
20,2,2,10,0,0,hangar;medium_plane
21,1,4,10,0,1040,spacecraft;small_launcher;tank;ta-ta
21,2,2,10,0,0,hangar;medium_plane
22,1,4,10,0,1079,spacecraft;small_launcher;tank;ta-ta
22,2,2,10,0,0,hangar;medium_plane
23,1,4,9,402,708,jet_plane;small_launcher;tank;ta-ta
23,2,2,9,0,0,hangar;medium_plane
24,1,4,8,405,785,jet_plane;small_launcher;tank;ta-ta
24,2,2,8,0,0,hangar;medium_plane
