class_a,class_b,co_visible_frames,fits_L1,fits_L2,median_center_distance
condor,helicopter,11,11,0,757.6915599371554
condor,jammer,11,11,0,1289.7117895095787
condor,jet_plane,8,0,0,1837.5593053182831
condor,large_launcher,11,0,0,1374.9619085632883
condor,large_tower,5,0,0,2039.0841081230562
condor,mine_roller,2,2,0,946.8912219621604
condor,small_launcher,11,0,0,1626.8017703457297
condor,small_plane,9,9,9,716.8662706530416
condor,small_tower,11,11,0,673.8414130936151
condor,spacecraft,11,11,0,1507.7740215297517
condor,ta-ta,11,0,0,2086.9825107077445
condor,tank,11,0,0,2452.7175234828815
hangar,jet_plane,6,0,0,2278.1338164254357
hangar,large_launcher,6,0,0,3956.028755731082
hangar,large_tower,6,0,0,3470.4108047240034
hangar,medium_launcher,5,0,0,3605.995181638489
hangar,medium_plane,5,5,5,402.261419974623
hangar,small_launcher,6,0,0,2163.489354926869
hangar,small_tower,1,0,0,3294.0355948289325
hangar,spacecraft,4,0,0,2369.371295001981
hangar,ta-ta,6,0,0,1762.3787599768452
hangar,tank,6,0,0,1303.6623575297808
helicopter,jammer,13,13,13,906.5037231032204
helicopter,jet_plane,16,0,0,1205.7939696816936
helicopter,large_launcher,19,19,0,1420.9048173611068
helicopter,large_tower,13,0,0,1808.794142515947
helicopter,medium_launcher,5,0,0,2389.2007554828874
helicopter,mine_roller,2,0,0,1189.3493818682236
helicopter,small_launcher,19,19,0,904.8881146307536
helicopter,small_plane,9,9,0,713.0922100261648
helicopter,small_tower,19,19,19,386.65650130315925
helicopter,spacecraft,19,19,19,837.1122983208406
helicopter,ta-ta,19,19,0,1415.6766933166625
helicopter,tank,19,10,0,1777.0752657104877
jammer,jet_plane,10,0,0,1746.269470382901
jammer,large_launcher,13,0,0,2293.0129742328104
jammer,large_tower,7,0,0,2643.0179719404105
jammer,mine_roller,2,2,0,922.1811678675133
jammer,small_launcher,13,1,0,1156.3260785781838
jammer,small_plane,9,9,9,616.4888482365274
jammer,small_tower,13,13,0,1275.4042496400896
jammer,spacecraft,13,13,0,671.465747451052
jammer,ta-ta,13,7,0,1125.4147013434647
jammer,tank,13,0,0,1512.5371069828336
jet_plane,large_launcher,22,22,0,1578.9430205162903
jet_plane,large_tower,19,19,0,1266.8910766123504
jet_plane,medium_launcher,10,10,0,1654.1933447816314
jet_plane,medium_plane,5,5,0,1927.6602397725592
jet_plane,small_launcher,22,22,14,662.5693633885729
jet_plane,small_plane,6,0,0,1822.7393881963928
jet_plane,small_tower,17,1,0,1216.7704179507325
jet_plane,spacecraft,20,15,0,1205.0055259216242
jet_plane,ta-ta,22,22,0,1338.3033005031966
jet_plane,tank,22,22,0,1452.6648072312764
large_launcher,large_tower,19,19,0,871.1534021055074
large_launcher,medium_launcher,10,0,0,1363.3106418168636
large_launcher,medium_plane,5,0,0,3607.9895024791854
large_launcher,mine_roller,2,0,0,2238.6230068065893
large_launcher,small_launcher,25,9,0,1886.9987413880276
large_launcher,small_plane,9,0,0,1918.2586504431565
large_launcher,small_tower,20,20,0,1047.38931641302
large_launcher,spacecraft,23,0,0,2153.248708347459
large_launcher,ta-ta,25,0,0,2622.84892816952
large_launcher,tank,25,0,0,2877.102101073231
large_tower,medium_launcher,10,10,6,533.3039003152483
large_tower,medium_plane,5,0,0,3091.7423081492416
large_tower,small_launcher,19,19,0,1845.4569217405212
large_tower,small_plane,3,0,0,2433.4219219033926
large_tower,small_tower,14,0,0,1524.9340732940645
large_tower,spacecraft,17,0,0,2295.0766871719125
large_tower,ta-ta,19,0,0,2592.680659086267
large_tower,tank,19,0,0,2735.155297236338
medium_launcher,medium_plane,4,0,0,3215.3884750071375
medium_launcher,small_launcher,10,0,0,2311.8831389476895
medium_launcher,small_tower,6,0,0,2110.741038878002
medium_launcher,spacecraft,9,0,0,2828.084599158943
medium_launcher,ta-ta,10,0,0,3047.6644108647106
medium_launcher,tank,10,0,0,3132.179871514727
medium_plane,small_launcher,5,0,0,1898.0298338013552
medium_plane,spacecraft,3,0,0,2205.8146454314788
medium_plane,ta-ta,5,0,0,1630.9397597704215
medium_plane,tank,5,0,0,1196.6519961960537
mine_roller,small_launcher,2,0,0,1828.9235874366698
mine_roller,small_plane,2,2,0,520.0309471610749
mine_roller,small_tower,2,0,0,1384.1937458232728
mine_roller,spacecraft,2,0,0,1473.5488761940449
mine_roller,ta-ta,2,0,0,1966.0430207368768
mine_roller,tank,2,0,0,2330.3942222833216
small_launcher,small_plane,9,0,0,1385.7295010210325
small_launcher,small_tower,20,20,0,1121.3485151368316
small_launcher,spacecraft,23,23,15,549.8465695082583
small_launcher,ta-ta,25,25,25,747.8210013098054
small_launcher,tank,25,25,7,999.8601152161236
small_plane,small_tower,9,9,0,962.8733042306241
small_plane,spacecraft,9,9,0,1060.3567795794017
small_plane,ta-ta,9,0,0,1610.9123191533424
small_plane,tank,9,0,0,1994.4285522424714
small_tower,spacecraft,20,20,0,1190.084836172654
small_tower,ta-ta,20,20,0,1737.4260322729838
small_tower,tank,20,11,0,2070.9664242646345
spacecraft,ta-ta,23,23,23,614.677964465947
spacecraft,tank,23,23,0,1014.9690881992417
ta-ta,tank,25,25,25,415.5490344111029
