frame,class_a,class_b,center_distance,union_width,union_height,fits_L1,fits_L2
0,condor,helicopter,717.2506535375203,590,681,True,False
0,condor,jammer,1241.3405052603416,1327,284,True,False
0,condor,large_launcher,1301.5077794619592,937,1172,False,False
0,condor,mine_roller,942.1200825797102,844,701,True,False
0,condor,small_launcher,1536.6066510333735,1035,1310,False,False
0,condor,small_plane,695.6638915453352,795,181,True,True
0,condor,small_tower,636.5117830802506,207,740,True,False
0,condor,spacecraft,1437.091246233168,1298,904,True,False
0,condor,ta-ta,1991.359460268286,1725,1238,False,False
0,condor,tank,2330.007135182208,1935,1531,False,False
0,helicopter,jammer,861.4088750413476,846,440,True,True
0,helicopter,large_launcher,1327.5891683800376,1361,578,True,False
0,helicopter,mine_roller,1180.6719485106776,363,1220,False,False
0,helicopter,small_launcher,819.7051299095303,554,716,True,False
0,helicopter,small_plane,676.1488371653094,314,700,True,False
0,helicopter,small_tower,362.32754518529225,436,146,True,True
0,helicopter,spacecraft,780.6217073589486,817,310,True,True
0,helicopter,ta-ta,1315.2589098728813,1244,644,True,False
0,helicopter,tank,1637.5351141273277,1454,937,True,False
0,jammer,large_launcher,2187.374053517139,2098,931,False,False
0,jammer,mine_roller,915.8354109773219,536,823,True,False
0,jammer,small_launcher,1071.3786678854494,312,1069,True,False
0,jammer,small_plane,595.0953705079548,573,303,True,True
0,jammer,small_tower,1215.8480579414518,1173,499,True,False
0,jammer,spacecraft,618.4080368171165,70,663,True,False
0,jammer,ta-ta,1045.349821829994,430,997,True,False
0,jammer,tank,1397.8000572327933,640,1290,False,False
0,large_launcher,mine_roller,2226.965031157876,1615,1711,False,False
0,large_launcher,small_launcher,1735.3969286592621,1806,243,True,False
0,large_launcher,small_plane,1849.5097323344908,1566,1191,False,False
0,large_launcher,small_tower,972.4269895472873,978,492,True,False
0,large_launcher,spacecraft,1993.4395526325848,2069,316,False,False
0,large_launcher,ta-ta,2414.4616377155385,2496,171,False,False
0,large_launcher,tank,2644.6941694645907,2706,464,False,False
0,mine_roller,small_launcher,1815.8943388864893,244,1849,False,False
0,mine_roller,small_plane,515.7955021129983,90,568,True,False
0,mine_roller,small_tower,1375.4017594870236,690,1279,False,False
0,mine_roller,spacecraft,1463.188641289974,507,1443,False,False
0,mine_roller,ta-ta,1953.5493978909262,934,1777,False,False
0,mine_roller,tank,2309.340273757854,1144,2070,False,False
0,small_launcher,small_plane,1314.096743013999,281,1329,False,False
0,small_launcher,small_tower,1027.3291828815143,881,630,True,False
