class,metric,count,min,p10,median,mean,p90,max
ALL,x1,259,102.0,823.6,2032.0,2076.6949806949806,3568.6000000000004,3830.0
ALL,y1,259,0.0,158.4,1025.0,1028.6833976833977,1882.4,2151.0
ALL,x2,259,291.0,872.6,2075.0,2146.7258687258686,3691.4,3839.0
ALL,y2,259,6.0,230.4,1081.0,1090.2972972972973,1957.2,2159.0
ALL,width,259,9.0,23.8,53.0,70.03088803088804,151.20000000000002,189.0
ALL,height,259,6.0,19.0,50.0,61.61389961389961,110.0,175.0
ALL,area,259,392.0,586.4,2650.0,5708.258687258687,16121.800000000003,31150.0
ALL,width_fraction,259,0.00234375,0.0061979166666666675,0.013802083333333333,0.018237210424710427,0.039375,0.04921875
ALL,height_fraction,259,0.002777777777777778,0.008796296296296297,0.023148148148148147,0.028524953524953524,0.05092592592592592,0.08101851851851852
ALL,area_fraction,259,4.72608024691358e-05,7.06983024691358e-05,0.00031949266975308643,0.0006882063425032174,0.001943696952160494,0.0037555459104938274
ALL,aspect_ratio,259,0.1956521739130435,0.7655072463768117,1.0246913580246915,1.2978525876583715,1.7333333333333343,30.333333333333332
ALL,cx,259,196.5,848.1,2053.5,2111.710424710425,3625.7,3834.5
ALL,cy,259,3.0,201.7,1066.0,1059.4903474903474,1918.3000000000002,2155.0
ALL,edge_left,259,102.0,823.6,2032.0,2076.6949806949806,3568.6000000000004,3830.0
ALL,edge_top,259,0.0,158.4,1025.0,1028.6833976833977,1882.4,2151.0
ALL,edge_right,259,1.0,148.60000000000002,1765.0,1693.2741312741314,2967.4,3549.0
ALL,edge_bottom,259,1.0,202.8,1079.0,1069.7027027027027,1929.6000000000001,2154.0
ALL,min_edge,259,0.0,8.800000000000004,391.0,436.6023166023166,916.6,1051.0
ALL,boundary_touch,259,0.0,0.0,0.0,0.0888030888030888,0.0,1.0
ALL,L0_width,259,2.25,5.95,13.25,17.50772200772201,37.800000000000004,47.25
ALL,L0_height,259,1.5,4.75,12.5,15.403474903474903,27.5,43.75
ALL,L0_short,259,1.5,4.75,12.25,14.636100386100386,27.5,43.75
ALL,L1_width,259,4.5,11.9,26.5,35.01544401544402,75.60000000000001,94.5
ALL,L1_height,259,3.0,9.5,25.0,30.806949806949806,55.0,87.5
ALL,L1_short,259,3.0,9.5,24.5,29.272200772200772,55.0,87.5
ALL,L2_width,259,9.0,23.8,53.0,70.03088803088804,151.20000000000002,189.0
ALL,L2_height,259,6.0,19.0,50.0,61.61389961389961,110.0,175.0
ALL,L2_short,259,6.0,19.0,49.0,58.544401544401545,110.0,175.0
condor,x1,11,2657.0,2662.0,2685.0,2685.3636363636365,2709.0,2715.0
condor,y1,11,1369.0,1439.0,1730.0,1735.8181818181818,2039.0,2120.0
condor,x2,11,2823.0,2830.0,2858.0,2858.818181818182,2888.0,2896.0
condor,y2,11,1531.0,1603.0,1900.0,1888.090909090909,2159.0,2159.0
condor,width,11,166.0,168.0,173.0,173.45454545454547,179.0,181.0
condor,height,11,39.0,120.0,166.0,152.27272727272728,174.0,175.0
condor,area,11,7059.0,21480.0,28386.0,26311.636363636364,30624.0,31150.0
condor,width_fraction,11,0.043229166666666666,0.04375,0.04505208333333333,0.04517045454545455,0.046614583333333334,0.047135416666666666
