frame,image,annotation,annotations,pose_x,pose_y,pose_z,width,height
0,frame_000000.png,frame_000000.json,11,0.0,0.0,-600,3840,2160
1,frame_000001.png,frame_000001.json,11,2.4117792819819006,13.677885639657399,-600,3840,2160
2,frame_000002.png,frame_000002.json,10,4.823558563963801,27.355771279314798,-600,3840,2160
3,frame_000003.png,frame_000003.json,11,7.235337845945701,41.0336569189722,-600,3840,2160
4,frame_000004.png,frame_000004.json,11,9.647117127927602,54.711542558629596,-600,3840,2160
5,frame_000005.png,frame_000005.json,11,12.058896409909503,68.38942819828699,-600,3840,2160
6,frame_000006.png,frame_000006.json,12,14.470675691891403,82.0673138379444,-600,3840,2160
7,frame_000007.png,frame_000007.json,12,16.882454973873305,95.74519947760179,-600,3840,2160
8,frame_000008.png,frame_000008.json,12,19.294234255855205,109.42308511725919,-600,3840,2160
9,frame_000009.png,frame_000009.json,11,21.7060135378371,123.10097075691658,-600,3840,2160
10,frame_000010.png,frame_000010.json,11,24.117792819819005,136.77885639657399,-600,3840,2160
11,frame_000011.png,frame_000011.json,10,26.529572101800902,150.45674203623136,-600,3840,2160
12,frame_000012.png,frame_000012.json,10,28.941351383782806,164.1346276758888,-600,3840,2160
13,frame_000013.png,frame_000013.json,9,31.353130665764702,177.81251331554617,-600,3840,2160
14,frame_000014.png,frame_000014.json,10,33.76490994774661,191.49039895520357,-600,3840,2160
15,frame_000015.png,frame_000015.json,10,36.1766892297285,205.16828459486095,-600,3840,2160
16,frame_000016.png,frame_000016.json,10,38.58846851171041,218.84617023451838,-600,3840,2160
17,frame_000017.png,frame_000017.json,10,41.00024779369231,232.5240558741758,-600,3840,2160
18,frame_000018.png,frame_000018.json,10,43.4120270756742,246.20194151383316,-600,3840,2160
19,frame_000019.png,frame_000019.json,10,45.8238063576561,259.87982715349057,-600,3840,2160
20,frame_000020.png,frame_000020.json,10,48.23558563963801,273.55771279314797,-600,3840,2160
21,frame_000021.png,frame_000021.json,10,50.64736492161991,287.2355984328054,-600,3840,2160
22,frame_000022.png,frame_000022.json,10,53.059144203601804,300.9134840724627,-600,3840,2160
23,frame_000023.png,frame_000023.json,9,55.470923485583704,314.5913697121201,-600,3840,2160
24,frame_000024.png,frame_000024.json,8,57.88270276756561,328.2692553517776,-600,3840,2160
