class,page,path,frames
condor,1,galleries/condor_1.png,0;1;2;3;4
condor,2,galleries/condor_2.png,5;6;7;8;9
condor,3,galleries/condor_3.png,10
hangar,1,galleries/hangar_1.png,19;20;21;22;23
hangar,2,galleries/hangar_2.png,24
helicopter,1,galleries/helicopter_1.png,0;1;2;3;4
helicopter,2,galleries/helicopter_2.png,5;6;7;8;9
helicopter,3,galleries/helicopter_3.png,10;11;12;13;14
helicopter,4,galleries/helicopter_4.png,15;16;17;18
jammer,1,galleries/jammer_1.png,0;1;2;3;4
jammer,2,galleries/jammer_2.png,5;6;7;8;9
jammer,3,galleries/jammer_3.png,10;11;12
jet_plane,1,galleries/jet_plane_1.png,3;4;5;6;7
jet_plane,2,galleries/jet_plane_2.png,8;9;10;11;12
jet_plane,3,galleries/jet_plane_3.png,13;14;15;16;17
jet_plane,4,galleries/jet_plane_4.png,18;19;20;21;22
jet_plane,5,galleries/jet_plane_5.png,23;24
large_launcher,1,galleries/large_launcher_1.png,0;1;2;3;4
large_launcher,2,galleries/large_launcher_2.png,5;6;7;8;9
large_launcher,3,galleries/large_launcher_3.png,10;11;12;13;14
large_launcher,4,galleries/large_launcher_4.png,15;16;17;18;19
large_launcher,5,galleries/large_launcher_5.png,20;21;22;23;24
large_tower,1,galleries/large_tower_1.png,6;7;8;9;10
large_tower,2,galleries/large_tower_2.png,11;12;13;14;15
large_tower,3,galleries/large_tower_3.png,16;17;18;19;20
large_tower,4,galleries/large_tower_4.png,21;22;23;24
medium_launcher,1,galleries/medium_launcher_1.png,14;15;16;17;18
medium_launcher,2,galleries/medium_launcher_2.png,19;20;21;22;23
medium_plane,1,galleries/medium_plane_1.png,20;21;22;23;24
mine_roller,1,galleries/mine_roller_1.png,0;1
small_launcher,1,galleries/small_launcher_1.png,0;1;2;3;4
small_launcher,2,galleries/small_launcher_2.png,5;6;7;8;9
small_launcher,3,galleries/small_launcher_3.png,10;11;12;13;14
small_launcher,4,galleries/small_launcher_4.png,15;16;17;18;19
small_launcher,5,galleries/small_launcher_5.png,20;21;22;23;24
small_plane,1,galleries/small_plane_1.png,0;1;2;3;4
small_plane,2,galleries/small_plane_2.png,5;6;7;8
small_tower,1,galleries/small_tower_1.png,0;1;2;3;4
small_tower,2,galleries/small_tower_2.png,5;6;7;8;9
small_tower,3,galleries/small_tower_3.png,10;11;12;13;14
small_tower,4,galleries/small_tower_4.png,15;16;17;18;19
spacecraft,1,galleries/spacecraft_1.png,0;1;2;3;4
spacecraft,2,galleries/spacecraft_2.png,5;6;7;8;9
spacecraft,3,galleries/spacecraft_3.png,10;11;12;13;14
spacecraft,4,galleries/spacecraft_4.png,15;16;17;18;19
spacecraft,5,galleries/spacecraft_5.png,20;21;22
ta-ta,1,galleries/ta-ta_1.png,0;1;2;3;4
ta-ta,2,galleries/ta-ta_2.png,5;6;7;8;9
ta-ta,3,galleries/ta-ta_3.png,10;11;12;13;14
ta-ta,4,galleries/ta-ta_4.png,15;16;17;18;19
ta-ta,5,galleries/ta-ta_5.png,20;21;22;23;24
tank,1,galleries/tank_1.png,0;1;2;3;4
tank,2,galleries/tank_2.png,5;6;7;8;9
tank,3,galleries/tank_3.png,10;11;12;13;14
tank,4,galleries/tank_4.png,15;16;17;18;19
tank,5,galleries/tank_5.png,20;21;22;23;24
