class,frame,next_frame,dx,dy,displacement,dx_normalized,dy_normalized,normalized_displacement,width_change,height_change,area_change,area_ratio,scale_ratio,velocity_px_frame,velocity_px_second,boundary_pair
condor,0,1,6.0,71.0,71.25307010929424,0.0015625,0.03287037037037037,0.03290748629924994,2,2,660,1.0245426149040606,1.0121969249627567,71.25307010929424,213.75921032788273,0
condor,1,2,6.5,72.0,72.29280738773394,0.0016927083333333334,0.03333333333333333,0.03337628458371074,1,2,502,1.0182200929152148,1.0090689237684485,72.29280738773394,216.87842216320183,0
condor,2,3,6.0,73.0,73.24616030891995,0.0015625,0.033796296296296297,0.03383239645069575,2,0,332,1.0118343195266273,1.005899756201694,73.24616030891995,219.73848092675985,0
condor,3,4,6.5,74.0,74.28492444635049,0.0016927083333333334,0.03425925925925926,0.03430105109898059,1,2,510,1.0179666032551258,1.00894331022864,74.28492444635049,222.85477333905146,0
condor,4,5,6.5,75.0,75.28113973632439,0.0016927083333333334,0.034722222222222224,0.03476345750283074,1,2,514,1.0177879291251384,1.0088547611649252,75.28113973632439,225.84341920897316,0
condor,5,6,7.0,76.5,76.81959385469308,0.0018229166666666667,0.035416666666666666,0.035463548933396226,2,1,515,1.0175110506630398,1.0087175276870328,76.81959385469308,230.45878156407923,0
condor,6,7,6.5,77.5,77.77210296758086,0.0016927083333333334,0.03587962962962963,0.035919536242289274,1,3,699,1.023358395989975,1.0116117812629384,77.77210296758086,233.3163089027426,0
condor,7,8,7.0,78.5,78.81148393476677,0.0018229166666666667,0.03634259259259259,0.036388281925982396,2,1,526,1.0171760710553814,1.0085514716936272,78.81148393476677,236.4344518043003,0
condor,8,9,6.5,51.5,51.90857347298228,0.0016927083333333334,0.023842592592592592,0.02390260410578913,1,-55,-9670,0.6895666131621188,0.8304014770953377,51.90857347298228,155.72572041894685,1
condor,9,10,7.0,40.5,41.100486615124154,0.0018229166666666667,0.01875,0.018838405590007108,2,-81,-14421,0.32863128491620114,0.5732637132386814,41.100486615124154,123.30145984537246,1
hangar,19,20,-11.0,26.0,28.231188426986208,-0.002864583333333333,0.012037037037037037,0.012373200810809323,2,52,9580,9.772893772893774,3.1261627873311033,28.231188426986208,84.69356528095862,1
hangar,20,21,-11.0,26.0,28.231188426986208,-0.002864583333333333,0.012037037037037037,0.012373200810809323,0,52,9568,1.896551724137931,1.3771534860493695,28.231188426986208,84.69356528095862,1
hangar,21,22,-11.0,45.0,46.32493928760188,-0.002864583333333333,0.020833333333333332,0.021029351284606684,2,18,3568,1.1762845849802372,1.0845665424399913,46.32493928760188,138.97481786280565,1
hangar,22,23,-11.0,53.5,54.61913584083879,-0.002864583333333333,0.02476851851851852,0.024933618816285093,2,1,444,1.018649193548387,1.0092815234355512,54.61913584083879,163.85740752251635,0
