class,metric,count,min,p10,median,mean,p90,max
ALL,dx,243,-11.5,-7.0,1.0,1.2304526748971194,11.5,14.0
ALL,dy,243,26.0,54.1,65.0,64.39094650205762,76.0,80.0
ALL,displacement,243,28.071337695236398,54.934951232850636,65.11528238439882,64.77938162754968,76.08054941967757,80.26362812631884
ALL,dx_normalized,243,-0.002994791666666667,-0.0018229166666666667,0.00026041666666666666,0.0003204303840877914,0.002994791666666667,0.0036458333333333334
ALL,dy_normalized,243,0.012037037037037037,0.0250462962962963,0.03009259259259259,0.02981062338058223,0.03518518518518519,0.037037037037037035
ALL,normalized_displacement,243,0.012373200810809323,0.02520301566721924,0.03010273211032943,0.02986787046433656,0.0351969886895055,0.03707569788938017
ALL,width_change,243,-15.0,0.0,0.0,0.10699588477366255,1.0,2.0
ALL,height_change,243,-81.0,-1.0,0.0,0.18106995884773663,1.0,52.0
ALL,area_change,243,-14421.0,-32.0,30.0,10.497942386831276,316.0000000000001,9580.0
ALL,area_ratio,243,0.16333333333333333,0.9693240093240093,1.0113636363636365,1.0608616965081623,1.0344827586206897,9.772893772893774
ALL,scale_ratio,243,0.40414518843273806,0.9845425335436048,1.0056657677198904,1.0144143145122482,1.0170952554312156,3.1261627873311033
ALL,velocity_px_frame,243,28.071337695236398,54.934951232850636,65.11528238439882,64.77938162754968,76.08054941967757,80.26362812631884
ALL,velocity_px_second,243,84.2140130857092,164.8048536985519,195.34584715319647,194.33814488264903,228.2416482590327,240.7908843789565
ALL,boundary_pair,243,0.0,0.0,0.0,0.09465020576131687,0.0,1.0
condor,dx,10,6.0,6.0,6.5,6.55,7.0,7.0
condor,dy,10,40.5,50.4,73.5,68.95,77.6,78.5
condor,displacement,10,41.100486615124154,50.82776478719647,73.76554237763523,69.27703428337702,77.87604106429946,78.81148393476677
condor,dx_normalized,10,0.0015625,0.0015625,0.0016927083333333334,0.0017057291666666668,0.0018229166666666667,0.0018229166666666667
condor,dy_normalized,10,0.01875,0.023333333333333334,0.03402777777777778,0.031921296296296295,0.035925925925925924,0.03634259259259259
condor,normalized_displacement,10,0.018838405590007108,0.023396184254210927,0.03406672377483817,0.03196930527329318,0.035966410810658586,0.036388281925982396
condor,width_change,10,1.0,1.0,1.5,1.5,2.0,2.0
condor,height_change,10,-81.0,-57.6,1.5,-12.3,2.0999999999999996,3.0
condor,area_change,10,-14421.0,-10145.1,512.0,-1983.3,663.9,699.0
condor,area_ratio,10,0.32863128491620114,0.653473080337527,1.017649489894089,0.9166594975512883,1.0234768178813836,1.0245426149040606
condor,scale_ratio,10,0.5732637132386814,0.8046877007096721,1.008786144425979,0.947750964730408,1.0116702956329202,1.0121969249627567
condor,velocity_px_frame,10,41.100486615124154,50.82776478719647,73.76554237763523,69.27703428337702,77.87604106429946,78.81148393476677
condor,velocity_px_second,10,123.30145984537246,152.4832943615894,221.29662713290566,207.83110285013103,233.62812319289839,236.4344518043003
condor,boundary_pair,10,0.0,0.0,0.0,0.2,1.0,1.0
hangar,dx,5,-11.5,-11.3,-11.0,-11.1,-11.0,-11.0
hangar,dy,5,26.0,26.0,45.0,41.0,54.1,54.5
hangar,displacement,5,28.231188426986208,28.231188426986208,46.32493928760188,42.621308349789516,55.26770819625621,55.70008976653449
hangar,dx_normalized,5,-0.002994791666666667,-0.002942708333333333,-0.002864583333333333,-0.002890625,-0.002864583333333333,-0.002864583333333333
hangar,dy_normalized,5,0.012037037037037037,0.012037037037037037,0.020833333333333332,0.01898148148148148,0.0250462962962963,0.025231481481481483
hangar,normalized_displacement,5,0.012373200810809323,0.012373200810809323,0.021029351284606684,0.019223592301559834,0.02521860139768728,0.025408589785288736
hangar,width_change,5,0.0,0.4,2.0,1.4,2.0,2.0
hangar,height_change,5,1.0,1.0,18.0,24.8,52.0,52.0
hangar,area_change,5,318.0,368.4,3568.0,4695.6,9575.2,9580.0
hangar,area_ratio,5,1.0131123206333499,1.0153270697993648,1.1762845849802372,2.975498319238736,6.622356953391437,9.772893772893774
hangar,scale_ratio,5,1.0065348084558974,1.007633494447759,1.0845665424399913,1.5207398295423826,2.42655906681841,3.1261627873311033
hangar,velocity_px_frame,5,28.231188426986208,28.231188426986208,46.32493928760188,42.621308349789516,55.26770819625621,55.70008976653449
hangar,velocity_px_second,5,84.69356528095862,84.69356528095862,138.97481786280565,127.86392504936855,165.8031245887686,167.10026929960347
hangar,boundary_pair,5,0.0,0.0,1.0,0.6,1.0,1.0
helicopter,dx,18,2.5,2.5,3.0,2.9444444444444446,3.5,3.5
helicopter,dy,18,48.0,63.2,69.75,69.25,77.1,79.0
helicopter,displacement,18,48.12743500333256,63.26457265448581,69.8045379596486,69.3142981992262,77.15198316254681,79.07749363757048
helicopter,dx_normalized,18,0.0006510416666666666,0.0006510416666666666,0.00078125,0.0007667824074074074,0.0009114583333333333,0.0009114583333333333
helicopter,dy_normalized,18,0.022222222222222223,0.02925925925925926,0.03229166666666666,0.03206018518518519,0.035694444444444445,0.03657407407407407
helicopter,normalized_displacement,18,0.022240906384120903,0.029268721512106608,0.03229965781415068,0.03206960734198236,0.035702061092841034,0.03658542948592048
helicopter,width_change,18,0.0,0.0,1.0,0.8888888888888888,2.0,2.0
helicopter,height_change,18,-64.0,0.0,1.0,-2.7222222222222223,1.3000000000000007,2.0
helicopter,area_change,18,-7898.0,93.1,157.0,-262.94444444444446,317.6,414.0
helicopter,area_ratio,18,0.37555344718532574,1.008525980911983,1.0141563944530048,0.9814781540128542,1.028237897699915,1.0398230088495575
helicopter,scale_ratio,18,0.6128241568225961,1.0042539341515602,1.007052367949556,0.9865324363871696,1.014020636091677,1.0197171219752845
