class,level,bucket,count,boundary_touch,class_frames
ALL,0,<4,10,4,tank:0;hangar:19;ta-ta:19;ta-ta:20;ta-ta:21;spacecraft:22;ta-ta:22;medium_launcher:23;ta-ta:23;ta-ta:24
ALL,0,4-<8,50,6,small_launcher:0;ta-ta:0;small_launcher:1;ta-ta:1;small_launcher:2;ta-ta:2;jet_plane:3;small_launcher:3;ta-ta:3;small_launcher:4;ta-ta:4;small_launcher:5;ta-ta:5;large_tower:6;small_launcher:6;ta-ta:6;small_launcher:7;ta-ta:7;small_launcher:8;ta-ta:8;small_launcher:9;ta-ta:9;small_launcher:10;ta-ta:10;small_launcher:11;ta-ta:11;jammer:12;small_launcher:12;ta-ta:12;small_launcher:13;ta-ta:13;medium_launcher:14;small_launcher:14;ta-ta:14;small_launcher:15;ta-ta:15;small_launcher:16;ta-ta:16;small_launcher:17;ta-ta:17;small_launcher:18;ta-ta:18;small_launcher:19;small_tower:19;small_launcher:20;small_launcher:21;medium_launcher:22;small_launcher:22;small_launcher:23;small_launcher:24
ALL,0,8-<16,121,6,jammer:0;mine_roller:0;spacecraft:0;small_plane:0;small_tower:0;jammer:1;mine_roller:1;spacecraft:1;small_plane:1;tank:1;small_tower:1;jammer:2;spacecraft:2;small_plane:2;tank:2;small_tower:2;jammer:3;spacecraft:3;small_plane:3;tank:3;small_tower:3;jammer:4;spacecraft:4;small_plane:4;tank:4;small_tower:4;jammer:5;spacecraft:5;small_plane:5;tank:5;small_tower:5;jammer:6;spacecraft:6;small_plane:6;tank:6;small_tower:6;jammer:7;spacecraft:7;small_plane:7;large_tower:7;tank:7;small_tower:7;jammer:8;spacecraft:8;small_plane:8;large_tower:8;tank:8;small_tower:8;jammer:9;spacecraft:9;large_tower:9;tank:9;small_tower:9;jammer:10;spacecraft:10;condor:10;large_tower:10;tank:10;small_tower:10;jammer:11;spacecraft:11;large_tower:11;tank:11;small_tower:11;spacecraft:12;large_tower:12;tank:12;small_tower:12;spacecraft:13;large_tower:13;tank:13;small_tower:13;spacecraft:14;large_tower:14;tank:14;small_tower:14;spacecraft:15;large_tower:15;medium_launcher:15;tank:15;small_tower:15;spacecraft:16;large_tower:16;medium_launcher:16;tank:16;small_tower:16;spacecraft:17;large_tower:17;medium_launcher:17;tank:17;small_tower:17;spacecraft:18;large_tower:18;medium_launcher:18;tank:18;helicopter:18;small_tower:18;spacecraft:19;large_tower:19;medium_launcher:19;tank:19;spacecraft:20;large_tower:20;medium_launcher:20;tank:20;hangar:20;medium_plane:20;spacecraft:21;large_tower:21;medium_launcher:21;tank:21;medium_plane:21;large_tower:22;tank:22;medium_plane:22;large_tower:23;tank:23;medium_plane:23;large_tower:24;tank:24;medium_plane:24
ALL,0,16-32,67,7,large_launcher:0;helicopter:0;large_launcher:1;helicopter:1;large_launcher:2;helicopter:2;large_launcher:3;helicopter:3;large_launcher:4;jet_plane:4;helicopter:4;large_launcher:5;jet_plane:5;helicopter:5;large_launcher:6;jet_plane:6;helicopter:6;large_launcher:7;jet_plane:7;helicopter:7;large_launcher:8;jet_plane:8;helicopter:8;large_launcher:9;condor:9;jet_plane:9;helicopter:9;large_launcher:10;jet_plane:10;helicopter:10;large_launcher:11;jet_plane:11;helicopter:11;large_launcher:12;jet_plane:12;helicopter:12;large_launcher:13;jet_plane:13;helicopter:13;large_launcher:14;jet_plane:14;helicopter:14;large_launcher:15;jet_plane:15;helicopter:15;large_launcher:16;jet_plane:16;helicopter:16;large_launcher:17;jet_plane:17;helicopter:17;large_launcher:18;jet_plane:18;large_launcher:19;jet_plane:19;large_launcher:20;jet_plane:20;large_launcher:21;jet_plane:21;hangar:21;large_launcher:22;jet_plane:22;hangar:22;large_launcher:23;jet_plane:23;large_launcher:24;jet_plane:24
ALL,0,>32,11,0,condor:0;condor:1;condor:2;condor:3;condor:4;condor:5;condor:6;condor:7;condor:8;hangar:23;hangar:24
ALL,1,<4,1,1,hangar:19
ALL,1,4-<8,9,3,tank:0;ta-ta:19;ta-ta:20;ta-ta:21;spacecraft:22;ta-ta:22;medium_launcher:23;ta-ta:23;ta-ta:24
ALL,1,8-<16,50,6,small_launcher:0;ta-ta:0;small_launcher:1;ta-ta:1;small_launcher:2;ta-ta:2;jet_plane:3;small_launcher:3;ta-ta:3;small_launcher:4;ta-ta:4;small_launcher:5;ta-ta:5;large_tower:6;small_launcher:6;ta-ta:6;small_launcher:7;ta-ta:7;small_launcher:8;ta-ta:8;small_launcher:9;ta-ta:9;small_launcher:10;ta-ta:10;small_launcher:11;ta-ta:11;jammer:12;small_launcher:12;ta-ta:12;small_launcher:13;ta-ta:13;medium_launcher:14;small_launcher:14;ta-ta:14;small_launcher:15;ta-ta:15;small_launcher:16;ta-ta:16;small_launcher:17;ta-ta:17;small_launcher:18;ta-ta:18;small_launcher:19;small_tower:19;small_launcher:20;small_launcher:21;medium_launcher:22;small_launcher:22;small_launcher:23;small_launcher:24
ALL,1,16-32,121,6,jammer:0;mine_roller:0;spacecraft:0;small_plane:0;small_tower:0;jammer:1;mine_roller:1;spacecraft:1;small_plane:1;tank:1;small_tower:1;jammer:2;spacecraft:2;small_plane:2;tank:2;small_tower:2;jammer:3;spacecraft:3;small_plane:3;tank:3;small_tower:3;jammer:4;spacecraft:4;small_plane:4;tank:4;small_tower:4;jammer:5;spacecraft:5;small_plane:5;tank:5;small_tower:5;jammer:6;spacecraft:6;small_plane:6;tank:6;small_tower:6;jammer:7;spacecraft:7;small_plane:7;large_tower:7;tank:7;small_tower:7;jammer:8;spacecraft:8;small_plane:8;large_tower:8;tank:8;small_tower:8;jammer:9;spacecraft:9;large_tower:9;tank:9;small_tower:9;jammer:10;spacecraft:10;condor:10;large_tower:10;tank:10;small_tower:10;jammer:11;spacecraft:11;large_tower:11;tank:11;small_tower:11;spacecraft:12;large_tower:12;tank:12;small_tower:12;spacecraft:13;large_tower:13;tank:13;small_tower:13;spacecraft:14;large_tower:14;tank:14;small_tower:14;spacecraft:15;large_tower:15;medium_launcher:15;tank:15;small_tower:15;spacecraft:16;large_tower:16;medium_launcher:16;tank:16;small_tower:16;spacecraft:17;large_tower:17;medium_launcher:17;tank:17;small_tower:17;spacecraft:18;large_tower:18;medium_launcher:18;tank:18;helicopter:18;small_tower:18;spacecraft:19;large_tower:19;medium_launcher:19;tank:19;spacecraft:20;large_tower:20;medium_launcher:20;tank:20;hangar:20;medium_plane:20;spacecraft:21;large_tower:21;medium_launcher:21;tank:21;medium_plane:21;large_tower:22;tank:22;medium_plane:22;large_tower:23;tank:23;medium_plane:23;large_tower:24;tank:24;medium_plane:24
ALL,1,>32,78,7,large_launcher:0;condor:0;helicopter:0;large_launcher:1;condor:1;helicopter:1;large_launcher:2;condor:2;helicopter:2;large_launcher:3;condor:3;helicopter:3;large_launcher:4;condor:4;jet_plane:4;helicopter:4;large_launcher:5;condor:5;jet_plane:5;helicopter:5;large_launcher:6;condor:6;jet_plane:6;helicopter:6;large_launcher:7;condor:7;jet_plane:7;helicopter:7;large_launcher:8;condor:8;jet_plane:8;helicopter:8;large_launcher:9;condor:9;jet_plane:9;helicopter:9;large_launcher:10;jet_plane:10;helicopter:10;large_launcher:11;jet_plane:11;helicopter:11;large_launcher:12;jet_plane:12;helicopter:12;large_launcher:13;jet_plane:13;helicopter:13;large_launcher:14;jet_plane:14;helicopter:14;large_launcher:15;jet_plane:15;helicopter:15;large_launcher:16;jet_plane:16;helicopter:16;large_launcher:17;jet_plane:17;helicopter:17;large_launcher:18;jet_plane:18;large_launcher:19;jet_plane:19;large_launcher:20;jet_plane:20;large_launcher:21;jet_plane:21;hangar:21;large_launcher:22;jet_plane:22;hangar:22;large_launcher:23;jet_plane:23;hangar:23;large_launcher:24;jet_plane:24;hangar:24
