class,origin_frame,target_frame,horizon,method,common_cohort,iou,valid_at_050,prediction_legal,origin_boundary,target_boundary
condor,0,1,1,hold,False,0.37373839321760194,False,True,0,0
condor,0,2,2,hold,False,0.0629703429997485,False,True,0,0
condor,0,3,3,hold,False,0.0,False,True,0,0
condor,0,4,4,hold,False,0.0,False,True,0,0
condor,0,5,5,hold,False,0.0,False,True,0,0
condor,0,6,6,hold,False,0.0,False,True,0,0
condor,0,7,7,hold,False,0.0,False,True,0,0
condor,0,8,8,hold,False,0.0,False,True,0,0
condor,0,9,9,hold,False,0.0,False,True,0,1
condor,0,10,10,hold,False,0.0,False,True,0,1
condor,1,2,1,hold,True,0.3716329551060681,False,True,0,0
condor,1,3,2,hold,True,0.059471949695064204,False,True,0,0
condor,1,4,3,hold,True,0.0,False,True,0,0
condor,1,5,4,hold,True,0.0,False,True,0,0
condor,1,6,5,hold,True,0.0,False,True,0,0
condor,1,7,6,hold,True,0.0,False,True,0,0
condor,1,8,7,hold,True,0.0,False,True,0,0
condor,1,9,8,hold,True,0.0,False,True,0,1
condor,1,10,9,hold,True,0.0,False,True,0,1
condor,1,2,1,velocity,True,0.9822466448272218,True,True,0,0
condor,1,3,2,velocity,True,0.9591627334290991,True,True,0,0
condor,1,4,3,velocity,True,0.9210249671484888,True,True,0,0
condor,1,5,4,velocity,True,0.8750824719595337,True,True,0,0
condor,1,6,5,velocity,True,0.813544179397838,True,True,0,0
condor,1,7,6,velocity,True,0.753609727265051,True,True,0,0
condor,1,8,7,velocity,True,0.6867335562987736,True,True,0,0
condor,1,9,8,velocity,True,0.7112242164478971,True,True,0,1
condor,1,10,9,velocity,True,0.4073226544622426,False,True,0,1
condor,2,3,1,hold,True,0.3703020297173934,False,True,0,0
condor,2,4,2,hold,True,0.05874697899237777,False,True,0,0
condor,2,5,3,hold,True,0.0,False,True,0,0
condor,2,6,4,hold,True,0.0,False,True,0,0
condor,2,7,5,hold,True,0.0,False,True,0,0
condor,2,8,6,hold,True,0.0,False,True,0,0
condor,2,9,7,hold,True,0.0,False,True,0,1
condor,2,10,8,hold,True,0.0,False,True,0,1
condor,2,3,1,velocity,True,0.9823852955510687,True,True,0,0
condor,2,4,2,velocity,True,0.9596348884381338,True,True,0,0
condor,2,5,3,velocity,True,0.9270268504605736,True,True,0,0
condor,2,6,4,velocity,True,0.8757851317146339,True,True,0,0
condor,2,7,5,velocity,True,0.8238341968911918,True,True,0,0
condor,2,8,6,velocity,True,0.7623762376237624,True,True,0,0
condor,2,9,7,velocity,True,0.7739665787159191,True,True,0,1
condor,2,10,8,velocity,True,0.4705521472392638,False,True,0,1
condor,3,4,1,hold,True,0.3659060018599328,False,True,0,0
condor,3,5,2,hold,True,0.05515289821999087,False,True,0,0
condor,3,6,3,hold,True,0.0,False,True,0,0
condor,3,7,4,hold,True,0.0,False,True,0,0
condor,3,8,5,hold,True,0.0,False,True,0,0
condor,3,9,6,hold,True,0.0,False,True,0,1
condor,3,10,7,hold,True,0.0,False,True,0,1
condor,3,4,1,velocity,True,0.9824513109902966,True,True,0,0
condor,3,5,2,velocity,True,0.954203576800936,True,True,0,0
condor,3,6,3,velocity,True,0.9058131688036248,True,True,0,0
condor,3,7,4,velocity,True,0.8558115215452281,True,True,0,0
condor,3,8,5,velocity,True,0.7950252258594391,True,True,0,0
condor,3,9,6,velocity,True,0.8271994391868209,True,True,0,1
condor,3,10,7,velocity,True,0.5631540520807983,True,True,0,1
condor,4,5,1,hold,True,0.36541613975926185,False,True,0,0
condor,4,6,2,hold,True,0.05148281224861908,False,True,0,0
condor,4,7,3,hold,True,0.0,False,True,0,0
condor,4,8,4,hold,True,0.0,False,True,0,0
condor,4,9,5,hold,True,0.0,False,True,0,1
condor,4,10,6,hold,True,0.0,False,True,0,1
condor,4,5,1,velocity,True,0.9883040935672515,True,True,0,0
condor,4,6,2,velocity,True,0.9546389732536494,True,True,0,0
condor,4,7,3,velocity,True,0.9176112279820402,True,True,0,0
condor,4,8,4,velocity,True,0.8677770428717455,True,True,0,0
condor,4,9,5,velocity,True,0.8549692066175583,True,True,0,1
condor,4,10,6,velocity,True,0.5850821744627054,True,True,0,1
condor,5,6,1,hold,True,0.35974058711643786,False,True,0,0
condor,5,7,2,hold,True,0.050721086530383645,False,True,0,0
condor,5,8,3,hold,True,0.0,False,True,0,0
