class,cohort,method,horizon,count,valid_count,valid_fraction,mean_iou,median_iou
ALL,all_available,hold,1,243,0,0.0,0.07138747504826952,0.0
ALL,all_available,hold,2,227,0,0.0,0.00368667066726606,0.0
ALL,all_available,hold,3,212,0,0.0,0.0,0.0
ALL,all_available,hold,4,197,0,0.0,0.0,0.0
ALL,all_available,hold,5,182,0,0.0,0.0,0.0
ALL,all_available,hold,6,168,0,0.0,0.0,0.0
ALL,all_available,hold,7,155,0,0.0,0.0,0.0
ALL,all_available,hold,8,142,0,0.0,0.0,0.0
ALL,all_available,hold,9,129,0,0.0,0.0,0.0
ALL,all_available,hold,10,117,0,0.0,0.0,0.0
ALL,all_available,hold,11,106,0,0.0,0.0,0.0
ALL,all_available,hold,12,96,0,0.0,0.0,0.0
ALL,all_available,hold,13,86,0,0.0,0.0,0.0
ALL,all_available,hold,14,77,0,0.0,0.0,0.0
ALL,all_available,hold,15,68,0,0.0,0.0,0.0
ALL,all_available,hold,16,59,0,0.0,0.0,0.0
ALL,all_available,hold,17,50,0,0.0,0.0,0.0
ALL,all_available,hold,18,41,0,0.0,0.0,0.0
ALL,all_available,hold,19,32,0,0.0,0.0,0.0
ALL,all_available,hold,20,25,0,0.0,0.0,0.0
ALL,all_available,hold,21,19,0,0.0,0.0,0.0
ALL,all_available,hold,22,13,0,0.0,0.0,0.0
ALL,all_available,hold,23,8,0,0.0,0.0,0.0
ALL,all_available,hold,24,4,0,0.0,0.0,0.0
ALL,all_available,velocity,1,227,227,1.0,0.932738004631093,0.9534492428491307
ALL,all_available,velocity,2,212,207,0.9764150943396226,0.8461916406650816,0.8762755102040816
ALL,all_available,velocity,3,197,179,0.9086294416243654,0.7398396856033261,0.7732609658839167
ALL,all_available,velocity,4,182,146,0.8021978021978022,0.63030461246646,0.6639107584465793
ALL,all_available,velocity,5,168,104,0.6190476190476191,0.5180127350037861,0.5573903910901288
ALL,all_available,velocity,6,155,58,0.3741935483870968,0.4139294501964255,0.4447555459832005
ALL,all_available,velocity,7,142,42,0.29577464788732394,0.3204240015050518,0.3269714256163005
ALL,all_available,velocity,8,129,12,0.09302325581395349,0.23891738166155546,0.21475837176659315
ALL,all_available,velocity,9,117,0,0.0,0.16949576096491617,0.11766835626357712
ALL,all_available,velocity,10,106,0,0.0,0.1144260735658172,0.034871836426005456
ALL,all_available,velocity,11,96,0,0.0,0.0776420876042588,0.0
ALL,all_available,velocity,12,86,0,0.0,0.05192220446381646,0.0
ALL,all_available,velocity,13,77,0,0.0,0.029732636484344502,0.0
ALL,all_available,velocity,14,68,0,0.0,0.011918778092618728,0.0
ALL,all_available,velocity,15,59,0,0.0,0.0026180183120546887,0.0
ALL,all_available,velocity,16,50,0,0.0,0.0,0.0
ALL,all_available,velocity,17,41,0,0.0,0.0,0.0
ALL,all_available,velocity,18,32,0,0.0,0.0,0.0
ALL,all_available,velocity,19,25,0,0.0,0.0,0.0
ALL,all_available,velocity,20,19,0,0.0,0.0,0.0
ALL,all_available,velocity,21,13,0,0.0,0.0,0.0
ALL,all_available,velocity,22,8,0,0.0,0.0,0.0
ALL,all_available,velocity,23,4,0,0.0,0.0,0.0
condor,all_available,hold,1,10,0,0.0,0.36933927859272775,0.3656610708095973
condor,all_available,hold,2,9,0,0.0,0.056924111084927315,0.056533376591775486
condor,all_available,hold,3,8,0,0.0,0.0,0.0
condor,all_available,hold,4,7,0,0.0,0.0,0.0
condor,all_available,hold,5,6,0,0.0,0.0,0.0
condor,all_available,hold,6,5,0,0.0,0.0,0.0
condor,all_available,hold,7,4,0,0.0,0.0,0.0
condor,all_available,hold,8,3,0,0.0,0.0,0.0
condor,all_available,hold,9,2,0,0.0,0.0,0.0
condor,all_available,hold,10,1,0,0.0,0.0,0.0
condor,all_available,velocity,1,9,9,1.0,0.9756263093753615,0.9823852955510687
condor,all_available,velocity,2,8,8,1.0,0.9458778564908572,0.9544212750272927
condor,all_available,velocity,3,7,7,1.0,0.8992512111936307,0.9176112279820402
condor,all_available,velocity,4,6,6,1.0,0.8554138404985113,0.8714297574156395
condor,all_available,velocity,5,5,5,1.0,0.7860658371074705,0.813544179397838
condor,all_available,velocity,6,4,4,1.0,0.732066894634585,0.7579929824444067
condor,all_available,velocity,7,3,3,1.0,0.6746180623651638,0.6867335562987736
condor,all_available,velocity,8,2,1,0.5,0.5908881818435805,0.5908881818435805
condor,all_available,velocity,9,1,0,0.0,0.4073226544622426,0.4073226544622426
hangar,all_available,hold,1,5,0,0.0,0.3483864665111968,0.37865748709122204
hangar,all_available,hold,2,4,0,0.0,0.08113931042626243,0.08052546428324411
hangar,all_available,hold,3,3,0,0.0,0.0,0.0
hangar,all_available,hold,4,2,0,0.0,0.0,0.0
hangar,all_available,hold,5,1,0,0.0,0.0,0.0
hangar,all_available,velocity,1,4,4,1.0,0.9035569963733895,0.9315755103343778
hangar,all_available,velocity,2,3,3,1.0,0.7013527272687328,0.7602179836512262
hangar,all_available,velocity,3,2,1,0.5,0.5061311016886312,0.5061311016886312
hangar,all_available,velocity,4,1,0,0.0,0.443687374749499,0.443687374749499
helicopter,all_available,hold,1,18,0,0.0,0.14499159623893418,0.14375567490508023
helicopter,all_available,hold,2,17,0,0.0,0.0,0.0
helicopter,all_available,hold,3,16,0,0.0,0.0,0.0
helicopter,all_available,hold,4,15,0,0.0,0.0,0.0
helicopter,all_available,hold,5,14,0,0.0,0.0,0.0
helicopter,all_available,hold,6,13,0,0.0,0.0,0.0
helicopter,all_available,hold,7,12,0,0.0,0.0,0.0
helicopter,all_available,hold,8,11,0,0.0,0.0,0.0
helicopter,all_available,hold,9,10,0,0.0,0.0,0.0
helicopter,all_available,hold,10,9,0,0.0,0.0,0.0
helicopter,all_available,hold,11,8,0,0.0,0.0,0.0
helicopter,all_available,hold,12,7,0,0.0,0.0,0.0
helicopter,all_available,hold,13,6,0,0.0,0.0,0.0
helicopter,all_available,hold,14,5,0,0.0,0.0,0.0
helicopter,all_available,hold,15,4,0,0.0,0.0,0.0
helicopter,all_available,hold,16,3,0,0.0,0.0,0.0
helicopter,all_available,hold,17,2,0,0.0,0.0,0.0
