class,origin_frame,method,available_future,valid_prefix_frames,valid_prefix_s,failure_observed,right_censored
condor,0,hold,10,0,0.0,True,False
condor,1,hold,9,0,0.0,True,False
condor,1,velocity,9,8,2.6666666666666665,True,False
condor,2,hold,8,0,0.0,True,False
condor,2,velocity,8,7,2.3333333333333335,True,False
condor,3,hold,7,0,0.0,True,False
condor,3,velocity,7,7,2.3333333333333335,False,True
condor,4,hold,6,0,0.0,True,False
condor,4,velocity,6,6,2.0,False,True
condor,5,hold,5,0,0.0,True,False
condor,5,velocity,5,5,1.6666666666666667,False,True
condor,6,hold,4,0,0.0,True,False
condor,6,velocity,4,4,1.3333333333333333,False,True
condor,7,hold,3,0,0.0,True,False
condor,7,velocity,3,3,1.0,False,True
condor,8,hold,2,0,0.0,True,False
condor,8,velocity,2,2,0.6666666666666666,False,True
condor,9,hold,1,0,0.0,True,False
condor,9,velocity,1,1,0.3333333333333333,False,True
hangar,19,hold,5,0,0.0,True,False
hangar,20,hold,4,0,0.0,True,False
hangar,20,velocity,4,3,1.0,True,False
hangar,21,hold,3,0,0.0,True,False
hangar,21,velocity,3,2,0.6666666666666666,True,False
hangar,22,hold,2,0,0.0,True,False
hangar,22,velocity,2,2,0.6666666666666666,False,True
hangar,23,hold,1,0,0.0,True,False
hangar,23,velocity,1,1,0.3333333333333333,False,True
helicopter,0,hold,18,0,0.0,True,False
helicopter,1,hold,17,0,0.0,True,False
helicopter,1,velocity,17,7,2.3333333333333335,True,False
helicopter,2,hold,16,0,0.0,True,False
helicopter,2,velocity,16,7,2.3333333333333335,True,False
helicopter,3,hold,15,0,0.0,True,False
helicopter,3,velocity,15,7,2.3333333333333335,True,False
helicopter,4,hold,14,0,0.0,True,False
helicopter,4,velocity,14,7,2.3333333333333335,True,False
helicopter,5,hold,13,0,0.0,True,False
helicopter,5,velocity,13,6,2.0,True,False
helicopter,6,hold,12,0,0.0,True,False
helicopter,6,velocity,12,7,2.3333333333333335,True,False
helicopter,7,hold,11,0,0.0,True,False
helicopter,7,velocity,11,7,2.3333333333333335,True,False
helicopter,8,hold,10,0,0.0,True,False
helicopter,8,velocity,10,6,2.0,True,False
helicopter,9,hold,9,0,0.0,True,False
helicopter,9,velocity,9,7,2.3333333333333335,True,False
helicopter,10,hold,8,0,0.0,True,False
helicopter,10,velocity,8,7,2.3333333333333335,True,False
helicopter,11,hold,7,0,0.0,True,False
helicopter,11,velocity,7,7,2.3333333333333335,False,True
helicopter,12,hold,6,0,0.0,True,False
helicopter,12,velocity,6,6,2.0,False,True
helicopter,13,hold,5,0,0.0,True,False
helicopter,13,velocity,5,5,1.6666666666666667,False,True
helicopter,14,hold,4,0,0.0,True,False
helicopter,14,velocity,4,4,1.3333333333333333,False,True
helicopter,15,hold,3,0,0.0,True,False
helicopter,15,velocity,3,3,1.0,False,True
helicopter,16,hold,2,0,0.0,True,False
helicopter,16,velocity,2,2,0.6666666666666666,False,True
helicopter,17,hold,1,0,0.0,True,False
helicopter,17,velocity,1,1,0.3333333333333333,False,True
jammer,0,hold,12,0,0.0,True,False
jammer,1,hold,11,0,0.0,True,False
jammer,1,velocity,11,4,1.3333333333333333,True,False
jammer,2,hold,10,0,0.0,True,False
jammer,2,velocity,10,4,1.3333333333333333,True,False
jammer,3,hold,9,0,0.0,True,False
jammer,3,velocity,9,4,1.3333333333333333,True,False
jammer,4,hold,8,0,0.0,True,False
jammer,4,velocity,8,4,1.3333333333333333,True,False
jammer,5,hold,7,0,0.0,True,False
jammer,5,velocity,7,4,1.3333333333333333,True,False
jammer,6,hold,6,0,0.0,True,False
jammer,6,velocity,6,3,1.0,True,False
jammer,7,hold,5,0,0.0,True,False
jammer,7,velocity,5,5,1.6666666666666667,False,True
jammer,8,hold,4,0,0.0,True,False
jammer,8,velocity,4,4,1.3333333333333333,False,True
jammer,9,hold,3,0,0.0,True,False
jammer,9,velocity,3,3,1.0,False,True
jammer,10,hold,2,0,0.0,True,False
jammer,10,velocity,2,2,0.6666666666666666,False,True
