class_index,object_id,count,width_px_min,width_px_median,width_px_p95,width_px_max,height_px_min,height_px_median,height_px_p95,height_px_max,area_px2_median
0,hangar,6,45.5,46.25,47.1875,47.25,1.5,29.75,32.4375,32.5,1376.5
1,helicopter,19,27.25,29.0,31.025,31.25,9.5,23.5,25.5,25.5,681.5
2,jet_plane,22,18.0,19.25,20.737499999999997,20.75,6.75,20.25,21.75,22.25,389.8125
3,large_launcher,25,23.75,37.25,40.2,40.75,26.25,27.5,28.5,28.5,1005.75
4,large_tower,19,14.0,15.5,17.025,17.25,6.5,16.0,17.0,17.0,250.125
5,medium_launcher,10,2.25,11.75,12.0,12.0,4.25,11.375,11.5,11.5,130.71875
6,medium_plane,5,13.75,14.0,14.2,14.25,8.0,12.25,12.25,12.25,171.5
7,mine_roller,2,13.25,13.25,13.25,13.25,15.0,15.0,15.0,15.0,198.75
8,small_launcher,25,5.0,5.5,5.75,6.0,7.25,7.5,7.5,7.75,41.25
9,small_plane,9,10.25,10.75,10.9,11.0,12.0,12.5,13.0,13.0,134.375
10,small_tower,20,13.25,14.375,15.5125,15.75,5.25,14.75,15.0,15.0,210.1875
11,ta-ta,25,7.25,8.0,8.95,9.0,3.5,4.25,4.75,4.75,34.0
12,tank,25,11.5,12.5,13.5,13.5,3.25,11.75,12.75,13.0,146.875
13,condor,11,41.5,43.25,45.0,45.25,9.75,41.5,43.625,43.75,1774.125
14,jammer,13,8.0,8.25,8.6,8.75,7.0,10.75,11.0,11.0,88.0
15,spacecraft,23,10.25,11.0,12.225,12.25,2.0,12.25,12.5,12.5,134.75
