epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8426,4.39114,9.61925,2.28373,0,0,0,0,3.47659,7.3422,2.16046,0.000142857,0.000142857,0.000142857
2,59.5328,4.46171,9.40871,2.13302,0,0,0,0,3.29804,6.50252,1.80181,0.000304417,0.000304417,0.000304417
3,89.9056,3.89847,7.6957,1.97145,0,0,0,0,3.29804,6.50252,1.80181,0.000460476,0.000460476,0.000460476
4,118.766,3.76398,7.23996,1.81377,0,0,0,0,3.10511,5.85387,1.41933,0.00047525,0.00047525,0.00047525
5,139.247,3.48941,6.46238,1.5569,0,0,0,0,3.10511,5.85387,1.41933,0.000467,0.000467,0.000467
6,167.763,3.12403,6.37166,1.4914,0,0,0,0,3.00485,5.7513,1.34964,0.00045875,0.00045875,0.00045875
7,197.128,3.02891,6.11624,1.33504,0,0,0,0,3.00485,5.7513,1.34964,0.0004505,0.0004505,0.0004505
8,226.105,2.9495,6.04631,1.35508,0,0,0,0,2.63053,5.54478,1.24064,0.00044225,0.00044225,0.00044225
9,255.902,2.72461,5.6826,1.26962,0,0,0,0,2.63053,5.54478,1.24064,0.000434,0.000434,0.000434
10,286.238,2.76049,5.79114,1.2502,0,0,0,0,2.227,5.38721,1.12024,0.00042575,0.00042575,0.00042575
11,314.988,2.47317,5.57602,1.18473,0,0,0,0,2.227,5.38721,1.12024,0.0004175,0.0004175,0.0004175
12,344.21,2.62385,5.86929,1.21578,0,0,0,0,2.227,5.38721,1.12024,0.00040925,0.00040925,0.00040925
13,373.564,2.20655,5.3804,1.12221,0.00962,0.02083,0.00322,0.00067,2.00863,5.27111,1.05354,0.000401,0.000401,0.000401
14,402.03,2.21192,5.36815,1.11233,0.00962,0.02083,0.00322,0.00067,2.00863,5.27111,1.05354,0.00039275,0.00039275,0.00039275
15,430.326,2.30175,5.39793,1.11491,0.00189,0.01042,0.00064,0.00026,1.93684,5.1617,1.02708,0.0003845,0.0003845,0.0003845
16,458.596,2.30567,5.47115,1.09924,0.00189,0.01042,0.00064,0.00026,1.93684,5.1617,1.02708,0.00037625,0.00037625,0.00037625
17,487.098,2.17616,5.34039,1.05121,0,0,0,0,1.83721,5.02682,1.00354,0.000368,0.000368,0.000368
18,515.796,1.99867,5.10241,1.0274,0,0,0,0,1.83721,5.02682,1.00354,0.00035975,0.00035975,0.00035975
19,544.745,1.93017,5.02356,1.0313,0.00022,0.005,2e-05,1e-05,1.80463,4.90472,0.99068,0.0003515,0.0003515,0.0003515
20,571.561,1.82227,4.96228,0.97808,0.00022,0.005,2e-05,1e-05,1.80463,4.90472,0.99068,0.00034325,0.00034325,0.00034325
21,601.104,1.88792,4.80639,0.97237,0.00316,0.08797,0.00564,0.00285,1.9063,4.7948,1.00196,0.000335,0.000335,0.000335
22,629.589,1.88795,4.89349,1.0068,0.00316,0.08797,0.00564,0.00285,1.9063,4.7948,1.00196,0.00032675,0.00032675,0.00032675
23,658.524,1.83829,4.78185,0.9953,0.00933,0.22914,0.11636,0.06005,1.85663,4.57575,0.99421,0.0003185,0.0003185,0.0003185
24,687.239,1.83255,4.61494,0.93067,0.00933,0.22914,0.11636,0.06005,1.85663,4.57575,0.99421,0.00031025,0.00031025,0.00031025
25,715.723,1.7583,4.62159,0.9674,0.01736,0.35361,0.18943,0.10376,1.75324,4.3492,0.97355,0.000302,0.000302,0.000302
26,743.717,1.82412,4.51426,0.94623,0.01736,0.35361,0.18943,0.10376,1.75324,4.3492,0.97355,0.00029375,0.00029375,0.00029375
27,772.466,1.74261,4.40954,0.93812,0.01736,0.35361,0.18943,0.10376,1.75324,4.3492,0.97355,0.0002855,0.0002855,0.0002855
28,800.8,1.83152,4.3562,0.91083,0.98901,0.05962,0.21114,0.12033,1.70146,4.12678,0.9792,0.00027725,0.00027725,0.00027725
29,829.39,1.69135,4.17685,0.9259,0.98901,0.05962,0.21114,0.12033,1.70146,4.12678,0.9792,0.000269,0.000269,0.000269
30,857.847,1.74538,4.18295,0.94923,0.83902,0.07546,0.23225,0.13847,1.69525,3.95416,0.96648,0.00026075,0.00026075,0.00026075
31,885.746,1.65861,4.24009,0.9219,0.83902,0.07546,0.23225,0.13847,1.69525,3.95416,0.96648,0.0002525,0.0002525,0.0002525
32,914.606,1.79501,4.26228,0.90943,0.83009,0.11152,0.24455,0.14988,1.72753,3.89226,0.95988,0.00024425,0.00024425,0.00024425
33,942.934,1.66969,4.00268,0.92212,0.83009,0.11152,0.24455,0.14988,1.72753,3.89226,0.95988,0.000236,0.000236,0.000236
34,971.63,1.70159,3.9238,0.94762,0.84113,0.14698,0.25416,0.15007,1.80269,3.82445,0.95794,0.00022775,0.00022775,0.00022775
35,999.614,1.75555,3.89506,0.94392,0.84113,0.14698,0.25416,0.15007,1.80269,3.82445,0.95794,0.0002195,0.0002195,0.0002195
36,1027.77,1.75634,3.92835,0.95609,0.84883,0.21249,0.2717,0.16683,1.7449,3.6884,0.93131,0.00021125,0.00021125,0.00021125
37,1055.52,1.69297,3.88448,0.91565,0.84883,0.21249,0.2717,0.16683,1.7449,3.6884,0.93131,0.000203,0.000203,0.000203
38,1082.83,1.59784,3.63802,0.93544,0.85191,0.25736,0.28498,0.18082,1.6704,3.53523,0.90808,0.00019475,0.00019475,0.00019475
39,1111.56,1.64762,3.63228,0.90743,0.85191,0.25736,0.28498,0.18082,1.6704,3.53523,0.90808,0.0001865,0.0001865,0.0001865
40,1140.25,1.66432,3.65246,0.89068,0.93239,0.27433,0.29187,0.19259,1.62561,3.38592,0.89991,0.00017825,0.00017825,0.00017825
41,1167.63,1.56349,3.50611,0.89844,0.93239,0.27433,0.29187,0.19259,1.62561,3.38592,0.89991,0.00017,0.00017,0.00017
42,1195.39,1.69529,3.63463,0.92456,0.93239,0.27433,0.29187,0.19259,1.62561,3.38592,0.89991,0.00016175,0.00016175,0.00016175
43,1223.62,1.56629,3.31535,0.90988,0.94883,0.27221,0.30807,0.20654,1.62759,3.34582,0.89827,0.0001535,0.0001535,0.0001535
44,1251.25,1.67439,3.40023,0.92655,0.94883,0.27221,0.30807,0.20654,1.62759,3.34582,0.89827,0.00014525,0.00014525,0.00014525
45,1280.89,1.73637,3.43394,0.90481,0.94269,0.27949,0.32422,0.21694,1.62296,3.31018,0.89766,0.000137,0.000137,0.000137
46,1308.05,1.71685,3.44048,0.9092,0.94269,0.27949,0.32422,0.21694,1.62296,3.31018,0.89766,0.00012875,0.00012875,0.00012875
47,1335.61,1.65232,3.33445,0.86425,0.95142,0.2757,0.34033,0.23058,1.62543,3.21066,0.89603,0.0001205,0.0001205,0.0001205
48,1364.28,1.74799,3.40671,0.88045,0.95142,0.2757,0.34033,0.23058,1.62543,3.21066,0.89603,0.00011225,0.00011225,0.00011225
49,1392.26,1.5926,3.02028,0.87884,0.95477,0.27521,0.36218,0.24228,1.6238,3.13198,0.8966,0.000104,0.000104,0.000104
50,1420.18,1.44815,3.03047,0.85562,0.95477,0.27521,0.36218,0.24228,1.6238,3.13198,0.8966,9.575e-05,9.575e-05,9.575e-05
51,1442.01,1.59806,3.1758,0.88263,0.95654,0.28252,0.37619,0.24675,1.61157,3.0629,0.89212,8.75e-05,8.75e-05,8.75e-05
52,1465.98,1.59008,3.13147,0.9029,0.95654,0.28252,0.37619,0.24675,1.61157,3.0629,0.89212,7.925e-05,7.925e-05,7.925e-05
53,1492.31,1.61468,3.10424,0.89671,0.96279,0.28301,0.39584,0.26165,1.59457,2.98706,0.88899,7.1e-05,7.1e-05,7.1e-05
54,1521.86,1.59928,3.02583,0.87148,0.96279,0.28301,0.39584,0.26165,1.59457,2.98706,0.88899,6.275e-05,6.275e-05,6.275e-05
55,1551.14,1.59107,3.09962,0.8949,0.96156,0.29312,0.41659,0.28147,1.57197,2.935,0.88502,5.45e-05,5.45e-05,5.45e-05
56,1580.97,1.61204,3.0622,0.85583,0.96156,0.29312,0.41659,0.28147,1.57197,2.935,0.88502,4.625e-05,4.625e-05,4.625e-05
57,1609.86,1.60426,3.02147,0.87593,0.96156,0.29312,0.41659,0.28147,1.57197,2.935,0.88502,3.8e-05,3.8e-05,3.8e-05
58,1638.32,1.56179,2.92181,0.87565,0.95996,0.29256,0.42144,0.28479,1.55688,2.89615,0.88209,2.975e-05,2.975e-05,2.975e-05
59,1665.69,1.84373,3.25391,0.87849,0.95996,0.29256,0.42144,0.28479,1.55688,2.89615,0.88209,2.15e-05,2.15e-05,2.15e-05
60,1693.35,1.59279,3.02767,0.88309,0.96338,0.29423,0.43021,0.29214,1.5603,2.87652,0.88295,1.325e-05,1.325e-05,1.325e-05
