seed,final_score,extinct,extinction_time,final_sim_time,final_num_agents,wall_seconds,sim_seconds_per_wall_second,num_deaths,num_births,deaths_predator,deaths_starvation_old,deaths_starvation_young
1,418.64576914098933,True,418.2000000000266,418.2000000000266,0,72.15955686569214,5.795490135539586,127,122,30,47,50
2,225.49399999999218,True,217.59999999999192,217.59999999999192,0,39.81136512756348,5.465775898484228,55,50,0,25,30
3,489.5115815788315,True,487.4000000000423,487.4000000000423,0,44.14523434638977,11.040829371877653,56,51,7,22,27
4,180.8395999999941,True,178.49999999999415,178.49999999999415,0,9.129939794540405,19.551059921198494,17,12,0,7,10
5,731.3705120151188,True,740.8000000000999,740.8000000000999,0,76.11624765396118,9.732481865999443,110,105,39,29,42
6,648.6391905376638,True,657.700000000081,657.700000000081,0,74.39623308181763,8.840501363513555,151,146,57,29,65
7,536.5953413615551,True,535.9000000000533,535.9000000000533,0,69.84677195549011,7.672509194004783,194,189,60,20,114
8,542.9659344188022,True,546.9000000000558,546.9000000000558,0,135.41186046600342,4.0387894983346815,223,218,74,41,108
9,407.4838130106224,True,394.80000000002127,394.80000000002127,0,146.84573340415955,2.6885357228147986,221,216,49,51,121
10,370.02528706517666,True,379.70000000001784,379.70000000001784,0,92.81075429916382,4.091120720515885,127,122,53,39,35
11,1053.2962893031995,True,1028.50000000016,1028.50000000016,0,226.1529185771942,4.5478077686142955,208,203,22,67,119
12,608.0326675108905,True,619.2000000000722,619.2000000000722,0,149.4897825717926,4.142089107011048,169,164,56,38,75
13,256.6936095736848,True,254.8999999999898,254.8999999999898,0,26.182005882263184,9.73569409258555,22,17,1,9,12
14,403.55793609646634,True,405.4000000000237,405.4000000000237,0,111.30505561828613,3.642242463723464,142,137,42,32,68
15,364.9034379115487,True,360.3000000000134,360.3000000000134,0,33.01250743865967,10.914045249955175,27,22,1,12,14
16,637.5908013084634,True,665.5000000000828,665.5000000000828,0,191.6339566707611,3.472766578333779,291,286,126,42,123
17,606.1238882808481,True,605.100000000069,605.100000000069,0,134.09161376953125,4.512586454810509,156,151,47,21,88
18,417.65336136792905,True,409.8000000000247,409.8000000000247,0,69.59099388122559,5.888693021103431,89,84,14,19,56
19,521.5980741999695,True,544.4000000000552,544.4000000000552,0,186.99831438064575,2.9112561886087267,284,279,112,34,138
20,765.9684003546652,True,767.700000000106,767.700000000106,0,101.79895758628845,7.5413345892994625,146,141,43,40,63
21,774.3943314006882,True,769.5000000001064,769.5000000001064,0,135.92901039123535,5.661043200309531,213,208,56,43,114
22,531.7862753145082,True,526.7000000000512,526.7000000000512,0,83.43288588523865,6.3128584659593745,139,134,25,37,77
23,243.93417030175803,True,250.09999999999008,250.09999999999008,0,22.608301401138306,11.062308289440876,37,32,21,7,9
24,586.1151987514361,True,584.4000000000643,584.4000000000643,0,152.08149552345276,3.842676572771754,236,231,73,49,114
25,283.97617364032476,True,281.8999999999956,281.8999999999956,0,29.48825168609619,9.559739349786966,39,34,8,15,16
26,451.99214563282703,True,447.40000000003323,447.40000000003323,0,82.99665832519531,5.390578476630257,106,101,26,27,53
27,463.86613622903855,True,484.3000000000416,484.3000000000416,0,108.80563116073608,4.451056391415958,145,140,60,26,59
28,280.6342199924948,True,284.0999999999961,284.0999999999961,0,31.510884284973145,9.015932318201466,34,29,12,9,13
29,645.3114077552056,True,658.9000000000813,658.9000000000813,0,151.35375094413757,4.353377408157341,231,226,93,31,107
30,851.1491486177839,True,847.7000000001242,847.7000000001242,0,187.77658009529114,4.514407491977654,273,268,69,63,141
